Importer,Year,Value,Ad val. duties,Number of lines,Viet Nam
,(US$),Simple average,MFN duties,Pref. duties,Viet Nam
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Viet Nam
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,9.88,9.88,21,9,,,Viet Nam
"040620 - Grated or powdered cheese, of all kinds",,12.93,12.93,38,13,,,Viet Nam
"040630 - Processed cheese, not grated or powdered",,12.54,12.54,36,13,,,Viet Nam
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,13.38,9,1,,,Viet Nam
040690 - Other cheese,,11.59,11.59,50,15,,,Viet Nam
040711 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Viet Nam
040719 -- Other,,,,1,1,,,Viet Nam
040721 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Viet Nam
040729 -- Other,,,,1,1,,,Viet Nam
040790 - Others,,,,1,1,,,Viet Nam
040811 -- Dried,,,,1,1,,,Viet Nam
040819 -- Other,,,,1,1,,,Viet Nam
040891 -- Dried,,,,1,1,,,Viet Nam
040899 -- Other,,,,1,1,,,Viet Nam
040900 Natural honey.,"64,837,194",,,1,1,,,Viet Nam
"041000 Edible products of animal origin, not elsewhere specified or included.","351,007",1.10,1.10,1,,,,Viet Nam
,2015,"101,294,448",12.29,12.29,258,133,,,Viet Nam
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,1,1,,,Viet Nam
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,2,2,,,Viet Nam
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,3,3,,,Viet Nam
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,Viet Nam
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,3,3,,,Viet Nam
040221 -- Not containing added sugar or other sweetening matter,,,,9,9,,,Viet Nam
040229 -- Other,,17.50,17.50,3,1,,,Viet Nam
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Viet Nam
040299 -- Other,,17.50,17.50,9,7,,,Viet Nam
040310 - Yogurt,,19.00,19.00,4,1,,,Viet Nam
040390 - Other,,19.00,19.00,20,17,,,Viet Nam
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,11.50,8,5,,,Viet Nam
040490 - Other,,12.50,12.50,5,2,,,Viet Nam
040510 - Butter,,,,3,3,,,Viet Nam
040520 - Dairy spreads,,8.80,8.80,8,5,,,Viet Nam
040590 - Other,,10.00,10.00,3,1,,,Viet Nam
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,9.88,9.88,21,9,,,Viet Nam
"040620 - Grated or powdered cheese, of all kinds",,12.93,12.93,38,13,,,Viet Nam
"040630 - Processed cheese, not grated or powdered",,12.54,12.54,36,13,,,Viet Nam
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,13.38,9,1,,,Viet Nam
040690 - Other cheese,,11.32,11.32,50,15,,,Viet Nam
040711 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Viet Nam
040719 -- Other,,,,1,1,,,Viet Nam
040721 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Viet Nam
040729 -- Other,,,,1,1,,,Viet Nam
040790 - Others,,,,1,1,,,Viet Nam
040811 -- Dried,,,,1,1,,,Viet Nam
040819 -- Other,,,,1,1,,,Viet Nam
040891 -- Dried,,,,1,1,,,Viet Nam
040899 -- Other,,,,1,1,,,Viet Nam
040900 Natural honey.,"100,820,015",,,1,1,,,Viet Nam
"041000 Edible products of animal origin, not elsewhere specified or included.","474,433",1.10,1.10,1,,,,Viet Nam
,2014,"123,076,939",12.33,12.33,258,133,,,Viet Nam
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,1,1,,,Viet Nam
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,2,2,,,Viet Nam
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,3,3,,,Viet Nam
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,Viet Nam
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,3,3,,,Viet Nam
040221 -- Not containing added sugar or other sweetening matter,,,,9,9,,,Viet Nam
040229 -- Other,,17.50,17.50,3,1,,,Viet Nam
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Viet Nam
040299 -- Other,,17.50,17.50,9,7,,,Viet Nam
040310 - Yogurt,,19.00,19.00,4,1,,,Viet Nam
040390 - Other,,19.00,19.00,20,17,,,Viet Nam
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,11.50,8,5,,,Viet Nam
040490 - Other,,12.50,12.50,5,2,,,Viet Nam
040510 - Butter,,,,3,3,,,Viet Nam
040520 - Dairy spreads,,8.80,8.80,8,5,,,Viet Nam
040590 - Other,,10.00,10.00,3,1,,,Viet Nam
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,9.88,9.88,21,9,,,Viet Nam
"040620 - Grated or powdered cheese, of all kinds",,12.83,12.83,38,13,,,Viet Nam
"040630 - Processed cheese, not grated or powdered",,12.44,12.44,36,13,,,Viet Nam
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,13.38,9,1,,,Viet Nam
040690 - Other cheese,,11.59,11.59,50,15,,,Viet Nam
040711 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Viet Nam
040719 -- Other,,,,1,1,,,Viet Nam
040721 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Viet Nam
040729 -- Other,,,,1,1,,,Viet Nam
040790 - Others,,,,1,1,,,Viet Nam
040811 -- Dried,,,,1,1,,,Viet Nam
040819 -- Other,,,,1,1,,,Viet Nam
040891 -- Dried,,,,1,1,,,Viet Nam
040899 -- Other,,,,1,1,,,Viet Nam
040900 Natural honey.,"122,749,433",,,1,1,,,Viet Nam
"041000 Edible products of animal origin, not elsewhere specified or included.","327,506",1.10,1.10,1,,,,Viet Nam
,2013,"83,107,064",12.36,12.36,258,137,,,Viet Nam
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,1,1,,,Viet Nam
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,2,2,,,Viet Nam
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,3,3,,,Viet Nam
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,Viet Nam
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,3,3,,,Viet Nam
040221 -- Not containing added sugar or other sweetening matter,,,,9,9,,,Viet Nam
040229 -- Other,,17.50,17.50,3,1,,,Viet Nam
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Viet Nam
040299 -- Other,,17.50,17.50,9,7,,,Viet Nam
040310 - Yogurt,,19.00,19.00,4,1,,,Viet Nam
040390 - Other,,19.00,19.00,20,17,,,Viet Nam
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,11.50,8,5,,,Viet Nam
040490 - Other,,12.50,12.50,5,2,,,Viet Nam
040510 - Butter,,,,3,3,,,Viet Nam
040520 - Dairy spreads,,8.80,8.80,8,5,,,Viet Nam
040590 - Other,,10.00,10.00,3,1,,,Viet Nam
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,9.88,9.88,21,9,,,Viet Nam
"040620 - Grated or powdered cheese, of all kinds",,12.84,12.84,38,14,,,Viet Nam
"040630 - Processed cheese, not grated or powdered",,12.50,12.50,36,15,,,Viet Nam
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,13.38,9,1,,,Viet Nam
040690 - Other cheese,,11.66,11.66,50,16,,,Viet Nam
040711 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Viet Nam
040719 -- Other,,,,1,1,,,Viet Nam
040721 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Viet Nam
040729 -- Other,,,,1,1,,,Viet Nam
040790 - Others,,,,1,1,,,Viet Nam
040811 -- Dried,,,,1,1,,,Viet Nam
040819 -- Other,,,,1,1,,,Viet Nam
040891 -- Dried,,,,1,1,,,Viet Nam
040899 -- Other,,,,1,1,,,Viet Nam
040900 Natural honey.,"82,942,818",,,1,1,,,Viet Nam
"041000 Edible products of animal origin, not elsewhere specified or included.","164,246",1.10,1.10,1,,,,Viet Nam
,2012,"51,052,764",12.14,12.14,258,133,,,Viet Nam
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,1,1,,,Viet Nam
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,2,2,,,Viet Nam
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,3,3,,,Viet Nam
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,Viet Nam
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,3,3,,,Viet Nam
040221 -- Not containing added sugar or other sweetening matter,,,,9,9,,,Viet Nam
040229 -- Other,,17.50,17.50,3,1,,,Viet Nam
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Viet Nam
040299 -- Other,,17.50,17.50,9,7,,,Viet Nam
040310 - Yogurt,,19.00,19.00,4,1,,,Viet Nam
040390 - Other,,19.00,19.00,20,17,,,Viet Nam
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,11.50,8,5,,,Viet Nam
040490 - Other,,12.50,12.50,5,2,,,Viet Nam
040510 - Butter,,,,3,3,,,Viet Nam
040520 - Dairy spreads,,8.80,8.80,8,5,,,Viet Nam
040590 - Other,,10.00,10.00,3,1,,,Viet Nam
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,9.74,9.74,21,9,,,Viet Nam
"040620 - Grated or powdered cheese, of all kinds",,12.46,12.46,38,13,,,Viet Nam
"040630 - Processed cheese, not grated or powdered",,12.32,12.32,36,13,,,Viet Nam
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,12.12,12.12,9,1,,,Viet Nam
040690 - Other cheese,,11.58,11.58,50,15,,,Viet Nam
040711 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Viet Nam
040719 -- Other,,,,1,1,,,Viet Nam
040721 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Viet Nam
040729 -- Other,,,,1,1,,,Viet Nam
040790 - Others,,,,1,1,,,Viet Nam
040811 -- Dried,,,,1,1,,,Viet Nam
040819 -- Other,,,,1,1,,,Viet Nam
040891 -- Dried,,,,1,1,,,Viet Nam
040899 -- Other,,,,1,1,,,Viet Nam
040900 Natural honey.,"50,995,980",,,1,1,,,Viet Nam
"041000 Edible products of animal origin, not elsewhere specified or included.","56,784",1.10,1.10,1,,,,Viet Nam
,2011,"68,077,831",12.38,12.38,251,126,,,Viet Nam
"040110 - Of a fat content, by weight, not exceeding 1%",,,,1,1,,,Viet Nam
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6 %",,,,2,2,,,Viet Nam
"040130 - Of a fat content, by weight, exceeding 6%",,,,6,6,,,Viet Nam
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",,,,3,3,,,Viet Nam
040221 -- Not containing added sugar or other sweetening matter,,,,9,9,,,Viet Nam
040229 -- Other,,17.50,17.50,3,1,,,Viet Nam
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Viet Nam
040299 -- Other,,17.50,17.50,9,7,,,Viet Nam
040310 - Yogurt,,19.00,19.00,4,1,,,Viet Nam
040390 - Other,,19.00,19.00,20,17,,,Viet Nam
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,11.50,8,5,,,Viet Nam
040490 - Other,,12.50,12.50,5,2,,,Viet Nam
040510 - Butter,,,,3,3,,,Viet Nam
040520 - Dairy spreads,,8.80,8.80,8,5,,,Viet Nam
040590 - Other,,10.00,10.00,3,1,,,Viet Nam
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,9.88,9.88,21,9,,,Viet Nam
"040620 - Grated or powdered cheese, of all kinds",,12.93,12.93,38,13,,,Viet Nam
"040630 - Processed cheese, not grated or powdered",,12.54,12.54,36,13,,,Viet Nam
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,13.38,9,1,,,Viet Nam
040690 - Other cheese,,11.61,11.61,50,15,,,Viet Nam
"040700 Birds' eggs, in shell, fresh, preserved or cooked.",,,,1,1,,,Viet Nam
040811 -- Dried,,,,1,1,,,Viet Nam
040819 -- Other,,,,1,1,,,Viet Nam
040891 -- Dried,,,,1,1,,,Viet Nam
040899 -- Other,,,,1,1,,,Viet Nam
040900 Natural honey.,"68,023,738",,,1,1,,,Viet Nam
"041000 Edible products of animal origin, not elsewhere specified or included.","54,093",1.10,1.10,1,,,,Viet Nam
,2010,"46,694,297",12.25,12.25,251,126,,,Viet Nam
"040110 - Of a fat content, by weight, not exceeding 1%",,,,1,1,,,Viet Nam
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6 %",,,,2,2,,,Viet Nam
"040130 - Of a fat content, by weight, exceeding 6%",,,,6,6,,,Viet Nam
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",,,,3,3,,,Viet Nam
040221 -- Not containing added sugar or other sweetening matter,,,,9,9,,,Viet Nam
040229 -- Other,,17.50,17.50,3,1,,,Viet Nam
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Viet Nam
040299 -- Other,,17.50,17.50,9,7,,,Viet Nam
040310 - Yogurt,,19.00,19.00,4,1,,,Viet Nam
040390 - Other,,19.00,19.00,20,17,,,Viet Nam
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,11.50,8,5,,,Viet Nam
040490 - Other,,12.50,12.50,5,2,,,Viet Nam
040510 - Butter,,,,3,3,,,Viet Nam
040520 - Dairy spreads,,8.80,8.80,8,5,,,Viet Nam
040590 - Other,,10.00,10.00,3,1,,,Viet Nam
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,9.88,9.88,21,9,,,Viet Nam
"040620 - Grated or powdered cheese, of all kinds",,12.76,12.76,38,13,,,Viet Nam
"040630 - Processed cheese, not grated or powdered",,12.45,12.45,36,13,,,Viet Nam
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,13.38,9,1,,,Viet Nam
040690 - Other cheese,,11.33,11.33,50,15,,,Viet Nam
"040700 Birds' eggs, in shell, fresh, preserved or cooked.",,,,1,1,,,Viet Nam
040811 -- Dried,,,,1,1,,,Viet Nam
040819 -- Other,,,,1,1,,,Viet Nam
040891 -- Dried,,,,1,1,,,Viet Nam
040899 -- Other,,,,1,1,,,Viet Nam
040900 Natural honey.,"46,504,960",,,1,1,,,Viet Nam
"041000 Edible products of animal origin, not elsewhere specified or included.","189,337",1.10,1.10,1,,,,Viet Nam
,2009,"34,507,476",12.38,12.38,251,126,,,Viet Nam
"040110 - Of a fat content, by weight, not exceeding 1%",,,,1,1,,,Viet Nam
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6 %",,,,2,2,,,Viet Nam
"040130 - Of a fat content, by weight, exceeding 6%",,,,6,6,,,Viet Nam
