Importer,Year,Value,Ad val. duties,Number of lines,South Africa
,(US$),Simple average,MFN duties,Pref. duties,South Africa
,MFN,Best,All items,Non ad val.,All items,Non ad val.,South Africa
"392330 - Carboys, bottles, flasks and similar articles",,18.00,18.00,1,,,,South Africa
"392340 - Spools, cops, bobbins and similar supports",,18.00,18.00,1,,,,South Africa
"392350 - Stoppers, lids, caps and other closures",,18.00,18.00,1,,,,South Africa
392390 - Other,,18.00,18.00,1,,,,South Africa
392410 - Tableware and kitchenware,,18.00,18.00,1,,,,South Africa
392490 - Other,,18.00,18.00,1,,,,South Africa
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,18.00,18.00,1,,,,South Africa
"392520 - Doors, windows and their frames and thresholds for doors",,18.00,18.00,1,,,,South Africa
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,18.00,18.00,1,,,,South Africa
392590 - Other,,18.00,18.00,2,,,,South Africa
392610 - Office or school supplies,,18.00,18.00,1,,,,South Africa
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)",,18.00,18.00,1,,,,South Africa
"392630 - Fittings for furniture, coachwork or the like",,18.00,18.00,1,,,,South Africa
392640 - Statuettes and other ornamental articles,,18.00,18.00,1,,,,South Africa
392690 - Other,,12.22,12.22,9,,,,South Africa
,2017,"5,051,310",10.96,10.96,313,,,,South Africa
390110 - Polyethylene having a specific gravity of less than 0.94,"1,707,448",14.00,14.00,3,,,,South Africa
390120 - Polyethylene having a specific gravity of 0.94 or more,,8.00,8.00,4,,,,South Africa
390130 - Ethylene-vinyl acetate copolymers,,14.00,14.00,2,,,,South Africa
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",,14.00,14.00,1,,,,South Africa
390190 - Other,,8.00,8.00,6,,,,South Africa
390210 - Polypropylene,"86,134",14.00,14.00,2,,,,South Africa
390220 - Polyisobutylene,,14.00,14.00,1,,,,South Africa
390230 - Propylene copolymers,,14.00,14.00,1,,,,South Africa
390290 - Other,,14.00,14.00,1,,,,South Africa
390311 - - Expansible,,14.00,14.00,2,,,,South Africa
390319 - - Other,,14.00,14.00,1,,,,South Africa
390320 - Styrene-acrylonitrile (SAN) copolymers,,2.00,2.00,1,,,,South Africa
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,8.00,8.00,2,,,,South Africa
390390 - Other,,10.00,10.00,3,,,,South Africa
"390410 - Poly(vinyl chloride), not mixed with any other substances",,14.00,14.00,3,,,,South Africa
390421 - - Non-plasticised,,14.00,14.00,1,,,,South Africa
390422 - - Plasticised,219,14.00,14.00,1,,,,South Africa
390430 - Vinyl chloride-vinyl acetate copolymers,,14.00,14.00,1,,,,South Africa
390440 - Other vinyl chloride copolymers,,14.00,14.00,2,,,,South Africa
390450 - Vinylidene chloride polymers,,2.00,2.00,2,,,,South Africa
390461 - - Polytetrafluoroethylene,,2.00,2.00,2,,,,South Africa
390469 - - Other,,2.00,2.00,2,,,,South Africa
390490 - Other,,14.00,14.00,1,,,,South Africa
390512 - - In aqueous dispersion,,14.00,14.00,1,,,,South Africa
390519 - - Other,,14.00,14.00,2,,,,South Africa
390521 - - In aqueous dispersion,,14.00,14.00,1,,,,South Africa
390529 - - Other,,14.00,14.00,1,,,,South Africa
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,2.00,2.00,1,,,,South Africa
390591 - - Copolymers,,8.00,8.00,2,,,,South Africa
390599 - - Other,,4.50,4.50,4,,,,South Africa
390610 - Poly(methyl methacrylate),,14.00,14.00,1,,,,South Africa
390690 - Other,"534,700",10.35,10.35,17,,,,South Africa
390710 - Polyacetals,,8.67,8.67,9,,,,South Africa
390720 - Other polyethers,"7,014",8.67,8.67,9,,,,South Africa
390730 - Epoxide resins,608,14.00,14.00,5,,,,South Africa
390740 - Polycarbonates,,8.00,8.00,2,,,,South Africa
390750 - Alkyd resins,,14.00,14.00,2,,,,South Africa
390761 - - Having a viscosity number of 78 ml/g or higher,,14.00,14.00,1,,,,South Africa
390769 - - Other,,14.00,14.00,1,,,,South Africa
390770 - Poly(lactic acid),,14.00,14.00,1,,,,South Africa
390791 - - Unsaturated,,14.00,14.00,1,,,,South Africa
390799 - - Other,,8.00,8.00,6,,,,South Africa
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,6.80,6.80,10,,,,South Africa
390890 - Other,,6.00,6.00,3,,,,South Africa
390910 - Urea resins; thiourea resins,,14.00,14.00,1,,,,South Africa
390920 - Melamine resins,,14.00,14.00,4,,,,South Africa
"390931 - - Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)",,14.00,14.00,1,,,,South Africa
390939 - - Other,,14.00,14.00,1,,,,South Africa
390940 - Phenolic resins,,14.00,14.00,4,,,,South Africa
390950 - Polyurethanes,,9.20,9.20,5,,,,South Africa
391000 Silicones in primary forms.,,9.50,9.50,8,,,,South Africa
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,10.00,10.00,3,,,,South Africa
391190 - Other,,5.69,5.69,13,,,,South Africa
391211 - - Non-plasticised,,5.00,5.00,2,,,,South Africa
391212 - - Plasticised,,2.00,2.00,1,,,,South Africa
391220 - Cellulose nitrates (including collodions),,14.00,14.00,3,,,,South Africa
391231 - - Carboxymethylcellulose and its salts,,14.00,14.00,4,,,,South Africa
391239 - - Other,,2.00,2.00,4,,,,South Africa
391290 - Other,,10.00,10.00,6,,,,South Africa
"391310 - Alginic acid, its salts and esters",,2.00,2.00,1,,,,South Africa
391390 - Other,"1,214,967",4.67,4.67,9,,,,South Africa
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,2.00,2.00,3,,,,South Africa
391510 - Of polymers of ethylene,,14.00,14.00,1,,,,South Africa
391520 - Of polymers of styrene,,14.00,14.00,1,,,,South Africa
391530 - Of polymers of vinyl chloride,,14.00,14.00,1,,,,South Africa
391590 - Of other plastics,,14.00,14.00,1,,,,South Africa
391610 - Of polymers of ethylene,,16.00,16.00,1,,,,South Africa
391620 - Of polymers of vinyl chloride,"27,469",16.00,16.00,1,,,,South Africa
391690 - Of other plastics,"8,828",16.00,16.00,2,,,,South Africa
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,"7,801",6.67,6.67,3,,,,South Africa
391721 - - Of polymers of ethylene,,16.00,16.00,1,,,,South Africa
391722 - - Of polymers of propylene,,16.00,16.00,1,,,,South Africa
391723 - - Of polymers of vinyl chloride,,16.00,16.00,1,,,,South Africa
391729 - - Of other plastics,"41,294",16.00,16.00,1,,,,South Africa
"391731 - - Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",,16.00,16.00,1,,,,South Africa
"391732 - - Other, not reinforced or otherwise combined with other materials, without fittings","257,321",12.50,12.50,8,,,,South Africa
"391733 - - Other, not reinforced or otherwise combined with other materials, with fittings","146,022",16.00,16.00,1,,,,South Africa
391739 - - Other,"1,556",16.00,16.00,1,,,,South Africa
391740 - Fittings,"1,490",8.00,8.00,2,,,,South Africa
391810 - Of polymers of vinyl chloride,,16.00,16.00,1,,,,South Africa
391890 - Of other plastics,,16.00,16.00,1,,,,South Africa
391910 - In rolls of a width not exceeding 20 cm,19,16.00,16.00,3,,,,South Africa
391990 - Other,"13,351",16.00,16.00,3,,,,South Africa
392010 - Of polymers of ethylene,,6.67,6.67,3,,,,South Africa
392020 - Of polymers of propylene,,9.00,9.00,4,,,,South Africa
392030 - Of polymers of styrene,,16.00,16.00,1,,,,South Africa
392043 - - Containing by weight not less than 6 % of plasticisers,,16.00,16.00,2,,,,South Africa
392049 - - Other,,16.00,16.00,1,,,,South Africa
392051 - - Of poly(methyl methacrylate),,16.00,16.00,1,,,,South Africa
392059 - - Other,,16.00,16.00,1,,,,South Africa
392061 - - Of polycarbonates,,16.00,16.00,1,,,,South Africa
392062 - - Of poly(ethylene terephthalate),"6,012",12.50,12.50,4,,,,South Africa
392063 - - Of unsaturated polyesters,,16.00,16.00,1,,,,South Africa
392069 - - Of other polyesters,,16.00,16.00,1,,,,South Africa
392071 - - Of regenerated cellulose,,16.00,16.00,1,,,,South Africa
392073 - - Of cellulose acetate,,16.00,16.00,2,,,,South Africa
392079 - - Of other cellulose derivatives,,9.00,9.00,2,,,,South Africa
392091 - - Of poly(vinyl butyral),,16.00,16.00,1,,,,South Africa
392092 - - Of polyamides,,16.00,16.00,1,,,,South Africa
392093 - - Of amino-resins,,16.00,16.00,1,,,,South Africa
392094 - - Of phenolic resins,,16.00,16.00,1,,,,South Africa
392099 - - Of other plastics,,9.00,9.00,6,,,,South Africa
392111 - - Of polymers of styrene,,16.00,16.00,1,,,,South Africa
392112 - - Of polymers of vinyl chloride,,16.00,16.00,1,,,,South Africa
392113 - - Of polyurethanes,"7,129",9.00,9.00,2,,,,South Africa
392114 - - Of regenerated cellulose,,16.00,16.00,1,,,,South Africa
392119 - - Of other plastics,"302,152",16.00,16.00,1,,,,South Africa
392190 - Other,"14,125",10.40,10.40,5,,,,South Africa
"392210 - Baths, shower-baths, sinks and wash-basins","199,539",18.00,18.00,1,,,,South Africa
392220 - Lavatory seats and covers,,18.00,18.00,1,,,,South Africa
392290 - Other,"8,886",18.00,18.00,1,,,,South Africa
"392310 - Boxes, cases, crates and similar articles","3,600",18.00,18.00,2,,,,South Africa
392321 - - Of polymers of ethylene,,18.00,18.00,2,,,,South Africa
392329 - - Of other plastics,"100,343",18.00,18.00,2,,,,South Africa
"392330 - Carboys, bottles, flasks and similar articles","39,483",18.00,18.00,1,,,,South Africa
"392340 - Spools, cops, bobbins and similar supports",,18.00,18.00,1,,,,South Africa
"392350 - Stoppers, lids, caps and other closures","194,740",18.00,18.00,1,,,,South Africa
392390 - Other,,18.00,18.00,1,,,,South Africa
392410 - Tableware and kitchenware,"54,181",18.00,18.00,1,,,,South Africa
392490 - Other,"13,895",18.00,18.00,1,,,,South Africa
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,18.00,18.00,1,,,,South Africa
"392520 - Doors, windows and their frames and thresholds for doors",,18.00,18.00,1,,,,South Africa
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,18.00,18.00,1,,,,South Africa
392590 - Other,,18.00,18.00,2,,,,South Africa
392610 - Office or school supplies,,18.00,18.00,1,,,,South Africa
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)",,18.00,18.00,1,,,,South Africa
"392630 - Fittings for furniture, coachwork or the like","9,270",18.00,18.00,1,,,,South Africa
392640 - Statuettes and other ornamental articles,,18.00,18.00,1,,,,South Africa
392690 - Other,"41,714",12.22,12.22,9,,,,South Africa
,2016,"5,305,438",10.93,10.93,307,,,,South Africa
390110 - Polyethylene having a specific gravity of less than 0.94,"1,660,283",14.00,14.00,3,,,,South Africa
390120 - Polyethylene having a specific gravity of 0.94 or more,,8.00,8.00,4,,,,South Africa
390130 - Ethylene-vinyl acetate copolymers,,14.00,14.00,2,,,,South Africa
390190 - Other,,8.00,8.00,6,,,,South Africa
390210 - Polypropylene,"16,863",14.00,14.00,2,,,,South Africa
390220 - Polyisobutylene,,14.00,14.00,1,,,,South Africa
390230 - Propylene copolymers,,14.00,14.00,1,,,,South Africa
390290 - Other,,14.00,14.00,1,,,,South Africa
390311 -- Expansible,,14.00,14.00,2,,,,South Africa
390319 -- Other,,14.00,14.00,1,,,,South Africa
390320 - Styrene-acrylonitrile (SAN) copolymers,,14.00,14.00,1,,,,South Africa
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,14.00,14.00,2,,,,South Africa
390390 - Other,,10.00,10.00,3,,,,South Africa
"390410 - Poly(vinyl chloride), not mixed with any other substances",,14.00,14.00,3,,,,South Africa
390421 -- Non-plasticised,,14.00,14.00,1,,,,South Africa
390422 -- Plasticised,"194,015",14.00,14.00,1,,,,South Africa
390430 - Vinyl chloride-vinyl acetate copolymers,,14.00,14.00,1,,,,South Africa
390440 - Other vinyl chloride copolymers,,14.00,14.00,2,,,,South Africa
390450 - Vinylidene chloride polymers,,2.00,2.00,2,,,,South Africa
390461 -- Polytetrafluoroethylene,,2.00,2.00,2,,,,South Africa
390469 -- Other,,2.00,2.00,2,,,,South Africa
390490 - Other,,14.00,14.00,1,,,,South Africa
390512 -- In aqueous dispersion,,14.00,14.00,1,,,,South Africa
390519 -- Other,,14.00,14.00,2,,,,South Africa
390521 -- In aqueous dispersion,,14.00,14.00,1,,,,South Africa
390529 -- Other,,14.00,14.00,1,,,,South Africa
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,2.00,2.00,1,,,,South Africa
390591 -- Copolymers,,8.00,8.00,2,,,,South Africa
390599 -- Other,,4.50,4.50,4,,,,South Africa
390610 - Poly(methyl methacrylate),,14.00,14.00,1,,,,South Africa
390690 - Other,"349,352",9.76,9.76,17,,,,South Africa
390710 - Polyacetals,,8.67,8.67,9,,,,South Africa
390720 - Other polyethers,"4,090",8.67,8.67,9,,,,South Africa
390730 - Epoxide resins,80,14.00,14.00,5,,,,South Africa
390740 - Polycarbonates,,8.00,8.00,2,,,,South Africa
390750 - Alkyd resins,,14.00,14.00,2,,,,South Africa
390760 - Poly(ethylene terephthalate),,14.00,14.00,1,,,,South Africa
390770 - Poly(lactic acid),,14.00,14.00,1,,,,South Africa
390791 -- Unsaturated,,14.00,14.00,1,,,,South Africa
390799 -- Other,"46,518",8.00,8.00,6,,,,South Africa
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,6.80,6.80,10,,,,South Africa
390890 - Other,,6.00,6.00,3,,,,South Africa
390910 - Urea resins; thiourea resins,,14.00,14.00,1,,,,South Africa
390920 - Melamine resins,,14.00,14.00,4,,,,South Africa
390930 - Other amino-resins,,14.00,14.00,2,,,,South Africa
390940 - Phenolic resins,,14.00,14.00,4,,,,South Africa
390950 - Polyurethanes,,9.20,9.20,5,,,,South Africa
391000 Silicones in primary forms.,44,9.50,9.50,8,,,,South Africa
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,10.00,10.00,3,,,,South Africa
391190 - Other,"4,805",5.69,5.69,13,,,,South Africa
391211 -- Non-plasticised,,5.00,5.00,2,,,,South Africa
391212 -- Plasticised,,2.00,2.00,1,,,,South Africa
391220 - Cellulose nitrates (including collodions),,14.00,14.00,3,,,,South Africa
391231 -- Carboxymethylcellulose and its salts,,14.00,14.00,4,,,,South Africa
391239 -- Other,704,2.00,2.00,4,,,,South Africa
391290 - Other,,10.00,10.00,6,,,,South Africa
"391310 - Alginic acid, its salts and esters",,2.00,2.00,1,,,,South Africa
391390 - Other,"1,758,031",4.67,4.67,9,,,,South Africa
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,2.00,2.00,3,,,,South Africa
391510 - Of polymers of ethylene,,14.00,14.00,1,,,,South Africa
391520 - Of polymers of styrene,,14.00,14.00,1,,,,South Africa
391530 - Of polymers of vinyl chloride,,14.00,14.00,1,,,,South Africa
391590 - Of other plastics,,14.00,14.00,1,,,,South Africa
391610 - Of polymers of ethylene,,16.00,16.00,1,,,,South Africa
391620 - Of polymers of vinyl chloride,,16.00,16.00,1,,,,South Africa
391690 - Of other plastics,"2,064",16.00,16.00,2,,,,South Africa
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,,6.67,6.67,3,,,,South Africa
391721 -- Of polymers of ethylene,,16.00,16.00,1,,,,South Africa
391722 -- Of polymers of propylene,,16.00,16.00,1,,,,South Africa
391723 -- Of polymers of vinyl chloride,164,16.00,16.00,1,,,,South Africa
391729 -- Of other plastics,"45,033",16.00,16.00,1,,,,South Africa
"391731 -- Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",,16.00,16.00,1,,,,South Africa
"391732 -- Other, not reinforced or otherwise combined with other materials, without fittings","39,534",12.50,12.50,8,,,,South Africa
"391733 -- Other, not reinforced or otherwise combined with other materials, with fittings","100,926",16.00,16.00,1,,,,South Africa
391739 -- Other,"2,202",16.00,16.00,1,,,,South Africa
391740 - Fittings,"8,230",8.00,8.00,2,,,,South Africa
391810 - Of polymers of vinyl chloride,,16.00,16.00,1,,,,South Africa
391890 - Of other plastics,,16.00,16.00,1,,,,South Africa
391910 - In rolls of a width not exceeding 20 cm,,16.00,16.00,1,,,,South Africa
391990 - Other,"3,889",16.00,16.00,1,,,,South Africa
392010 - Of polymers of ethylene,903,6.67,6.67,3,,,,South Africa
392020 - Of polymers of propylene,,9.00,9.00,4,,,,South Africa
392030 - Of polymers of styrene,,16.00,16.00,1,,,,South Africa
392043 -- Containing by weight not less than 6 % of plasticisers,14,16.00,16.00,2,,,,South Africa
392049 -- Other,,16.00,16.00,1,,,,South Africa
392051 -- Of poly(methyl methacrylate),,16.00,16.00,1,,,,South Africa
392059 -- Other,,16.00,16.00,1,,,,South Africa
392061 -- Of polycarbonates,,16.00,16.00,1,,,,South Africa
392062 -- Of poly(ethylene terephthalate),"4,534",12.50,12.50,4,,,,South Africa
392063 -- Of unsaturated polyesters,,16.00,16.00,1,,,,South Africa
392069 -- Of other polyesters,,16.00,16.00,1,,,,South Africa
392071 -- Of regenerated cellulose,,16.00,16.00,1,,,,South Africa
392073 -- Of cellulose acetate,,16.00,16.00,2,,,,South Africa
392079 -- Of other cellulose derivatives,,9.00,9.00,2,,,,South Africa
392091 -- Of poly(vinyl butyral),,16.00,16.00,1,,,,South Africa
392092 -- Of polyamides,,16.00,16.00,1,,,,South Africa
392093 -- Of amino-resins,,16.00,16.00,1,,,,South Africa
392094 -- Of phenolic resins,,16.00,16.00,1,,,,South Africa
392099 -- Of other plastics,"59,074",9.00,9.00,6,,,,South Africa
392111 -- Of polymers of styrene,,16.00,16.00,1,,,,South Africa
392112 -- Of polymers of vinyl chloride,,16.00,16.00,1,,,,South Africa
392113 -- Of polyurethanes,262,9.00,9.00,2,,,,South Africa
392114 -- Of regenerated cellulose,,16.00,16.00,1,,,,South Africa
392119 -- Of other plastics,"360,485",16.00,16.00,1,,,,South Africa
392190 - Other,,10.40,10.40,5,,,,South Africa
"392210 - Baths, shower-baths, sinks and wash-basins","9,067",18.00,18.00,1,,,,South Africa
392220 - Lavatory seats and covers,,18.00,18.00,1,,,,South Africa
392290 - Other,"19,531",18.00,18.00,1,,,,South Africa
"392310 - Boxes, cases, crates and similar articles","25,566",18.00,18.00,2,,,,South Africa
392321 -- Of polymers of ethylene,,18.00,18.00,2,,,,South Africa
392329 -- Of other plastics,"335,937",18.00,18.00,2,,,,South Africa
"392330 - Carboys, bottles, flasks and similar articles",120,18.00,18.00,1,,,,South Africa
"392340 - Spools, cops, bobbins and similar supports",,18.00,18.00,1,,,,South Africa
"392350 - Stoppers, lids, caps and other closures","173,976",18.00,18.00,1,,,,South Africa
392390 - Other,80,18.00,18.00,1,,,,South Africa
392410 - Tableware and kitchenware,"1,411",18.00,18.00,1,,,,South Africa
392490 - Other,"7,400",18.00,18.00,1,,,,South Africa
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,18.00,18.00,1,,,,South Africa
"392520 - Doors, windows and their frames and thresholds for doors",,18.00,18.00,1,,,,South Africa
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,18.00,18.00,1,,,,South Africa
392590 - Other,,18.00,18.00,2,,,,South Africa
392610 - Office or school supplies,,18.00,18.00,1,,,,South Africa
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)",,18.00,18.00,1,,,,South Africa
