Importer,Year,Value,Ad val. duties,Number of lines,Brazil
,(US$),Simple average,MFN duties,Pref. duties,Brazil
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Brazil
880529 -- Other,,10.00,10.00,1,,,,Brazil
,2009,"556,019",7.90,7.90,20,,,,Brazil
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,10.00,10.00,3,,,,Brazil
"880211 -- Of an unladen weight not exceeding 2,000 kg",,10.00,10.00,1,,,,Brazil
"880212 -- Of an unladen weight exceeding 2,000 kg",,10.00,10.00,1,,,,Brazil
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","484,789",3.00,3.00,1,,,,Brazil
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,3.00,3.00,1,,,,Brazil
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,Brazil
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,Brazil
880310 - Propellers and rotors and parts thereof,,3.00,3.00,1,,,,Brazil
880320 - Under-carriages and parts thereof,,3.00,3.00,1,,,,Brazil
880330 - Other parts of aeroplanes or helicopters,"71,230",3.00,3.00,1,,,,Brazil
880390 - Other,,10.00,10.00,1,,,,Brazil
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,10.00,10.00,2,,,,Brazil
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,10.00,10.00,3,,,,Brazil
880521 -- Air combat simulators and parts thereof,,10.00,10.00,1,,,,Brazil
880529 -- Other,,10.00,10.00,1,,,,Brazil
,2008,"75,280",6.45,6.45,20,,,,Brazil
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,8.33,8.33,3,,,,Brazil
"880211 -- Of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,Brazil
"880212 -- Of an unladen weight exceeding 2,000 kg",,3.00,3.00,1,,,,Brazil
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,Brazil
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,3.00,3.00,1,,,,Brazil
