Importer,Year,Value,Ad val. duties,Number of lines,European Union
,(US$),Simple average,MFN duties,Pref. duties,European Union
,MFN,Best,All items,Non ad val.,All items,Non ad val.,European Union
Brazil,"777,601,433",,,,,,,European Union
,2018,,16.29,16.29,48,,,,European Union
"040110 - Of a fat content, by weight, not exceeding 1 %",,13.00,13.00,2,,,,European Union
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,13.00,13.00,2,,,,European Union
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,12.67,12.67,3,,,,European Union
"040150 - Of a fat content, by weight, exceeding 10 %",,12.67,12.67,3,,,,European Union
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,28.00,28.00,2,,,,European Union
040221 - - Not containing added sugar or other sweetening matter,,24.00,24.00,3,,,,European Union
040229 - - Other,,24.00,24.00,3,,,,European Union
040291 - - Not containing added sugar or other sweetening matter,,14.00,14.00,1,,,,European Union
040299 - - Other,,28.00,28.00,1,,,,European Union
040310 - Yogurt,,16.00,16.00,1,,,,European Union
040390 - Other,,16.00,16.00,1,,,,European Union
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,28.00,28.00,1,,,,European Union
040490 - Other,,14.00,14.00,1,,,,European Union
040510 - Butter,,16.00,16.00,1,,,,European Union
040520 - Dairy spreads,,16.00,16.00,1,,,,European Union
040590 - Other,,16.00,16.00,2,,,,European Union
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,22.00,22.00,2,,,,European Union
"040620 - Grated or powdered cheese, of all kinds",,16.00,16.00,1,,,,European Union
"040630 - Processed cheese, not grated or powdered",,16.00,16.00,1,,,,European Union
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,16.00,16.00,1,,,,European Union
040690 - Other cheese,,22.00,22.00,4,,,,European Union
040711 - - Of fowls of the species Gallus domesticus,,0.00,0.00,1,,,,European Union
040719 - - Other,,0.00,0.00,1,,,,European Union
040721 - - Of fowls of the species Gallus domesticus,,8.00,8.00,1,,,,European Union
040729 - - Other,,8.00,8.00,1,,,,European Union
040790 - Others,,8.00,8.00,1,,,,European Union
040811 - - Dried,,10.00,10.00,1,,,,European Union
040819 - - Other,,10.00,10.00,1,,,,European Union
040891 - - Dried,,10.00,10.00,1,,,,European Union
040899 - - Other,,10.00,10.00,1,,,,European Union
040900 Natural honey.,,16.00,16.00,1,,,,European Union
"041000 Edible products of animal origin, not elsewhere specified or included.",,14.00,14.00,1,,,,European Union
,2017,"35,754,396",16.29,16.29,48,,,,European Union
"040110 - Of a fat content, by weight, not exceeding 1 %",,13.00,13.00,2,,,,European Union
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,13.00,13.00,2,,,,European Union
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,12.67,12.67,3,,,,European Union
"040150 - Of a fat content, by weight, exceeding 10 %",,12.67,12.67,3,,,,European Union
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %","2,088,034",28.00,28.00,2,,,,European Union
040221 - - Not containing added sugar or other sweetening matter,,24.00,24.00,3,,,,European Union
040229 - - Other,,24.00,24.00,3,,,,European Union
040291 - - Not containing added sugar or other sweetening matter,,14.00,14.00,1,,,,European Union
040299 - - Other,,28.00,28.00,1,,,,European Union
040310 - Yogurt,,16.00,16.00,1,,,,European Union
040390 - Other,423,16.00,16.00,1,,,,European Union
