Importer,Year,Value,Ad val. duties,Number of lines,China
,(US$),Simple average,MFN duties,Pref. duties,China
,MFN,Best,All items,Non ad val.,All items,Non ad val.,China
Brazil,"74,807,300",,,,,,,China
,2018,,9.85,9.85,82,,,,China
080111 - - Desiccated,,10.00,10.00,1,,,,China
080112 - - In the inner shell (endocarp),,10.00,10.00,1,,,,China
080119 - - Other,,10.00,10.00,1,,,,China
080121 - - In shell,,10.00,10.00,1,,,,China
080122 - - Shelled,,10.00,10.00,1,,,,China
080131 - - In shell,,10.00,10.00,1,,,,China
080132 - - Shelled,,10.00,10.00,1,,,,China
080211 - - In shell,,10.00,10.00,1,,,,China
080212 - - Shelled,,10.00,10.00,1,,,,China
080221 - - In shell,,6.00,6.00,1,,,,China
080222 - - Shelled,,2.00,2.00,1,,,,China
080231 - - In shell,,10.00,10.00,1,,,,China
080232 - - Shelled,,10.00,10.00,1,,,,China
080241 - - In shell,,10.00,10.00,1,,,,China
080242 - - Shelled,,10.00,10.00,1,,,,China
080251 - - In shell,,10.00,10.00,1,,,,China
080252 - - Shelled,,10.00,10.00,1,,,,China
080261 - - In shell,,10.00,10.00,1,,,,China
080262 - - Shelled,,10.00,10.00,1,,,,China
080270 - Kola nuts (Cola spp.),,10.00,10.00,1,,,,China
080280 - Areca nuts,,10.00,10.00,1,,,,China
080290 - Other,,10.00,10.00,1,,,,China
080310 - Plantains,,10.00,10.00,1,,,,China
080390 - Other,,10.00,10.00,1,,,,China
080410 - Dates,,10.00,10.00,2,,,,China
080420 - Figs,,10.00,10.00,2,,,,China
080430 - Pineapples,,10.00,10.00,1,,,,China
080440 - Avocados,,10.00,10.00,1,,,,China
"080450 - Guavas, mangoes and mangosteens",,10.00,10.00,3,,,,China
080510 - Oranges,,10.00,10.00,1,,,,China
080521 - - Mandarins (including tangerines and satsumas),,10.00,10.00,1,,,,China
080522 - - Clementines,,10.00,10.00,1,,,,China
080529 - - Other,,10.00,10.00,1,,,,China
"080540 - Grapefruit, including pomelos",,10.00,10.00,1,,,,China
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,10.00,10.00,1,,,,China
080590 - Other,,10.00,10.00,1,,,,China
080610 - Fresh,,10.00,10.00,1,,,,China
080620 - Dried,,10.00,10.00,1,,,,China
080711 - - Watermelons,,10.00,10.00,1,,,,China
080719 - - Other,,10.00,10.00,1,,,,China
080720 - Papaws (papayas),,10.00,10.00,1,,,,China
080810 - Apples,,10.00,10.00,1,,,,China
080830 - Pears,,10.00,10.00,1,,,,China
080840 - Quinces,,10.00,10.00,1,,,,China
080910 - Apricots,,10.00,10.00,1,,,,China
080921 - - Sour cherries (Prunus cerasus),,10.00,10.00,1,,,,China
080929 - - Other,,10.00,10.00,1,,,,China
"080930 - Peaches, including nectarines",,10.00,10.00,2,,,,China
080940 - Plums and sloes,,10.00,10.00,1,,,,China
081010 - Strawberries,,10.00,10.00,1,,,,China
"081020 - Raspberries, blackberries, mulberries and loganberries",,10.00,10.00,1,,,,China
