Importer,Year,Value,Ad val. duties,Number of lines,Russian Federation
,(US$),Simple average,MFN duties,Pref. duties,Russian Federation
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Russian Federation
170310 - Cane molasses,,16.00,16.00,1,,,,Russian Federation
170390 - Other,"329,630",16.00,16.00,1,,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated",,20.00,20.00,1,,,,Russian Federation
170490 - Other,,20.00,20.00,3,,,,Russian Federation
,2014,"330,935",16.70,16.70,23,,,,Russian Federation
170112 -- Beet sugar,,16.00,16.00,1,,,,Russian Federation
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,Russian Federation
170114 -- Other cane sugar,,16.00,16.00,1,,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,Russian Federation
170199 -- Other,,16.00,16.00,1,,,,Russian Federation
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,Russian Federation
170219 -- Other,,16.00,16.00,1,,,,Russian Federation
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,16.00,16.00,3,,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Russian Federation
170250 - Chemically pure fructose,,16.00,16.00,1,,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,16.00,16.00,1,,,,Russian Federation
170310 - Cane molasses,,16.00,16.00,1,,,,Russian Federation
170390 - Other,"330,935",16.00,16.00,1,,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated",,20.00,20.00,1,,,,Russian Federation
170490 - Other,,20.00,20.00,3,,,,Russian Federation
,2013,"100,134",16.70,16.70,23,,,,Russian Federation
170112 -- Beet sugar,,16.00,16.00,1,,,,Russian Federation
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,Russian Federation
170114 -- Other cane sugar,,16.00,16.00,1,,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,Russian Federation
170199 -- Other,,16.00,16.00,1,,,,Russian Federation
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,Russian Federation
170219 -- Other,,16.00,16.00,1,,,,Russian Federation
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,16.00,16.00,3,,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Russian Federation
170250 - Chemically pure fructose,,16.00,16.00,1,,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,16.00,16.00,1,,,,Russian Federation
170310 - Cane molasses,,16.00,16.00,1,,,,Russian Federation
170390 - Other,"100,134",16.00,16.00,1,,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated",,20.00,20.00,1,,,,Russian Federation
170490 - Other,,20.00,20.00,3,,,,Russian Federation
,2012,"279,288",16.70,16.70,23,,,,Russian Federation
170112 -- Beet sugar,,16.00,16.00,1,,,,Russian Federation
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,Russian Federation
170114 -- Other cane sugar,,16.00,16.00,1,,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,Russian Federation
170199 -- Other,,16.00,16.00,1,,,,Russian Federation
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,Russian Federation
170219 -- Other,,16.00,16.00,1,,,,Russian Federation
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,16.00,16.00,3,,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Russian Federation
170250 - Chemically pure fructose,,16.00,16.00,1,,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,16.00,16.00,1,,,,Russian Federation
170310 - Cane molasses,,16.00,16.00,1,,,,Russian Federation
170390 - Other,"279,288",16.00,16.00,1,,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated",,20.00,20.00,1,,,,Russian Federation
170490 - Other,,20.00,20.00,3,,,,Russian Federation
,2011,,16.73,16.73,22,,,,Russian Federation
170111 -- Cane sugar,,16.00,16.00,1,,,,Russian Federation
170112 -- Beet sugar,,16.00,16.00,1,,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,Russian Federation
170199 -- Other,,16.00,16.00,1,,,,Russian Federation
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,Russian Federation
170219 -- Other,,16.00,16.00,1,,,,Russian Federation
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,16.00,16.00,3,,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Russian Federation
170250 - Chemically pure fructose,,16.00,16.00,1,,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",,16.00,16.00,1,,,,Russian Federation
170310 - Cane molasses,,16.00,16.00,1,,,,Russian Federation
170390 - Other,,16.00,16.00,1,,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated",,20.00,20.00,1,,,,Russian Federation
170490 - Other,,20.00,20.00,3,,,,Russian Federation
,2010,,16.73,16.73,22,,,,Russian Federation
170111 -- Cane sugar,,16.00,16.00,1,,,,Russian Federation
170112 -- Beet sugar,,16.00,16.00,1,,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,Russian Federation
170199 -- Other,,16.00,16.00,1,,,,Russian Federation
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,Russian Federation
170219 -- Other,,16.00,16.00,1,,,,Russian Federation
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,16.00,16.00,3,,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Russian Federation
170250 - Chemically pure fructose,,16.00,16.00,1,,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",,16.00,16.00,1,,,,Russian Federation
170310 - Cane molasses,,16.00,16.00,1,,,,Russian Federation
170390 - Other,,16.00,16.00,1,,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated",,20.00,20.00,1,,,,Russian Federation
170490 - Other,,20.00,20.00,3,,,,Russian Federation
,2009,,16.73,16.73,22,,,,Russian Federation
170111 -- Cane sugar,,16.00,16.00,1,,,,Russian Federation
170112 -- Beet sugar,,16.00,16.00,1,,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,Russian Federation
170199 -- Other,,16.00,16.00,1,,,,Russian Federation
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,Russian Federation
170219 -- Other,,16.00,16.00,1,,,,Russian Federation
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,16.00,16.00,3,,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Russian Federation
170250 - Chemically pure fructose,,16.00,16.00,1,,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",,16.00,16.00,1,,,,Russian Federation
170310 - Cane molasses,,16.00,16.00,1,,,,Russian Federation
170390 - Other,,16.00,16.00,1,,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated",,20.00,20.00,1,,,,Russian Federation
170490 - Other,,20.00,20.00,3,,,,Russian Federation
,2008,,16.73,16.73,22,,,,Russian Federation
170111 -- Cane sugar,,16.00,16.00,1,,,,Russian Federation
170112 -- Beet sugar,,16.00,16.00,1,,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,Russian Federation
170199 -- Other,,16.00,16.00,1,,,,Russian Federation
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,Russian Federation
170219 -- Other,,16.00,16.00,1,,,,Russian Federation
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,16.00,16.00,3,,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Russian Federation
170250 - Chemically pure fructose,,16.00,16.00,1,,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",,16.00,16.00,1,,,,Russian Federation
170310 - Cane molasses,,16.00,16.00,1,,,,Russian Federation
170390 - Other,,16.00,16.00,1,,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated",,20.00,20.00,1,,,,Russian Federation
170490 - Other,,20.00,20.00,3,,,,Russian Federation
,2007,,16.73,16.73,22,,,,Russian Federation
170111 -- Cane sugar,,16.00,16.00,1,,,,Russian Federation
170112 -- Beet sugar,,16.00,16.00,1,,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,Russian Federation
170199 -- Other,,16.00,16.00,1,,,,Russian Federation
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,Russian Federation
170219 -- Other,,16.00,16.00,1,,,,Russian Federation
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,16.00,16.00,3,,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Russian Federation
170250 - Chemically pure fructose,,16.00,16.00,1,,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",,16.00,16.00,1,,,,Russian Federation
170310 - Cane molasses,,16.00,16.00,1,,,,Russian Federation
170390 - Other,,16.00,16.00,1,,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated",,20.00,20.00,1,,,,Russian Federation
170490 - Other,,20.00,20.00,3,,,,Russian Federation
,2006,,16.73,16.73,22,,,,Russian Federation
170111 -- Cane sugar,,16.00,16.00,1,,,,Russian Federation
170112 -- Beet sugar,,16.00,16.00,1,,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,Russian Federation
170199 -- Other,,16.00,16.00,1,,,,Russian Federation
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,Russian Federation
170219 -- Other,,16.00,16.00,1,,,,Russian Federation
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,16.00,16.00,3,,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Russian Federation
170250 - Chemically pure fructose,,16.00,16.00,1,,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",,16.00,16.00,1,,,,Russian Federation
170310 - Cane molasses,,16.00,16.00,1,,,,Russian Federation
170390 - Other,,16.00,16.00,1,,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated",,20.00,20.00,1,,,,Russian Federation
170490 - Other,,20.00,20.00,3,,,,Russian Federation
,2005,,16.73,16.73,22,,,,Russian Federation
170111 -- Cane sugar,,16.00,16.00,1,,,,Russian Federation
170112 -- Beet sugar,,16.00,16.00,1,,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,Russian Federation
170199 -- Other,,16.00,16.00,1,,,,Russian Federation
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,Russian Federation
170219 -- Other,,16.00,16.00,1,,,,Russian Federation
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,16.00,16.00,3,,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Russian Federation
170250 - Chemically pure fructose,,16.00,16.00,1,,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",,16.00,16.00,1,,,,Russian Federation
170310 - Cane molasses,,16.00,16.00,1,,,,Russian Federation
170390 - Other,,16.00,16.00,1,,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated",,20.00,20.00,1,,,,Russian Federation
170490 - Other,,20.00,20.00,3,,,,Russian Federation
,2004,,16.73,16.73,22,,,,Russian Federation
170111 -- Cane sugar,,16.00,16.00,1,,,,Russian Federation
170112 -- Beet sugar,,16.00,16.00,1,,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,Russian Federation
170199 -- Other,,16.00,16.00,1,,,,Russian Federation
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,Russian Federation
170219 -- Other,,16.00,16.00,1,,,,Russian Federation
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,16.00,16.00,3,,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Russian Federation
170250 - Chemically pure fructose,,16.00,16.00,1,,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",,16.00,16.00,1,,,,Russian Federation
170310 - Cane molasses,,16.00,16.00,1,,,,Russian Federation
170390 - Other,,16.00,16.00,1,,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated",,20.00,20.00,1,,,,Russian Federation
170490 - Other,,20.00,20.00,3,,,,Russian Federation
,2003,,18.23,18.23,22,,,,Russian Federation
170111 -- Cane sugar,,17.50,17.50,1,,,,Russian Federation
170112 -- Beet sugar,,17.50,17.50,1,,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,,17.50,17.50,1,,,,Russian Federation
170199 -- Other,,17.50,17.50,1,,,,Russian Federation
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,17.50,17.50,1,,,,Russian Federation
170219 -- Other,,17.50,17.50,1,,,,Russian Federation
170220 - Maple sugar and maple syrup,,17.50,17.50,1,,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,17.50,17.50,3,,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar",,17.50,17.50,2,,,,Russian Federation
170250 - Chemically pure fructose,,17.50,17.50,1,,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,17.50,17.50,2,,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",,17.50,17.50,1,,,,Russian Federation
170310 - Cane molasses,,17.50,17.50,1,,,,Russian Federation
170390 - Other,,17.50,17.50,1,,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated",,21.50,21.50,1,,,,Russian Federation
170490 - Other,,21.50,21.50,3,,,,Russian Federation
,2002,,18.23,18.23,22,,,,Russian Federation
170111 -- Cane sugar,,17.50,17.50,1,,,,Russian Federation
170112 -- Beet sugar,,17.50,17.50,1,,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,,17.50,17.50,1,,,,Russian Federation
170199 -- Other,,17.50,17.50,1,,,,Russian Federation
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,17.50,17.50,1,,,,Russian Federation
170219 -- Other,,17.50,17.50,1,,,,Russian Federation
170220 - Maple sugar and maple syrup,,17.50,17.50,1,,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,17.50,17.50,3,,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar",,17.50,17.50,2,,,,Russian Federation
170250 - Chemically pure fructose,,17.50,17.50,1,,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,17.50,17.50,2,,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",,17.50,17.50,1,,,,Russian Federation
170310 - Cane molasses,,17.50,17.50,1,,,,Russian Federation
170390 - Other,,17.50,17.50,1,,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated",,21.50,21.50,1,,,,Russian Federation
170490 - Other,,21.50,21.50,3,,,,Russian Federation
,2001,,19.23,19.23,22,,,,Russian Federation
170111 - - Cane sugar,,18.50,18.50,1,,,,Russian Federation
170112 - - Beet sugar,,18.50,18.50,1,,,,Russian Federation
170191 - - Containing added flavouring or colouring matter,,18.50,18.50,1,,,,Russian Federation
170199 - - Other,,18.50,18.50,1,,,,Russian Federation
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,18.50,18.50,1,,,,Russian Federation
170219 - - Other,,18.50,18.50,1,,,,Russian Federation
170220 - Maple sugar and maple syrup,,18.50,18.50,1,,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,18.50,18.50,3,,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose",,18.50,18.50,2,,,,Russian Federation
170250 - Chemically pure fructose,,18.50,18.50,1,,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose",,18.50,18.50,2,,,,Russian Federation
"170290 - Other, including invert sugar",,18.50,18.50,1,,,,Russian Federation
170310 - Cane molasses,,18.50,18.50,1,,,,Russian Federation
170390 - Other,,18.50,18.50,1,,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated",,22.50,22.50,1,,,,Russian Federation
170490 - Other,,22.50,22.50,3,,,,Russian Federation
,2000,,19.73,19.73,22,,,,Russian Federation
170111 - - Cane sugar,,19.00,19.00,1,,,,Russian Federation
170112 - - Beet sugar,,19.00,19.00,1,,,,Russian Federation
170191 - - Containing added flavouring or colouring matter,,19.00,19.00,1,,,,Russian Federation
170199 - - Other,,19.00,19.00,1,,,,Russian Federation
