Importer,Year,Value,Ad val. duties,Number of lines,"Saudi Arabia, Kingdom of"
,(US$),Simple average,MFN duties,Pref. duties,"Saudi Arabia, Kingdom of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Saudi Arabia, Kingdom of"
080232 - - Shelled,38,5.10,5.10,1,,,,"Saudi Arabia, Kingdom of"
080241 - - In shell,,5.60,5.60,1,,,,"Saudi Arabia, Kingdom of"
080242 - - Shelled,38,5.60,5.60,1,,,,"Saudi Arabia, Kingdom of"
080251 - - In shell,1,1.60,1.60,1,,,,"Saudi Arabia, Kingdom of"
080252 - - Shelled,,1.60,1.60,1,,,,"Saudi Arabia, Kingdom of"
080261 - - In shell,,2.00,2.00,1,,,,"Saudi Arabia, Kingdom of"
080262 - - Shelled,5,2.00,2.00,1,,,,"Saudi Arabia, Kingdom of"
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080280 - Areca nuts,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080290 - Other,896,1.33,1.33,3,,,,"Saudi Arabia, Kingdom of"
080310 - Plantains,1,16.00,16.00,2,,,,"Saudi Arabia, Kingdom of"
080390 - Other,135,16.00,16.00,2,1,,,"Saudi Arabia, Kingdom of"
080410 - Dates,"7,591,120",7.70,7.70,1,,,,"Saudi Arabia, Kingdom of"
080420 - Figs,"15,556",6.80,6.80,2,,,,"Saudi Arabia, Kingdom of"
080430 - Pineapples,223,5.80,5.80,1,,,,"Saudi Arabia, Kingdom of"
080440 - Avocados,"18,286",4.00,4.00,1,,,,"Saudi Arabia, Kingdom of"
"080450 - Guavas, mangoes and mangosteens","7,803",0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080510 - Oranges,330,16.00,16.00,4,3,,,"Saudi Arabia, Kingdom of"
080521 - - Mandarins (including tangerines and satsumas),15,,,2,2,,,"Saudi Arabia, Kingdom of"
080522 - - Clementines,29,,,1,1,,,"Saudi Arabia, Kingdom of"
080529 - - Other,29,,,1,1,,,"Saudi Arabia, Kingdom of"
"080540 - Grapefruit, including pomelos",265,1.50,1.50,1,,,,"Saudi Arabia, Kingdom of"
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",154,12.80,12.80,2,1,,,"Saudi Arabia, Kingdom of"
080590 - Other,5,12.80,12.80,1,,,,"Saudi Arabia, Kingdom of"
080610 - Fresh,557,14.40,14.40,2,1,,,"Saudi Arabia, Kingdom of"
080620 - Dried,397,2.40,2.40,3,,,,"Saudi Arabia, Kingdom of"
080711 - - Watermelons,291,8.80,8.80,1,,,,"Saudi Arabia, Kingdom of"
080719 - - Other,846,8.80,8.80,1,,,,"Saudi Arabia, Kingdom of"
080720 - Papaws (papayas),8,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080810 - Apples,62,,,2,2,,,"Saudi Arabia, Kingdom of"
080830 - Pears,26,,,2,2,,,"Saudi Arabia, Kingdom of"
080840 - Quinces,,7.20,7.20,1,,,,"Saudi Arabia, Kingdom of"
080910 - Apricots,2,,,1,1,,,"Saudi Arabia, Kingdom of"
080921 - - Sour cherries (Prunus cerasus),,,,1,1,,,"Saudi Arabia, Kingdom of"
080929 - - Other,3,,,1,1,,,"Saudi Arabia, Kingdom of"
"080930 - Peaches, including nectarines",29,,,2,2,,,"Saudi Arabia, Kingdom of"
080940 - Plums and sloes,94,12.00,12.00,2,1,,,"Saudi Arabia, Kingdom of"
081010 - Strawberries,,11.20,11.20,1,,,,"Saudi Arabia, Kingdom of"
"081020 - Raspberries, blackberries, mulberries and loganberries",9,9.20,9.20,2,,,,"Saudi Arabia, Kingdom of"
"081030 - Black, white or red currants and gooseberries",1,9.07,9.07,3,,,,"Saudi Arabia, Kingdom of"
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",195,4.00,4.00,4,,,,"Saudi Arabia, Kingdom of"
081050 - Kiwifruit,10,8.80,8.80,1,,,,"Saudi Arabia, Kingdom of"
081060 - Durians,,8.80,8.80,1,,,,"Saudi Arabia, Kingdom of"
081070 - Persimmons,,8.80,8.80,1,,,,"Saudi Arabia, Kingdom of"
081090 - Other,124,4.40,4.40,2,,,,"Saudi Arabia, Kingdom of"
081110 - Strawberries,37,17.60,17.60,3,1,,,"Saudi Arabia, Kingdom of"
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",44,14.67,14.67,7,1,,,"Saudi Arabia, Kingdom of"
081190 - Other,"471,084",10.75,10.75,10,2,,,"Saudi Arabia, Kingdom of"
081210 - Cherries,,8.80,8.80,1,,,,"Saudi Arabia, Kingdom of"
081290 - Other,,7.16,7.16,5,,,,"Saudi Arabia, Kingdom of"
081310 - Apricots,11,5.60,5.60,1,,,,"Saudi Arabia, Kingdom of"
081320 - Prunes,5,9.60,9.60,1,,,,"Saudi Arabia, Kingdom of"
081330 - Apples,,3.20,3.20,1,,,,"Saudi Arabia, Kingdom of"
081340 - Other fruit,468,3.28,3.28,5,,,,"Saudi Arabia, Kingdom of"
081350 - Mixtures of nuts or dried fruits of this Chapter,82,6.86,6.86,7,,,,"Saudi Arabia, Kingdom of"
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,1.60,1.60,1,,,,"Saudi Arabia, Kingdom of"
,2016,"4,454,661",6.67,6.67,124,23,,,"Saudi Arabia, Kingdom of"
080111 -- Desiccated,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080112 -- In the inner shell (endocarp),,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080119 -- Other,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080121 -- In shell,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080122 -- Shelled,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080131 -- In shell,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080132 -- Shelled,212,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080211 -- In shell,278,2.80,2.80,2,,,,"Saudi Arabia, Kingdom of"
080212 -- Shelled,176,1.75,1.75,2,,,,"Saudi Arabia, Kingdom of"
080221 -- In shell,,3.20,3.20,1,,,,"Saudi Arabia, Kingdom of"
080222 -- Shelled,88,3.20,3.20,1,,,,"Saudi Arabia, Kingdom of"
080231 -- In shell,,4.00,4.00,1,,,,"Saudi Arabia, Kingdom of"
080232 -- Shelled,,5.10,5.10,1,,,,"Saudi Arabia, Kingdom of"
080241 -- In shell,,5.60,5.60,1,,,,"Saudi Arabia, Kingdom of"
080242 -- Shelled,,5.60,5.60,1,,,,"Saudi Arabia, Kingdom of"
080251 -- In shell,208,1.60,1.60,1,,,,"Saudi Arabia, Kingdom of"
080252 -- Shelled,,1.60,1.60,1,,,,"Saudi Arabia, Kingdom of"
080261 -- In shell,,2.00,2.00,1,,,,"Saudi Arabia, Kingdom of"
080262 -- Shelled,,2.00,2.00,1,,,,"Saudi Arabia, Kingdom of"
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080280 - Areca nuts,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080290 - Other,118,1.33,1.33,3,,,,"Saudi Arabia, Kingdom of"
080310 - Plantains,,16.00,16.00,2,,,,"Saudi Arabia, Kingdom of"
080390 - Other,,16.00,16.00,2,1,,,"Saudi Arabia, Kingdom of"
080410 - Dates,"4,349,697",7.70,7.70,1,,,,"Saudi Arabia, Kingdom of"
080420 - Figs,"42,028",6.80,6.80,2,,,,"Saudi Arabia, Kingdom of"
080430 - Pineapples,,5.80,5.80,1,,,,"Saudi Arabia, Kingdom of"
080440 - Avocados,"10,233",4.00,4.00,1,,,,"Saudi Arabia, Kingdom of"
"080450 - Guavas, mangoes and mangosteens","6,774",0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080510 - Oranges,,16.00,16.00,2,1,,,"Saudi Arabia, Kingdom of"
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids",,,,5,5,,,"Saudi Arabia, Kingdom of"
"080540 - Grapefruit, including pomelos",,1.50,1.50,1,,,,"Saudi Arabia, Kingdom of"
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,12.80,12.80,2,1,,,"Saudi Arabia, Kingdom of"
080590 - Other,,12.80,12.80,1,,,,"Saudi Arabia, Kingdom of"
080610 - Fresh,"32,506",14.40,14.40,2,1,,,"Saudi Arabia, Kingdom of"
080620 - Dried,,2.40,2.40,3,,,,"Saudi Arabia, Kingdom of"
080711 -- Watermelons,,8.80,8.80,1,,,,"Saudi Arabia, Kingdom of"
080719 -- Other,,8.80,8.80,1,,,,"Saudi Arabia, Kingdom of"
080720 - Papaws (papayas),,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080810 - Apples,,,,2,2,,,"Saudi Arabia, Kingdom of"
080830 - Pears,,,,2,2,,,"Saudi Arabia, Kingdom of"
080840 - Quinces,,7.20,7.20,1,,,,"Saudi Arabia, Kingdom of"
080910 - Apricots,,,,1,1,,,"Saudi Arabia, Kingdom of"
080921 -- Sour cherries (Prunus cerasus),,,,1,1,,,"Saudi Arabia, Kingdom of"
080929 -- Other,,,,1,1,,,"Saudi Arabia, Kingdom of"
"080930 - Peaches, including nectarines",,,,2,2,,,"Saudi Arabia, Kingdom of"
080940 - Plums and sloes,,12.00,12.00,2,1,,,"Saudi Arabia, Kingdom of"
081010 - Strawberries,,11.20,11.20,1,,,,"Saudi Arabia, Kingdom of"
"081020 - Raspberries, blackberries, mulberries and loganberries",,9.20,9.20,2,,,,"Saudi Arabia, Kingdom of"
"081030 - Black, white or red currants and gooseberries",,9.07,9.07,3,,,,"Saudi Arabia, Kingdom of"
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,4.00,4.00,4,,,,"Saudi Arabia, Kingdom of"
081050 - Kiwifruit,,8.80,8.80,1,,,,"Saudi Arabia, Kingdom of"
081060 - Durians,,8.80,8.80,1,,,,"Saudi Arabia, Kingdom of"
081070 - Persimmons,,8.80,8.80,1,,,,"Saudi Arabia, Kingdom of"
081090 - Other,,4.40,4.40,2,,,,"Saudi Arabia, Kingdom of"
081110 - Strawberries,,17.60,17.60,3,1,,,"Saudi Arabia, Kingdom of"
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,14.67,14.67,7,1,,,"Saudi Arabia, Kingdom of"
081190 - Other,"9,480",10.75,10.75,10,2,,,"Saudi Arabia, Kingdom of"
081210 - Cherries,,8.80,8.80,1,,,,"Saudi Arabia, Kingdom of"
081290 - Other,159,7.16,7.16,5,,,,"Saudi Arabia, Kingdom of"
081310 - Apricots,,5.60,5.60,1,,,,"Saudi Arabia, Kingdom of"
081320 - Prunes,,9.60,9.60,1,,,,"Saudi Arabia, Kingdom of"
081330 - Apples,,3.20,3.20,1,,,,"Saudi Arabia, Kingdom of"
081340 - Other fruit,431,3.28,3.28,5,,,,"Saudi Arabia, Kingdom of"
081350 - Mixtures of nuts or dried fruits of this Chapter,"2,123",6.86,6.86,7,,,,"Saudi Arabia, Kingdom of"
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",148,1.60,1.60,1,,,,"Saudi Arabia, Kingdom of"
,2015,"5,096,877",6.67,6.67,124,23,,,"Saudi Arabia, Kingdom of"
080111 -- Desiccated,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080112 -- In the inner shell (endocarp),,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080119 -- Other,32,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080121 -- In shell,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080122 -- Shelled,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080131 -- In shell,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080132 -- Shelled,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080211 -- In shell,512,2.80,2.80,2,,,,"Saudi Arabia, Kingdom of"
080212 -- Shelled,,1.75,1.75,2,,,,"Saudi Arabia, Kingdom of"
080221 -- In shell,,3.20,3.20,1,,,,"Saudi Arabia, Kingdom of"
080222 -- Shelled,,3.20,3.20,1,,,,"Saudi Arabia, Kingdom of"
080231 -- In shell,,4.00,4.00,1,,,,"Saudi Arabia, Kingdom of"
080232 -- Shelled,,5.10,5.10,1,,,,"Saudi Arabia, Kingdom of"
080241 -- In shell,,5.60,5.60,1,,,,"Saudi Arabia, Kingdom of"
080242 -- Shelled,,5.60,5.60,1,,,,"Saudi Arabia, Kingdom of"
080251 -- In shell,4,1.60,1.60,1,,,,"Saudi Arabia, Kingdom of"
080252 -- Shelled,,1.60,1.60,1,,,,"Saudi Arabia, Kingdom of"
080261 -- In shell,,2.00,2.00,1,,,,"Saudi Arabia, Kingdom of"
080262 -- Shelled,,2.00,2.00,1,,,,"Saudi Arabia, Kingdom of"
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080280 - Areca nuts,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080290 - Other,"1,222",1.33,1.33,3,,,,"Saudi Arabia, Kingdom of"
080310 - Plantains,,16.00,16.00,2,,,,"Saudi Arabia, Kingdom of"
080390 - Other,,16.00,16.00,2,1,,,"Saudi Arabia, Kingdom of"
080410 - Dates,"4,982,022",7.70,7.70,1,,,,"Saudi Arabia, Kingdom of"
080420 - Figs,"8,006",6.80,6.80,2,,,,"Saudi Arabia, Kingdom of"
080430 - Pineapples,91,5.80,5.80,1,,,,"Saudi Arabia, Kingdom of"
080440 - Avocados,"10,379",4.00,4.00,1,,,,"Saudi Arabia, Kingdom of"
"080450 - Guavas, mangoes and mangosteens","11,724",0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080510 - Oranges,"19,788",16.00,16.00,2,1,,,"Saudi Arabia, Kingdom of"
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids",,,,5,5,,,"Saudi Arabia, Kingdom of"
"080540 - Grapefruit, including pomelos",,1.50,1.50,1,,,,"Saudi Arabia, Kingdom of"
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,12.80,12.80,2,1,,,"Saudi Arabia, Kingdom of"
080590 - Other,,12.80,12.80,1,,,,"Saudi Arabia, Kingdom of"
080610 - Fresh,,14.40,14.40,2,1,,,"Saudi Arabia, Kingdom of"
080620 - Dried,34,2.40,2.40,3,,,,"Saudi Arabia, Kingdom of"
080711 -- Watermelons,,8.80,8.80,1,,,,"Saudi Arabia, Kingdom of"
080719 -- Other,,8.80,8.80,1,,,,"Saudi Arabia, Kingdom of"
080720 - Papaws (papayas),"1,807",0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080810 - Apples,,,,2,2,,,"Saudi Arabia, Kingdom of"
080830 - Pears,,,,2,2,,,"Saudi Arabia, Kingdom of"
080840 - Quinces,,7.20,7.20,1,,,,"Saudi Arabia, Kingdom of"
080910 - Apricots,,,,1,1,,,"Saudi Arabia, Kingdom of"
080921 -- Sour cherries (Prunus cerasus),,,,1,1,,,"Saudi Arabia, Kingdom of"
080929 -- Other,,,,1,1,,,"Saudi Arabia, Kingdom of"
"080930 - Peaches, including nectarines",,,,2,2,,,"Saudi Arabia, Kingdom of"
080940 - Plums and sloes,,12.00,12.00,2,1,,,"Saudi Arabia, Kingdom of"
081010 - Strawberries,,11.20,11.20,1,,,,"Saudi Arabia, Kingdom of"
"081020 - Raspberries, blackberries, mulberries and loganberries",,9.20,9.20,2,,,,"Saudi Arabia, Kingdom of"
"081030 - Black, white or red currants and gooseberries",,9.07,9.07,3,,,,"Saudi Arabia, Kingdom of"
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,4.00,4.00,4,,,,"Saudi Arabia, Kingdom of"
081050 - Kiwifruit,,8.80,8.80,1,,,,"Saudi Arabia, Kingdom of"
081060 - Durians,,8.80,8.80,1,,,,"Saudi Arabia, Kingdom of"
081070 - Persimmons,,8.80,8.80,1,,,,"Saudi Arabia, Kingdom of"
081090 - Other,441,4.40,4.40,2,,,,"Saudi Arabia, Kingdom of"
081110 - Strawberries,,17.60,17.60,3,1,,,"Saudi Arabia, Kingdom of"
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,14.67,14.67,7,1,,,"Saudi Arabia, Kingdom of"
081190 - Other,"58,258",10.75,10.75,10,2,,,"Saudi Arabia, Kingdom of"
081210 - Cherries,,8.80,8.80,1,,,,"Saudi Arabia, Kingdom of"
081290 - Other,,7.16,7.16,5,,,,"Saudi Arabia, Kingdom of"
081310 - Apricots,,5.60,5.60,1,,,,"Saudi Arabia, Kingdom of"
081320 - Prunes,,9.60,9.60,1,,,,"Saudi Arabia, Kingdom of"
081330 - Apples,,3.20,3.20,1,,,,"Saudi Arabia, Kingdom of"
081340 - Other fruit,"2,243",3.28,3.28,5,,,,"Saudi Arabia, Kingdom of"
081350 - Mixtures of nuts or dried fruits of this Chapter,313,6.86,6.86,7,,,,"Saudi Arabia, Kingdom of"
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,1.60,1.60,1,,,,"Saudi Arabia, Kingdom of"
,2014,"4,370,346",6.67,6.67,124,23,,,"Saudi Arabia, Kingdom of"
080111 -- Desiccated,44,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080112 -- In the inner shell (endocarp),,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080119 -- Other,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080121 -- In shell,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080122 -- Shelled,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080131 -- In shell,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080132 -- Shelled,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080211 -- In shell,,2.80,2.80,2,,,,"Saudi Arabia, Kingdom of"
080212 -- Shelled,918,1.75,1.75,2,,,,"Saudi Arabia, Kingdom of"
080221 -- In shell,,3.20,3.20,1,,,,"Saudi Arabia, Kingdom of"
080222 -- Shelled,,3.20,3.20,1,,,,"Saudi Arabia, Kingdom of"
080231 -- In shell,,4.00,4.00,1,,,,"Saudi Arabia, Kingdom of"
080232 -- Shelled,667,5.10,5.10,1,,,,"Saudi Arabia, Kingdom of"
080241 -- In shell,,5.60,5.60,1,,,,"Saudi Arabia, Kingdom of"
080242 -- Shelled,,5.60,5.60,1,,,,"Saudi Arabia, Kingdom of"
080251 -- In shell,,1.60,1.60,1,,,,"Saudi Arabia, Kingdom of"
080252 -- Shelled,284,1.60,1.60,1,,,,"Saudi Arabia, Kingdom of"
080261 -- In shell,,2.00,2.00,1,,,,"Saudi Arabia, Kingdom of"
080262 -- Shelled,,2.00,2.00,1,,,,"Saudi Arabia, Kingdom of"
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080280 - Areca nuts,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080290 - Other,"1,091",1.33,1.33,3,,,,"Saudi Arabia, Kingdom of"
080310 - Plantains,,16.00,16.00,2,,,,"Saudi Arabia, Kingdom of"
080390 - Other,,16.00,16.00,2,1,,,"Saudi Arabia, Kingdom of"
080410 - Dates,"4,190,823",7.70,7.70,1,,,,"Saudi Arabia, Kingdom of"
080420 - Figs,"6,648",6.80,6.80,2,,,,"Saudi Arabia, Kingdom of"
080430 - Pineapples,,5.80,5.80,1,,,,"Saudi Arabia, Kingdom of"
080440 - Avocados,"5,981",4.00,4.00,1,,,,"Saudi Arabia, Kingdom of"
"080450 - Guavas, mangoes and mangosteens","2,466",0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
080510 - Oranges,,16.00,16.00,2,1,,,"Saudi Arabia, Kingdom of"
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids",,,,5,5,,,"Saudi Arabia, Kingdom of"
