Importer,Year,Value,Ad val. duties,Number of lines,Albania
,(US$),Simple average,MFN duties,Pref. duties,Albania
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Albania
European Union,"519,966,966",,,,,,,Albania
,2018,,2.39,0.00,498,,352,,Albania
850110 - Motors of an output not exceeding 37.5 W,,3.20,0.00,4,,4,,Albania
850120 - Universal AC/DC motors of an output exceeding 37.5 W,,2.70,0.00,1,,1,,Albania
850131 - - Of an output not exceeding 750 W,,2.70,0.00,1,,1,,Albania
850132 - - Of an output exceeding 750 W but not exceeding 75 kW,,2.70,0.00,1,,1,,Albania
850133 - - Of an output exceeding 75 kW but not exceeding 375 kW,,2.70,0.00,1,,1,,Albania
850134 - - Of an output exceeding 375 kW,,2.70,0.00,1,,1,,Albania
"850140 - Other AC motors, single-phase",,2.70,0.00,2,,2,,Albania
850151 - - Of an output not exceeding 750 W,,2.70,0.00,1,,1,,Albania
850152 - - Of an output exceeding 750 W but not exceeding 75 kW,,2.70,0.00,3,,3,,Albania
850153 - - Of an output exceeding 75 kW,,2.70,0.00,4,,4,,Albania
850161 - - Of an output not exceeding 75 kVA,,2.70,0.00,2,,2,,Albania
850162 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,,2.70,0.00,1,,1,,Albania
850163 - - Of an output exceeding 375 kVA but not exceeding 750 kVA,,2.70,0.00,1,,1,,Albania
850164 - - Of an output exceeding 750 kVA,,2.70,0.00,1,,1,,Albania
850211 - - Of an output not exceeding 75 kVA,,2.70,0.00,2,,2,,Albania
850212 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,,2.70,0.00,1,,1,,Albania
850213 - - Of an output exceeding 375 kVA,,2.70,0.00,3,,3,,Albania
850220 - Generating sets with spark-ignition internal combustion piston engines,,2.70,0.00,4,,4,,Albania
850231 - - Wind-powered,,2.70,0.00,1,,1,,Albania
850239 - - Other,,2.70,0.00,2,,2,,Albania
850240 - Electric rotary converters,,2.70,0.00,1,,1,,Albania
850300 Parts suitable for use solely or principally with the machines of heading 85.01 or 85.02.,,2.70,0.00,3,,3,,Albania
850410 - Ballasts for discharge lamps or tubes,,3.70,0.00,2,,2,,Albania
850421 - - Having a power handling capacity not exceeding 650 kVA,,3.70,0.00,1,,1,,Albania
"850422 - - Having a power handling capacity exceeding 650 kVA but not exceeding 10,000 kVA",,3.70,0.00,2,,2,,Albania
"850423 - - Having a power handling capacity exceeding 10,000 kVA",,3.70,0.00,1,,1,,Albania
850431 - - Having a power handling capacity not exceeding 1 kVA,,3.70,0.00,3,,3,,Albania
850432 - - Having a power handling capacity exceeding 1 kVA but not exceeding 16 kVA,,3.70,0.00,1,,1,,Albania
850433 - - Having a power handling capacity exceeding 16 kVA but not exceeding 500 kVA,,3.70,0.00,1,,1,,Albania
850434 - - Having a power handling capacity exceeding 500 kVA,,3.70,0.00,1,,1,,Albania
850440 - Static converters,,1.42,0.00,6,,5,,Albania
850450 - Other inductors,,0.95,0.00,2,,1,,Albania
850490 - Parts,,0.66,0.00,5,,3,,Albania
850511 - - Of metal,,2.20,0.00,1,,1,,Albania
850519 - - Other,,2.20,0.00,2,,2,,Albania
