Importer,Year,Value,Ad val. duties,Number of lines,India
,(US$),Simple average,MFN duties,Pref. duties,India
,MFN,Best,All items,Non ad val.,All items,Non ad val.,India
Yemen,0,,,,,,,India
,2016,,10.00,10.00,106,,,,India
610120 - Of cotton,,10.00,10.00,1,,,,India
610130 - Of man-made fibres,,10.00,10.00,1,,,,India
610190 - Of other textile materials,,10.00,10.00,1,,,,India
610210 - Of wool or fine animal hair,,10.00,10.00,1,,,,India
610220 - Of cotton,,10.00,10.00,1,,,,India
610230 - Of man-made fibres,,10.00,10.00,1,,,,India
610290 - Of other textile materials,,10.00,10.00,1,,,,India
610310 - Suits,,10.00,10.00,1,,,,India
610322 -- Of cotton,,10.00,10.00,1,,,,India
610323 -- Of synthetic fibres,,10.00,10.00,1,,,,India
610329 -- Of other textile materials,,10.00,10.00,1,,,,India
610331 -- Of wool or fine animal hair,,10.00,10.00,1,,,,India
610332 -- Of cotton,,10.00,10.00,1,,,,India
610333 -- Of synthetic fibres,,10.00,10.00,1,,,,India
610339 -- Of other textile materials,,10.00,10.00,1,,,,India
610341 -- Of wool or fine animal hair,,10.00,10.00,1,,,,India
610342 -- Of cotton,,10.00,10.00,1,,,,India
610343 -- Of synthetic fibres,,10.00,10.00,1,,,,India
610349 -- Of other textile materials,,10.00,10.00,1,,,,India
610413 -- Of synthetic fibres,,10.00,10.00,1,,,,India
610419 -- Of other textile materials,,10.00,10.00,1,,,,India
610422 -- Of cotton,,10.00,10.00,1,,,,India
610423 -- Of synthetic fibres,,10.00,10.00,1,,,,India
610429 -- Of other textile materials,,10.00,10.00,1,,,,India
610431 -- Of wool or fine animal hair,,10.00,10.00,1,,,,India
610432 -- Of cotton,,10.00,10.00,1,,,,India
610433 -- Of synthetic fibres,,10.00,10.00,1,,,,India
610439 -- Of other textile materials,,10.00,10.00,1,,,,India
610441 -- Of wool or fine animal hair,,10.00,10.00,1,,,,India
610442 -- Of cotton,,10.00,10.00,1,,,,India
610443 -- Of synthetic fibres,,10.00,10.00,1,,,,India
610444 -- Of artificial fibres,,10.00,10.00,1,,,,India
610449 -- Of other textile materials,,10.00,10.00,1,,,,India
610451 -- Of wool or fine animal hair,,10.00,10.00,1,,,,India
610452 -- Of cotton,,10.00,10.00,1,,,,India
610453 -- Of synthetic fibres,,10.00,10.00,1,,,,India
610459 -- Of other textile materials,,10.00,10.00,1,,,,India
610461 -- Of wool or fine animal hair,,10.00,10.00,1,,,,India
610462 -- Of cotton,,10.00,10.00,1,,,,India
610463 -- Of synthetic fibres,,10.00,10.00,1,,,,India
610469 -- Of other textile materials,,10.00,10.00,1,,,,India
610510 - Of cotton,,10.00,10.00,1,,,,India
610520 - Of man-made fibres,,10.00,10.00,1,,,,India
610590 - Of other textile materials,,10.00,10.00,1,,,,India
610610 - Of cotton,,10.00,10.00,1,,,,India
610620 - Of man-made fibres,,10.00,10.00,1,,,,India
610690 - Of other textile materials,,10.00,10.00,1,,,,India
610711 -- Of cotton,,10.00,10.00,1,,,,India
610712 -- Of man-made fibres,,10.00,10.00,1,,,,India
610719 -- Of other textile materials,,10.00,10.00,1,,,,India
610721 -- Of cotton,,10.00,10.00,1,,,,India
610722 -- Of man-made fibres,,10.00,10.00,1,,,,India
610729 -- Of other textile materials,,10.00,10.00,1,,,,India
610791 -- Of cotton,,10.00,10.00,1,,,,India
610799 -- Of other textile materials,,10.00,10.00,1,,,,India
610811 -- Of man-made fibres,,10.00,10.00,1,,,,India
610819 -- Of other textile materials,,10.00,10.00,1,,,,India
610821 -- Of cotton,,10.00,10.00,1,,,,India
610822 -- Of man-made fibres,,10.00,10.00,1,,,,India
610829 -- Of other textile materials,,10.00,10.00,1,,,,India
610831 -- Of cotton,,10.00,10.00,1,,,,India
610832 -- Of man-made fibres,,10.00,10.00,1,,,,India
610839 -- Of other textile materials,,10.00,10.00,1,,,,India
610891 -- Of cotton,,10.00,10.00,1,,,,India
610892 -- Of man-made fibres,,10.00,10.00,1,,,,India
610899 -- Of other textile materials,,10.00,10.00,1,,,,India
610910 - Of cotton,,10.00,10.00,1,,,,India
610990 - Of other textile materials,,10.00,10.00,1,,,,India
611011 -- Of wool,,10.00,10.00,1,,,,India
611012 -- Of Kashmir (cashmere) goats,,10.00,10.00,1,,,,India
611019 -- Other,,10.00,10.00,1,,,,India
611020 - Of cotton,,10.00,10.00,1,,,,India
611030 - Of man-made fibres,,10.00,10.00,1,,,,India
611090 - Of other textile materials,,10.00,10.00,1,,,,India
611120 - Of cotton,,10.00,10.00,1,,,,India
611130 - Of synthetic fibres,,10.00,10.00,1,,,,India
611190 - Of other textile materials,,10.00,10.00,1,,,,India
611211 -- Of cotton,,10.00,10.00,1,,,,India
611212 -- Of synthetic fibres,,10.00,10.00,1,,,,India
611219 -- Of other textile materials,,10.00,10.00,1,,,,India
611220 - Ski suits,,10.00,10.00,1,,,,India
611231 -- Of synthetic fibres,,10.00,10.00,1,,,,India
611239 -- Of other textile materials,,10.00,10.00,1,,,,India
611241 -- Of synthetic fibres,,10.00,10.00,1,,,,India
611249 -- Of other textile materials,,10.00,10.00,1,,,,India
"611300 Garments, made up of knitted or crocheted fabrics of heading 59.03, 59.06 or 59.07.",,10.00,10.00,1,,,,India
611420 - Of cotton,,10.00,10.00,1,,,,India
611430 - Of man-made fibres,,10.00,10.00,1,,,,India
611490 - Of other textile materials,,10.00,10.00,1,,,,India
"611510 - Graduated compression hosiery (for example, stockings for varicose veins)",,10.00,10.00,1,,,,India
