Importer,Year,Value,Ad val. duties,Number of lines,Ukraine
,(US$),Simple average,MFN duties,Pref. duties,Ukraine
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Ukraine
392063 -- Of unsaturated polyesters,,10.00,10.00,3,,,,Ukraine
392069 -- Of other polyesters,,10.00,10.00,12,,,,Ukraine
392071 -- Of regenerated cellulose,,10.00,10.00,7,,,,Ukraine
392073 -- Of cellulose acetate,,10.00,10.00,9,,,,Ukraine
392079 -- Of other cellulose derivatives,,10.00,10.00,6,,,,Ukraine
392091 -- Of poly(vinyl butyral),,10.00,10.00,3,,,,Ukraine
392092 -- Of polyamides,,10.00,10.00,6,,,,Ukraine
392093 -- Of amino-resins,,10.00,10.00,3,,,,Ukraine
392094 -- Of phenolic resins,,10.00,10.00,3,,,,Ukraine
392099 -- Of other plastics,,10.00,10.00,19,,,,Ukraine
392111 -- Of polymers of styrene,,10.00,10.00,1,,,,Ukraine
392112 -- Of polymers of vinyl chloride,,10.00,10.00,1,,,,Ukraine
392113 -- Of polyurethanes,,10.00,10.00,2,,,,Ukraine
392114 -- Of regenerated cellulose,,10.00,10.00,1,,,,Ukraine
392119 -- Of other plastics,,10.00,10.00,1,,,,Ukraine
392190 - Other,,10.00,10.00,22,,,,Ukraine
"392210 - Baths, shower-baths, sinks and wash-basins",,10.00,10.00,1,,,,Ukraine
392220 - Lavatory seats and covers,,10.00,10.00,1,,,,Ukraine
392290 - Other,,10.00,10.00,1,,,,Ukraine
"392310 - Boxes, cases, crates and similar articles",,10.00,10.00,5,,,,Ukraine
392321 -- Of polymers of ethylene,,10.00,10.00,1,,,,Ukraine
392329 -- Of other plastics,,10.00,10.00,2,,,,Ukraine
"392330 - Carboys, bottles, flasks and similar articles",,10.00,10.00,2,,,,Ukraine
"392340 - Spools, cops, bobbins and similar supports",,10.00,10.00,1,,,,Ukraine
"392350 - Stoppers, lids, caps and other closures","34,600",10.00,10.00,2,,,,Ukraine
392390 - Other,,10.00,10.00,3,,,,Ukraine
392410 - Tableware and kitchenware,,10.00,10.00,2,,,,Ukraine
392490 - Other,,10.00,10.00,3,,,,Ukraine
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,10.00,10.00,1,,,,Ukraine
"392520 - Doors, windows and their frames and thresholds for doors",,10.00,10.00,1,,,,Ukraine
