Importer,Year,Value,Ad val. duties,Number of lines,Viet Nam
,(US$),Simple average,MFN duties,Pref. duties,Viet Nam
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Viet Nam
Yemen,0,,,,,,,Viet Nam
,2016,,5.07,5.07,286,,,,Viet Nam
850110 -Motors of an output not exceeding 37.5 W,,5.00,5.00,1,,,,Viet Nam
850120 - Universal AC/DC motors of an output exceeding 37.5 W,,5.00,5.00,1,,,,Viet Nam
850131 -- Of an output not exceeding 750 W,,5.00,5.00,1,,,,Viet Nam
850132 -- Of an output exceeding 750 W but not exceeding 75 kW,,5.00,5.00,1,,,,Viet Nam
850133 -- Of an output exceeding 75 kW but not exceeding 375 kW,,5.00,5.00,1,,,,Viet Nam
850134 -- Of an output exceeding 375 kW,,5.00,5.00,2,,,,Viet Nam
"850140 - Other AC motors, single-phase",,5.00,5.00,1,,,,Viet Nam
850151 -- Of an output not exceeding 750 W,,5.00,5.00,1,,,,Viet Nam
850152 -- Of an output exceeding 750 W but not exceeding 75 kW,,5.00,5.00,1,,,,Viet Nam
850153 -- Of an output exceeding 75 kW,,5.00,5.00,2,,,,Viet Nam
850161 -- Of an output not exceeding 75 kVA,,5.00,5.00,1,,,,Viet Nam
850162 -- Of an output exceeding 75 kVA but not exceeding 375 kVA,,5.00,5.00,1,,,,Viet Nam
850163 -- Of an output exceeding 375 kVA but not exceeding 750 kVA,,5.00,5.00,1,,,,Viet Nam
850164 -- Of an output exceeding 750 kVA,,5.00,5.00,1,,,,Viet Nam
850211 -- Of an output not exceeding 75 kVA,,5.00,5.00,1,,,,Viet Nam
850212 -- Of an output exceeding 75 kVA but not exceeding 375 kVA,,5.00,5.00,1,,,,Viet Nam
850213 -- Of an output exceeding 375 kVA,,5.00,5.00,2,,,,Viet Nam
850220 - Generating sets with spark-ignition internal combustion piston engines,,5.00,5.00,2,,,,Viet Nam
850231 -- Wind-powered,,5.00,5.00,2,,,,Viet Nam
850239 -- Other,,5.00,5.00,2,,,,Viet Nam
850240 - Electric rotary converters,,5.00,5.00,1,,,,Viet Nam
850300 Parts suitable for use solely or principally with the machines of heading 85.01 or 85.02.,,5.00,5.00,2,,,,Viet Nam
850410 - Ballasts for discharge lamps or tubes,,5.00,5.00,1,,,,Viet Nam
850421 -- Having a power handling capacity not exceeding 650 kVA,,5.00,5.00,1,,,,Viet Nam
"850422 -- Having a power handling capacity exceeding 650 kVA but not exceeding 10,000 kVA",,5.00,5.00,2,,,,Viet Nam
"850423 -- Having a power handling capacity exceeding 10,000 kVA",,5.00,5.00,1,,,,Viet Nam
850431 -- Having a power handling capacity not exceeding 1 kVA,,5.00,5.00,1,,,,Viet Nam
850432 -- Having a power handling capacity exceeding 1 kVA but not exceeding 16 kVA,,5.00,5.00,1,,,,Viet Nam
850433 -- Having a power handling capacity exceeding 16 kVA but not exceeding 500 kVA,,5.00,5.00,1,,,,Viet Nam
850434 -- Having a power handling capacity exceeding 500 kVA,,5.00,5.00,2,,,,Viet Nam
850440 - Static converters,,5.00,5.00,1,,,,Viet Nam
850450 - Other inductors,,5.00,5.00,1,,,,Viet Nam
850490 - Parts,,5.00,5.00,2,,,,Viet Nam
850511 -- Of metal,,5.00,5.00,1,,,,Viet Nam
850519 -- Other,,5.00,5.00,1,,,,Viet Nam
"850520 - Electro-magnetic couplings, clutches and brakes",,5.00,5.00,1,,,,Viet Nam
"850590 - Other, including parts",,5.00,5.00,1,,,,Viet Nam
850610 -Manganese dioxide,,5.00,5.00,1,,,,Viet Nam
850630 -Mercuric oxide,,5.00,5.00,1,,,,Viet Nam
850640 - Silver oxide,,5.00,5.00,1,,,,Viet Nam
850650 - Lithium,,5.00,5.00,1,,,,Viet Nam
850660 - Air-zinc,,5.00,5.00,1,,,,Viet Nam
