Importer,Year,Value,Ad val. duties,Number of lines,Costa Rica
,(US$),Simple average,MFN duties,Pref. duties,Costa Rica
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Costa Rica
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,2,2,,,Costa Rica
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,Costa Rica
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",1,,,4,4,,,Costa Rica
040221 -- Not containing added sugar or other sweetening matter,,,,4,4,,,Costa Rica
040229 -- Other,,,,5,5,,,Costa Rica
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Costa Rica
040299 -- Other,,,,5,5,,,Costa Rica
040310 - Yogurt,,,,12,12,6,6,Costa Rica
040390 - Other,173,,,18,18,6,6,Costa Rica
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,Costa Rica
040490 - Other,,,,6,6,,,Costa Rica
040510 - Butter,,,,5,5,,,Costa Rica
040520 - Dairy spreads,,,,3,3,2,2,Costa Rica
040590 - Other,,,,2,2,,,Costa Rica
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,2,2,,,Costa Rica
"040620 - Grated or powdered cheese, of all kinds",,7.70,7.70,2,1,,,Costa Rica
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,Costa Rica
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,Costa Rica
040690 - Other cheese,,7.70,7.70,33,32,,,Costa Rica
040711 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Costa Rica
040719 -- Other,,7.70,0.00,3,2,1,,Costa Rica
040721 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Costa Rica
040729 -- Other,,7.70,0.00,2,1,1,,Costa Rica
040790 - Others,,7.70,0.00,2,1,1,,Costa Rica
040811 -- Dried,,0.00,0.00,2,1,,,Costa Rica
040819 -- Other,,0.00,0.00,3,2,,,Costa Rica
040891 -- Dried,,0.00,0.00,2,1,,,Costa Rica
040899 -- Other,,0.00,0.00,2,1,,,Costa Rica
040900 Natural honey.,,17.30,0.00,1,,1,,Costa Rica
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,0.00,1,,1,,Costa Rica
,2012,,5.77,1.40,172,161,19,14,Costa Rica
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,2,2,,,Costa Rica
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,4,4,,,Costa Rica
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,2,2,,,Costa Rica
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,Costa Rica
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,4,4,,,Costa Rica
040221 -- Not containing added sugar or other sweetening matter,,,,4,4,,,Costa Rica
040229 -- Other,,,,5,5,,,Costa Rica
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Costa Rica
040299 -- Other,,,,5,5,,,Costa Rica
040310 - Yogurt,,,,12,12,6,6,Costa Rica
040390 - Other,,,,18,18,6,6,Costa Rica
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,Costa Rica
040490 - Other,,,,6,6,,,Costa Rica
040510 - Butter,,,,5,5,,,Costa Rica
040520 - Dairy spreads,,,,3,3,2,2,Costa Rica
040590 - Other,,,,2,2,,,Costa Rica
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,2,2,,,Costa Rica
"040620 - Grated or powdered cheese, of all kinds",,7.70,7.70,2,1,,,Costa Rica
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,Costa Rica
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,Costa Rica
040690 - Other cheese,,7.70,7.70,33,32,,,Costa Rica
040711 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Costa Rica
040719 -- Other,,7.70,0.00,3,2,1,,Costa Rica
040721 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Costa Rica
040729 -- Other,,7.70,0.00,2,1,1,,Costa Rica
040790 - Others,,7.70,0.00,2,1,1,,Costa Rica
040811 -- Dried,,0.00,0.00,2,1,,,Costa Rica
040819 -- Other,,0.00,0.00,3,2,,,Costa Rica
040891 -- Dried,,0.00,0.00,2,1,,,Costa Rica
040899 -- Other,,0.00,0.00,2,1,,,Costa Rica
040900 Natural honey.,,17.30,0.00,1,,1,,Costa Rica
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,0.00,1,,1,,Costa Rica
,2011,,5.34,1.71,166,157,17,14,Costa Rica
"040110 - Of a fat content, by weight, not exceeding 1%",,,,2,2,,,Costa Rica
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6 %",,,,4,4,,,Costa Rica
"040130 - Of a fat content, by weight, exceeding 6%",,,,6,6,,,Costa Rica
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",,,,4,4,,,Costa Rica
040221 -- Not containing added sugar or other sweetening matter,,,,5,5,,,Costa Rica
040229 -- Other,,,,5,5,,,Costa Rica
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Costa Rica
040299 -- Other,,,,5,5,,,Costa Rica
040310 - Yogurt,,,,12,12,6,6,Costa Rica
040390 - Other,,,,18,18,6,6,Costa Rica
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,Costa Rica
040490 - Other,,,,6,6,,,Costa Rica
040510 - Butter,,,,5,5,,,Costa Rica
040520 - Dairy spreads,,,,3,3,2,2,Costa Rica
040590 - Other,,,,2,2,,,Costa Rica
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,2,2,,,Costa Rica
"040620 - Grated or powdered cheese, of all kinds",,7.70,7.70,2,1,,,Costa Rica
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,Costa Rica
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,Costa Rica
040690 - Other cheese,,7.70,7.70,33,32,,,Costa Rica
"040700 Birds' eggs, in shell, fresh, preserved or cooked.",,7.70,0.00,4,3,1,,Costa Rica
040811 -- Dried,,0.00,0.00,2,1,,,Costa Rica
040819 -- Other,,0.00,0.00,3,2,,,Costa Rica
040891 -- Dried,,0.00,0.00,2,1,,,Costa Rica
040899 -- Other,,0.00,0.00,2,1,,,Costa Rica
040900 Natural honey.,,17.30,0.00,1,,1,,Costa Rica
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,0.00,1,,1,,Costa Rica
,2010,27,5.34,5.34,166,157,,,Costa Rica
"040110 - Of a fat content, by weight, not exceeding 1%",,,,2,2,,,Costa Rica
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6 %",,,,4,4,,,Costa Rica
"040130 - Of a fat content, by weight, exceeding 6%",,,,6,6,,,Costa Rica
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",,,,4,4,,,Costa Rica
040221 -- Not containing added sugar or other sweetening matter,,,,5,5,,,Costa Rica
040229 -- Other,,,,5,5,,,Costa Rica
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Costa Rica
040299 -- Other,,,,5,5,,,Costa Rica
040310 - Yogurt,,,,12,12,,,Costa Rica
040390 - Other,,,,18,18,,,Costa Rica
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,Costa Rica
040490 - Other,,,,6,6,,,Costa Rica
040510 - Butter,,,,5,5,,,Costa Rica
040520 - Dairy spreads,,,,3,3,,,Costa Rica
040590 - Other,27,,,2,2,,,Costa Rica
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,2,2,,,Costa Rica
"040620 - Grated or powdered cheese, of all kinds",,7.70,7.70,2,1,,,Costa Rica
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,Costa Rica
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,Costa Rica
040690 - Other cheese,,7.70,7.70,33,32,,,Costa Rica
"040700 Birds' eggs, in shell, fresh, preserved or cooked.",,7.70,7.70,4,3,,,Costa Rica
040811 -- Dried,,0.00,0.00,2,1,,,Costa Rica
040819 -- Other,,0.00,0.00,3,2,,,Costa Rica
040891 -- Dried,,0.00,0.00,2,1,,,Costa Rica
040899 -- Other,,0.00,0.00,2,1,,,Costa Rica
040900 Natural honey.,,17.30,17.30,1,,,,Costa Rica
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,7.70,1,,,,Costa Rica
,2009,"1,213",5.34,5.34,166,157,,,Costa Rica
"040110 - Of a fat content, by weight, not exceeding 1%",,,,2,2,,,Costa Rica
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6 %",,,,4,4,,,Costa Rica
"040130 - Of a fat content, by weight, exceeding 6%",,,,6,6,,,Costa Rica
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",,,,4,4,,,Costa Rica
040221 -- Not containing added sugar or other sweetening matter,,,,5,5,,,Costa Rica
040229 -- Other,,,,5,5,,,Costa Rica
040291 -- Not containing added sugar or other sweetening matter,98,,,6,6,,,Costa Rica
040299 -- Other,,,,5,5,,,Costa Rica
040310 - Yogurt,,,,12,12,,,Costa Rica
040390 - Other,,,,18,18,,,Costa Rica
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,Costa Rica
040490 - Other,,,,6,6,,,Costa Rica
040510 - Butter,,,,5,5,,,Costa Rica
040520 - Dairy spreads,,,,3,3,,,Costa Rica
040590 - Other,,,,2,2,,,Costa Rica
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,2,2,,,Costa Rica
"040620 - Grated or powdered cheese, of all kinds",,7.70,7.70,2,1,,,Costa Rica
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,Costa Rica
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,Costa Rica
040690 - Other cheese,,7.70,7.70,33,32,,,Costa Rica
"040700 Birds' eggs, in shell, fresh, preserved or cooked.",,7.70,7.70,4,3,,,Costa Rica
040811 -- Dried,,0.00,0.00,2,1,,,Costa Rica
040819 -- Other,,0.00,0.00,3,2,,,Costa Rica
040891 -- Dried,,0.00,0.00,2,1,,,Costa Rica
040899 -- Other,"1,116",0.00,0.00,2,1,,,Costa Rica
040900 Natural honey.,,17.30,17.30,1,,,,Costa Rica
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,7.70,1,,,,Costa Rica
,2008,,5.34,5.34,166,157,,,Costa Rica
"040110 - Of a fat content, by weight, not exceeding 1%",,,,2,2,,,Costa Rica
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6 %",,,,4,4,,,Costa Rica
"040130 - Of a fat content, by weight, exceeding 6%",,,,6,6,,,Costa Rica
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",,,,4,4,,,Costa Rica
040221 -- Not containing added sugar or other sweetening matter,,,,5,5,,,Costa Rica
040229 -- Other,,,,5,5,,,Costa Rica
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Costa Rica
040299 -- Other,,,,5,5,,,Costa Rica
040310 - Yogurt,,,,12,12,,,Costa Rica
040390 - Other,,,,18,18,,,Costa Rica
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,Costa Rica
040490 - Other,,,,6,6,,,Costa Rica
040510 - Butter,,,,5,5,,,Costa Rica
040520 - Dairy spreads,,,,3,3,,,Costa Rica
040590 - Other,,,,2,2,,,Costa Rica
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,2,2,,,Costa Rica
"040620 - Grated or powdered cheese, of all kinds",,7.70,7.70,2,1,,,Costa Rica
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,Costa Rica
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,Costa Rica
040690 - Other cheese,,7.70,7.70,33,32,,,Costa Rica
"040700 Birds' eggs, in shell, fresh, preserved or cooked.",,7.70,7.70,4,3,,,Costa Rica
040811 -- Dried,,0.00,0.00,2,1,,,Costa Rica
040819 -- Other,,0.00,0.00,3,2,,,Costa Rica
040891 -- Dried,,0.00,0.00,2,1,,,Costa Rica
040899 -- Other,,0.00,0.00,2,1,,,Costa Rica
040900 Natural honey.,,17.30,17.30,1,,,,Costa Rica
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,7.70,1,,,,Costa Rica
,2007,,5.34,5.34,169,160,,,Costa Rica
"040110 - Of a fat content, by weight, not exceeding 1%",,,,2,2,,,Costa Rica
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6 %",,,,4,4,,,Costa Rica
"040130 - Of a fat content, by weight, exceeding 6%",,,,6,6,,,Costa Rica
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",,,,4,4,,,Costa Rica
040221 -- Not containing added sugar or other sweetening matter,,,,5,5,,,Costa Rica
040229 -- Other,,,,5,5,,,Costa Rica
040291 -- Not containing added sugar or other sweetening matter,,,,8,8,,,Costa Rica
040299 -- Other,,,,6,6,,,Costa Rica
040310 - Yogurt,,,,12,12,,,Costa Rica
040390 - Other,,,,18,18,,,Costa Rica
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,Costa Rica
040490 - Other,,,,6,6,,,Costa Rica
040510 - Butter,,,,5,5,,,Costa Rica
040520 - Dairy spreads,,,,3,3,,,Costa Rica
040590 - Other,,,,2,2,,,Costa Rica
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,2,2,,,Costa Rica
"040620 - Grated or powdered cheese, of all kinds",,7.70,7.70,2,1,,,Costa Rica
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,Costa Rica
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,Costa Rica
040690 - Other cheese,,7.70,7.70,33,32,,,Costa Rica
"040700 Birds' eggs, in shell, fresh, preserved or cooked.",,7.70,7.70,4,3,,,Costa Rica
040811 -- Dried,,0.00,0.00,2,1,,,Costa Rica
040819 -- Other,,0.00,0.00,3,2,,,Costa Rica
040891 -- Dried,,0.00,0.00,2,1,,,Costa Rica
040899 -- Other,,0.00,0.00,2,1,,,Costa Rica
040900 Natural honey.,,17.30,17.30,1,,,,Costa Rica
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,7.70,1,,,,Costa Rica
,2006,,5.34,5.34,170,161,,,Costa Rica
"040110 - Of a fat content, by weight, not exceeding 1%",,,,2,2,,,Costa Rica
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6%",,,,4,4,,,Costa Rica
"040130 - Of a fat content, by weight, exceeding 6%",,,,6,6,,,Costa Rica
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",,,,4,4,,,Costa Rica
040221 -- Not containing added sugar or other sweetening matter,,,,5,5,,,Costa Rica
040229 -- Other,,,,5,5,,,Costa Rica
040291 -- Not containing added sugar or other sweetening matter,,,,8,8,,,Costa Rica
040299 -- Other,,,,6,6,,,Costa Rica
040310 - Yogurt,,,,12,12,,,Costa Rica
