Importer,Year,Value,Ad val. duties,Number of lines,"Saudi Arabia, Kingdom of"
,(US$),Simple average,MFN duties,Pref. duties,"Saudi Arabia, Kingdom of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Saudi Arabia, Kingdom of"
India,"2,142,823",,,,,,,"Saudi Arabia, Kingdom of"
,2018,,34.47,34.47,47,,,,"Saudi Arabia, Kingdom of"
"040110 - Of a fat content, by weight, not exceeding 1 %",,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
"040150 - Of a fat content, by weight, exceeding 10 %",,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,60.00,60.00,3,,,,"Saudi Arabia, Kingdom of"
040221 - - Not containing added sugar or other sweetening matter,,60.00,60.00,1,,,,"Saudi Arabia, Kingdom of"
040229 - - Other,,30.00,30.00,3,,,,"Saudi Arabia, Kingdom of"
040291 - - Not containing added sugar or other sweetening matter,,30.00,30.00,2,,,,"Saudi Arabia, Kingdom of"
040299 - - Other,,30.00,30.00,3,,,,"Saudi Arabia, Kingdom of"
040310 - Yogurt,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040390 - Other,,30.00,30.00,2,,,,"Saudi Arabia, Kingdom of"
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,30.00,30.00,3,,,,"Saudi Arabia, Kingdom of"
040490 - Other,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040510 - Butter,,40.00,40.00,1,,,,"Saudi Arabia, Kingdom of"
040520 - Dairy spreads,,40.00,40.00,1,,,,"Saudi Arabia, Kingdom of"
040590 - Other,,40.00,40.00,3,,,,"Saudi Arabia, Kingdom of"
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
"040620 - Grated or powdered cheese, of all kinds",,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
"040630 - Processed cheese, not grated or powdered",,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040690 - Other cheese,,40.00,40.00,1,,,,"Saudi Arabia, Kingdom of"
040711 - - Of fowls of the species Gallus domesticus,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040719 - - Other,,30.00,30.00,2,,,,"Saudi Arabia, Kingdom of"
040721 - - Of fowls of the species Gallus domesticus,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040729 - - Other,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040790 - Others,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040811 - - Dried,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040819 - - Other,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040891 - - Dried,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040899 - - Other,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040900 Natural honey.,,60.00,60.00,1,,,,"Saudi Arabia, Kingdom of"
"041000 Edible products of animal origin, not elsewhere specified or included.",,30.00,30.00,3,,,,"Saudi Arabia, Kingdom of"
,2017,,33.62,33.62,47,,,,"Saudi Arabia, Kingdom of"
"040110 - Of a fat content, by weight, not exceeding 1 %",,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
"040150 - Of a fat content, by weight, exceeding 10 %",,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,60.00,60.00,3,,,,"Saudi Arabia, Kingdom of"
040221 - - Not containing added sugar or other sweetening matter,,60.00,60.00,1,,,,"Saudi Arabia, Kingdom of"
040229 - - Other,,30.00,30.00,3,,,,"Saudi Arabia, Kingdom of"
040291 - - Not containing added sugar or other sweetening matter,,30.00,30.00,2,,,,"Saudi Arabia, Kingdom of"
040299 - - Other,,30.00,30.00,3,,,,"Saudi Arabia, Kingdom of"
040310 - Yogurt,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040390 - Other,,30.00,30.00,2,,,,"Saudi Arabia, Kingdom of"
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,30.00,30.00,3,,,,"Saudi Arabia, Kingdom of"
040490 - Other,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040510 - Butter,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040520 - Dairy spreads,,40.00,40.00,1,,,,"Saudi Arabia, Kingdom of"
040590 - Other,,33.33,33.33,3,,,,"Saudi Arabia, Kingdom of"
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
"040620 - Grated or powdered cheese, of all kinds",,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
"040630 - Processed cheese, not grated or powdered",,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040690 - Other cheese,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040711 - - Of fowls of the species Gallus domesticus,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040719 - - Other,,30.00,30.00,2,,,,"Saudi Arabia, Kingdom of"
040721 - - Of fowls of the species Gallus domesticus,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040729 - - Other,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040790 - Others,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040811 - - Dried,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040819 - - Other,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040891 - - Dried,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040899 - - Other,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040900 Natural honey.,,60.00,60.00,1,,,,"Saudi Arabia, Kingdom of"
"041000 Edible products of animal origin, not elsewhere specified or included.",,30.00,30.00,3,,,,"Saudi Arabia, Kingdom of"
,2016,"212,621",33.62,33.62,47,,,,"Saudi Arabia, Kingdom of"
"040110 - Of a fat content, by weight, not exceeding 1 %",,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
"040150 - Of a fat content, by weight, exceeding 10 %",,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %","162,556",60.00,60.00,3,,,,"Saudi Arabia, Kingdom of"
040221 -- Not containing added sugar or other sweetening matter,,60.00,60.00,1,,,,"Saudi Arabia, Kingdom of"
040229 -- Other,,30.00,30.00,3,,,,"Saudi Arabia, Kingdom of"
040291 -- Not containing added sugar or other sweetening matter,,30.00,30.00,2,,,,"Saudi Arabia, Kingdom of"
040299 -- Other,,30.00,30.00,3,,,,"Saudi Arabia, Kingdom of"
040310 - Yogurt,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040390 - Other,,30.00,30.00,2,,,,"Saudi Arabia, Kingdom of"
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,30.00,30.00,3,,,,"Saudi Arabia, Kingdom of"
040490 - Other,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040510 - Butter,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040520 - Dairy spreads,,40.00,40.00,1,,,,"Saudi Arabia, Kingdom of"
040590 - Other,,33.33,33.33,3,,,,"Saudi Arabia, Kingdom of"
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
"040620 - Grated or powdered cheese, of all kinds",,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
"040630 - Processed cheese, not grated or powdered",,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040690 - Other cheese,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040711 -- Of fowls of the species Gallus domesticus,,30.00,30.00,1,,,,"Saudi Arabia, Kingdom of"
040719 -- Other,,30.00,30.00,2,,,,"Saudi Arabia, Kingdom of"
