Importer,Year,Value,Ad val. duties,Number of lines,Costa Rica
,(US$),Simple average,MFN duties,Pref. duties,Costa Rica
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Costa Rica
European Union,"5,539,937",,,,,,,Costa Rica
,2018,,6.65,0.00,199,,188,,Costa Rica
870110 - Single axle tractors,,3.00,0.00,1,,1,,Costa Rica
870120 - Road tractors for semi-trailers,,16.00,0.00,2,,2,,Costa Rica
870130 - Track-laying tractors,,0.00,0.00,1,,,,Costa Rica
870191 - - Not exceeding 18 kW,,3.50,0.00,2,,1,,Costa Rica
870192 - - Exceeding 18 kW but not exceeding 37 kW,,3.50,0.00,2,,1,,Costa Rica
870193 - - Exceeding 37 kW but not exceeding 75 kW,,3.50,0.00,2,,1,,Costa Rica
870194 - - Exceeding 75 kW but not exceeding 130 kW,,3.50,0.00,2,,1,,Costa Rica
870195 - - Exceeding 130 kW,,3.50,0.00,2,,1,,Costa Rica
870210 - With only compression-ignition internal combustion piston engine (diesel or semi-diesel),,13.00,0.00,4,,4,,Costa Rica
870220 - With both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion,,13.00,0.00,2,,2,,Costa Rica
870230 - With both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion,,13.00,0.00,2,,2,,Costa Rica
870240 - With only electric motor for propulsion,,10.00,0.00,1,,1,,Costa Rica
870290 - Other,,12.40,0.00,5,,5,,Costa Rica
870310 - Vehicles specially designed for travelling on snow; golf cars and similar vehicles,,7.50,0.00,2,,2,,Costa Rica
"870321 - - Of a cylinder capacity not exceeding 1,000 cc",,10.00,0.00,2,,2,,Costa Rica
"870322 - - Of a cylinder capacity exceeding 1,000 cc but not exceeding 1,500 cc",,10.00,0.00,2,,2,,Costa Rica
"870323 - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc",,10.00,0.00,3,,3,,Costa Rica
"870324 - - Of a cylinder capacity exceeding 3,000 cc",,10.00,0.00,2,,2,,Costa Rica
"870331 - - Of a cylinder capacity not exceeding 1,500 cc",,10.00,0.00,2,,2,,Costa Rica
"870332 - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc",,10.00,0.00,3,,3,,Costa Rica
"870333 - - Of a cylinder capacity exceeding 2,500 cc",,10.00,0.00,3,,3,,Costa Rica
"870340 - Other vehicles, with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, other than those capable of being charged by plugging to external source of electric power",,10.00,0.00,2,,2,,Costa Rica
"870350 - Other vehicles, with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion, other than those capable of being charged by plugging to external source of electric power",,10.00,0.00,1,,1,,Costa Rica
"870360 - Other vehicles, with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, capable of being charged by plugging to external source of electric power",,10.00,0.00,2,,2,,Costa Rica
"870370 - Other vehicles, with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion, capable of being charged by plugging to external source of electric power",,10.00,0.00,1,,1,,Costa Rica
"870380 - Other vehicles, with only electric motor for propulsion",,10.00,0.00,2,,2,,Costa Rica
870390 - Other,,10.00,0.00,1,,1,,Costa Rica
