Importer,Year,Value,Ad val. duties,Number of lines,Nepal
,(US$),Simple average,MFN duties,Pref. duties,Nepal
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Nepal
080940 - Plums and sloes,,25.00,25.00,1,,,,Nepal
081010 - Strawberries,,25.00,25.00,1,,,,Nepal
"081020 - Raspberries, blackberries, mulberries and loganberries",,25.00,25.00,1,,,,Nepal
"081030 - Black, white or red currants and gooseberries",,25.00,25.00,1,,,,Nepal
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,25.00,25.00,1,,,,Nepal
081050 - Kiwifruit,,25.00,25.00,1,,,,Nepal
081060 - Durians,,25.00,25.00,1,,,,Nepal
081070 - Persimmons,,25.00,25.00,1,,,,Nepal
081090 - Other,,25.00,25.00,1,,,,Nepal
081110 - Strawberries,,25.00,25.00,1,,,,Nepal
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,25.00,25.00,1,,,,Nepal
081190 - Other,,17.50,17.50,2,,,,Nepal
081210 - Cherries,,25.00,25.00,1,,,,Nepal
081290 - Other,,25.00,25.00,2,,,,Nepal
081310 - Apricots,,25.00,25.00,1,,,,Nepal
081320 - Prunes,,25.00,25.00,1,,,,Nepal
081330 - Apples,,25.00,25.00,1,,,,Nepal
081340 - Other fruit,,25.00,25.00,1,,,,Nepal
081350 - Mixtures of nuts or dried fruits of this Chapter,,17.50,17.50,2,,,,Nepal
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,25.00,25.00,1,,,,Nepal
,2015,,20.43,20.43,69,,,,Nepal
080111 -- Desiccated,,10.00,10.00,1,,,,Nepal
080112 -- In the inner shell (endocarp),,10.00,10.00,1,,,,Nepal
080119 -- Other,,10.00,10.00,1,,,,Nepal
080121 -- In shell,,10.00,10.00,1,,,,Nepal
080122 -- Shelled,,10.00,10.00,1,,,,Nepal
080131 -- In shell,,10.00,10.00,1,,,,Nepal
080132 -- Shelled,,10.00,10.00,1,,,,Nepal
080211 -- In shell,,25.00,25.00,1,,,,Nepal
080212 -- Shelled,,25.00,25.00,1,,,,Nepal
080221 -- In shell,,10.00,10.00,1,,,,Nepal
080222 -- Shelled,,10.00,10.00,1,,,,Nepal
080231 -- In shell,,25.00,25.00,1,,,,Nepal
080232 -- Shelled,,25.00,25.00,1,,,,Nepal
080241 -- In shell,,10.00,10.00,1,,,,Nepal
080242 -- Shelled,,10.00,10.00,1,,,,Nepal
080251 -- In shell,,10.00,10.00,1,,,,Nepal
080252 -- Shelled,,10.00,10.00,1,,,,Nepal
080261 -- In shell,,10.00,10.00,1,,,,Nepal
080262 -- Shelled,,10.00,10.00,1,,,,Nepal
080270 - Kola nuts (Cola spp.),,10.00,10.00,1,,,,Nepal
080280 - Areca nuts,,10.00,10.00,1,,,,Nepal
080290 - Other,,10.00,10.00,1,,,,Nepal
080310 - Plantains,,25.00,25.00,1,,,,Nepal
080390 - Other,,25.00,25.00,1,,,,Nepal
080410 - Dates,,25.00,25.00,1,,,,Nepal
080420 - Figs,,25.00,25.00,1,,,,Nepal
080430 - Pineapples,,10.00,10.00,1,,,,Nepal
080440 - Avocados,,25.00,25.00,1,,,,Nepal
"080450 - Guavas, mangoes and mangosteens",,25.00,25.00,1,,,,Nepal
080510 - Oranges,,25.00,25.00,1,,,,Nepal
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids",,25.00,25.00,1,,,,Nepal
"080540 - Grapefruit, including pomelos",,25.00,25.00,1,,,,Nepal
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,25.00,25.00,1,,,,Nepal
080590 - Other,,25.00,25.00,1,,,,Nepal
080610 - Fresh,,25.00,25.00,1,,,,Nepal
080620 - Dried,,25.00,25.00,1,,,,Nepal
080711 -- Watermelons,,25.00,25.00,1,,,,Nepal
080719 -- Other,,25.00,25.00,1,,,,Nepal
080720 - Papaws (papayas),,25.00,25.00,1,,,,Nepal
080810 - Apples,,25.00,25.00,1,,,,Nepal
080830 - Pears,,25.00,25.00,1,,,,Nepal
080840 - Quinces,,25.00,25.00,1,,,,Nepal
080910 - Apricots,,25.00,25.00,1,,,,Nepal
080921 -- Sour cherries (Prunus cerasus),,25.00,25.00,1,,,,Nepal
080929 -- Other,,25.00,25.00,1,,,,Nepal
"080930 - Peaches, including nectarines",,25.00,25.00,1,,,,Nepal
080940 - Plums and sloes,,25.00,25.00,1,,,,Nepal
081010 - Strawberries,,25.00,25.00,1,,,,Nepal
"081020 - Raspberries, blackberries, mulberries and loganberries",,25.00,25.00,1,,,,Nepal
"081030 - Black, white or red currants and gooseberries",,25.00,25.00,1,,,,Nepal
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,25.00,25.00,1,,,,Nepal
081050 - Kiwifruit,,25.00,25.00,1,,,,Nepal
081060 - Durians,,25.00,25.00,1,,,,Nepal
081070 - Persimmons,,25.00,25.00,1,,,,Nepal
081090 - Other,,25.00,25.00,1,,,,Nepal
081110 - Strawberries,,25.00,25.00,1,,,,Nepal
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,25.00,25.00,1,,,,Nepal
081190 - Other,,17.50,17.50,2,,,,Nepal
081210 - Cherries,,25.00,25.00,1,,,,Nepal
081290 - Other,,25.00,25.00,2,,,,Nepal
081310 - Apricots,,25.00,25.00,1,,,,Nepal
081320 - Prunes,,25.00,25.00,1,,,,Nepal
081330 - Apples,,25.00,25.00,1,,,,Nepal
081340 - Other fruit,,25.00,25.00,1,,,,Nepal
081350 - Mixtures of nuts or dried fruits of this Chapter,,17.50,17.50,2,,,,Nepal
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,25.00,25.00,1,,,,Nepal
,2009,,21.38,21.38,58,,,,Nepal
080111 -- Dessicated,,10.00,10.00,1,,,,Nepal
080119 -- Other,,10.00,10.00,1,,,,Nepal
080121 -- In shell,,10.00,10.00,1,,,,Nepal
080122 -- Shelled,,10.00,10.00,1,,,,Nepal
080131 -- In shell,,10.00,10.00,1,,,,Nepal
080132 -- Shelled,,10.00,10.00,1,,,,Nepal
080211 -- In shell,,25.00,25.00,1,,,,Nepal
080212 -- Shelled,,25.00,25.00,1,,,,Nepal
080221 -- In shell,,10.00,10.00,1,,,,Nepal
080222 -- Shelled,,10.00,10.00,1,,,,Nepal
080231 -- In shell,,25.00,25.00,1,,,,Nepal
080232 -- Shelled,,25.00,25.00,1,,,,Nepal
080240 - Chestnuts (Castanea spp.),,10.00,10.00,1,,,,Nepal
080250 - Pistachios,,10.00,10.00,1,,,,Nepal
080290 - Other,,10.00,10.00,1,,,,Nepal
"080300 Bananas, including plantains, fresh or dried.",,25.00,25.00,1,,,,Nepal
080410 - Dates,,25.00,25.00,1,,,,Nepal
080420 - Figs,,25.00,25.00,1,,,,Nepal
080430 - Pineapples,,10.00,10.00,1,,,,Nepal
080440 - Avocados,,25.00,25.00,1,,,,Nepal
"080450 - Guavas, mangoes and mangosteens",,25.00,25.00,1,,,,Nepal
080510 - Oranges,,25.00,25.00,1,,,,Nepal
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids",,25.00,25.00,1,,,,Nepal
080540 - Grapefruit,,25.00,25.00,1,,,,Nepal
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,25.00,25.00,1,,,,Nepal
080590 - Other,,25.00,25.00,1,,,,Nepal
080610 - Fresh,,25.00,25.00,1,,,,Nepal
080620 - Dried,,25.00,25.00,1,,,,Nepal
080711 -- Watermelons,,25.00,25.00,1,,,,Nepal
080719 -- Other,,25.00,25.00,1,,,,Nepal
080720 - Papaws (papayas),,25.00,25.00,1,,,,Nepal
080810 - Apples,,25.00,25.00,1,,,,Nepal
080820 - Pears and quinces,,25.00,25.00,1,,,,Nepal
080910 - Apricots,,25.00,25.00,1,,,,Nepal
080920 - Cherries,,25.00,25.00,1,,,,Nepal
"080930 - Peaches, including nectarines",,25.00,25.00,1,,,,Nepal
080940 - Plums and sloes,,25.00,25.00,1,,,,Nepal
081010 - Strawberries,,25.00,25.00,1,,,,Nepal
"081020 - Raspberries, blackberries, mulberries and loganberries",,25.00,25.00,1,,,,Nepal
"081030 - Black, white or red currants and gooseberries",,25.00,25.00,1,,,,Nepal
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,25.00,25.00,1,,,,Nepal
081050 - Kiwifruit,,25.00,25.00,1,,,,Nepal
081060 - Durians,,25.00,25.00,1,,,,Nepal
081090 - Other,,25.00,25.00,1,,,,Nepal
081110 - Strawberries,,25.00,25.00,1,,,,Nepal
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,25.00,25.00,1,,,,Nepal
081190 - Other,,17.50,17.50,2,,,,Nepal
081210 - Cherries,,25.00,25.00,1,,,,Nepal
081290 - Other,,25.00,25.00,2,,,,Nepal
081310 - Apricots,,25.00,25.00,1,,,,Nepal
081320 - Prunes,,25.00,25.00,1,,,,Nepal
081330 - Apples,,25.00,25.00,1,,,,Nepal
081340 - Other fruit,,25.00,25.00,1,,,,Nepal
081350 - Mixtures of nuts or dried fruits of this Chapter,,17.50,17.50,2,,,,Nepal
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,25.00,25.00,1,,,,Nepal
