Importer,Year,Value,Ad val. duties,Number of lines,"Korea, Republic of"
,(US$),Simple average,MFN duties,Pref. duties,"Korea, Republic of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Korea, Republic of"
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,60.00,60.00,3,,,,"Korea, Republic of"
040221 -- Not containing added sugar or other sweetening matter,,60.00,60.00,1,,,,"Korea, Republic of"
040229 -- Other,,30.00,30.00,3,,,,"Korea, Republic of"
040291 -- Not containing added sugar or other sweetening matter,,30.00,30.00,2,,,,"Korea, Republic of"
040299 -- Other,,30.00,30.00,3,,,,"Korea, Republic of"
040310 - Yogurt,,30.00,30.00,1,,,,"Korea, Republic of"
040390 - Other,,30.00,30.00,2,,,,"Korea, Republic of"
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,30.00,30.00,3,,,,"Korea, Republic of"
040490 - Other,,30.00,30.00,1,,,,"Korea, Republic of"
040510 - Butter,,30.00,30.00,1,,,,"Korea, Republic of"
040520 - Dairy spreads,,40.00,40.00,1,,,,"Korea, Republic of"
040590 - Other,,33.33,33.33,3,,,,"Korea, Republic of"
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,30.00,30.00,1,,,,"Korea, Republic of"
"040620 - Grated or powdered cheese, of all kinds",,30.00,30.00,1,,,,"Korea, Republic of"
"040630 - Processed cheese, not grated or powdered",,30.00,30.00,1,,,,"Korea, Republic of"
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,30.00,30.00,1,,,,"Korea, Republic of"
040690 - Other cheese,"1,898",30.00,30.00,1,,,,"Korea, Republic of"
040711 -- Of fowls of the species Gallus domesticus,,30.00,30.00,1,,,,"Korea, Republic of"
040719 -- Other,,30.00,30.00,2,,,,"Korea, Republic of"
040721 -- Of fowls of the species Gallus domesticus,,30.00,30.00,1,,,,"Korea, Republic of"
040729 -- Other,,30.00,30.00,1,,,,"Korea, Republic of"
040790 - Others,,30.00,30.00,1,,,,"Korea, Republic of"
040811 -- Dried,,30.00,30.00,1,,,,"Korea, Republic of"
040819 -- Other,,30.00,30.00,1,,,,"Korea, Republic of"
040891 -- Dried,,30.00,30.00,1,,,,"Korea, Republic of"
040899 -- Other,,30.00,30.00,1,,,,"Korea, Republic of"
040900 Natural honey.,,60.00,60.00,1,,,,"Korea, Republic of"
"041000 Edible products of animal origin, not elsewhere specified or included.",,30.00,30.00,3,,,,"Korea, Republic of"
,2015,"6,487",33.62,33.62,47,,,,"Korea, Republic of"
"040110 - Of a fat content, by weight, not exceeding 1 %",,30.00,30.00,1,,,,"Korea, Republic of"
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,30.00,30.00,1,,,,"Korea, Republic of"
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,30.00,30.00,1,,,,"Korea, Republic of"
"040150 - Of a fat content, by weight, exceeding 10 %",,30.00,30.00,1,,,,"Korea, Republic of"
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,60.00,60.00,3,,,,"Korea, Republic of"
040221 -- Not containing added sugar or other sweetening matter,,60.00,60.00,1,,,,"Korea, Republic of"
040229 -- Other,,30.00,30.00,3,,,,"Korea, Republic of"
040291 -- Not containing added sugar or other sweetening matter,,30.00,30.00,2,,,,"Korea, Republic of"
040299 -- Other,"6,487",30.00,30.00,3,,,,"Korea, Republic of"
040310 - Yogurt,,30.00,30.00,1,,,,"Korea, Republic of"
040390 - Other,,30.00,30.00,2,,,,"Korea, Republic of"
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,30.00,30.00,3,,,,"Korea, Republic of"
040490 - Other,,30.00,30.00,1,,,,"Korea, Republic of"
040510 - Butter,,30.00,30.00,1,,,,"Korea, Republic of"
040520 - Dairy spreads,,40.00,40.00,1,,,,"Korea, Republic of"
040590 - Other,,33.33,33.33,3,,,,"Korea, Republic of"
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,30.00,30.00,1,,,,"Korea, Republic of"
"040620 - Grated or powdered cheese, of all kinds",,30.00,30.00,1,,,,"Korea, Republic of"
"040630 - Processed cheese, not grated or powdered",,30.00,30.00,1,,,,"Korea, Republic of"
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,30.00,30.00,1,,,,"Korea, Republic of"
040690 - Other cheese,,30.00,30.00,1,,,,"Korea, Republic of"
040711 -- Of fowls of the species Gallus domesticus,,30.00,30.00,1,,,,"Korea, Republic of"
040719 -- Other,,30.00,30.00,2,,,,"Korea, Republic of"
040721 -- Of fowls of the species Gallus domesticus,,30.00,30.00,1,,,,"Korea, Republic of"
040729 -- Other,,30.00,30.00,1,,,,"Korea, Republic of"
040790 - Others,,30.00,30.00,1,,,,"Korea, Republic of"
040811 -- Dried,,30.00,30.00,1,,,,"Korea, Republic of"
040819 -- Other,,30.00,30.00,1,,,,"Korea, Republic of"
040891 -- Dried,,30.00,30.00,1,,,,"Korea, Republic of"
040899 -- Other,,30.00,30.00,1,,,,"Korea, Republic of"
040900 Natural honey.,,60.00,60.00,1,,,,"Korea, Republic of"
"041000 Edible products of animal origin, not elsewhere specified or included.",,30.00,30.00,3,,,,"Korea, Republic of"
,2014,"3,132",33.62,33.62,47,,,,"Korea, Republic of"
"040110 - Of a fat content, by weight, not exceeding 1 %",,30.00,30.00,1,,,,"Korea, Republic of"
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,30.00,30.00,1,,,,"Korea, Republic of"
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,30.00,30.00,1,,,,"Korea, Republic of"
"040150 - Of a fat content, by weight, exceeding 10 %",,30.00,30.00,1,,,,"Korea, Republic of"
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,60.00,60.00,3,,,,"Korea, Republic of"
040221 -- Not containing added sugar or other sweetening matter,,60.00,60.00,1,,,,"Korea, Republic of"
040229 -- Other,,30.00,30.00,3,,,,"Korea, Republic of"
040291 -- Not containing added sugar or other sweetening matter,,30.00,30.00,2,,,,"Korea, Republic of"
040299 -- Other,"1,320",30.00,30.00,3,,,,"Korea, Republic of"
040310 - Yogurt,,30.00,30.00,1,,,,"Korea, Republic of"
040390 - Other,,30.00,30.00,2,,,,"Korea, Republic of"
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,30.00,30.00,3,,,,"Korea, Republic of"
040490 - Other,,30.00,30.00,1,,,,"Korea, Republic of"
040510 - Butter,,30.00,30.00,1,,,,"Korea, Republic of"
040520 - Dairy spreads,,40.00,40.00,1,,,,"Korea, Republic of"
040590 - Other,,33.33,33.33,3,,,,"Korea, Republic of"
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,30.00,30.00,1,,,,"Korea, Republic of"
"040620 - Grated or powdered cheese, of all kinds",,30.00,30.00,1,,,,"Korea, Republic of"
"040630 - Processed cheese, not grated or powdered",,30.00,30.00,1,,,,"Korea, Republic of"
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,30.00,30.00,1,,,,"Korea, Republic of"
040690 - Other cheese,"1,812",30.00,30.00,1,,,,"Korea, Republic of"
040711 -- Of fowls of the species Gallus domesticus,,30.00,30.00,1,,,,"Korea, Republic of"
040719 -- Other,,30.00,30.00,2,,,,"Korea, Republic of"
040721 -- Of fowls of the species Gallus domesticus,,30.00,30.00,1,,,,"Korea, Republic of"
040729 -- Other,,30.00,30.00,1,,,,"Korea, Republic of"
040790 - Others,,30.00,30.00,1,,,,"Korea, Republic of"
040811 -- Dried,,30.00,30.00,1,,,,"Korea, Republic of"
040819 -- Other,,30.00,30.00,1,,,,"Korea, Republic of"
040891 -- Dried,,30.00,30.00,1,,,,"Korea, Republic of"
040899 -- Other,,30.00,30.00,1,,,,"Korea, Republic of"
040900 Natural honey.,,60.00,60.00,1,,,,"Korea, Republic of"
"041000 Edible products of animal origin, not elsewhere specified or included.",,30.00,30.00,3,,,,"Korea, Republic of"
,2013,"11,163",33.62,33.62,47,,,,"Korea, Republic of"
"040110 - Of a fat content, by weight, not exceeding 1 %",,30.00,30.00,1,,,,"Korea, Republic of"
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,30.00,30.00,1,,,,"Korea, Republic of"
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,30.00,30.00,1,,,,"Korea, Republic of"
"040150 - Of a fat content, by weight, exceeding 10 %",,30.00,30.00,1,,,,"Korea, Republic of"
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,60.00,60.00,3,,,,"Korea, Republic of"
040221 -- Not containing added sugar or other sweetening matter,,60.00,60.00,1,,,,"Korea, Republic of"
040229 -- Other,,30.00,30.00,3,,,,"Korea, Republic of"
040291 -- Not containing added sugar or other sweetening matter,,30.00,30.00,2,,,,"Korea, Republic of"
040299 -- Other,"11,013",30.00,30.00,3,,,,"Korea, Republic of"
040310 - Yogurt,122,30.00,30.00,1,,,,"Korea, Republic of"
040390 - Other,,30.00,30.00,2,,,,"Korea, Republic of"
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,30.00,30.00,3,,,,"Korea, Republic of"
040490 - Other,,30.00,30.00,1,,,,"Korea, Republic of"
040510 - Butter,,30.00,30.00,1,,,,"Korea, Republic of"
040520 - Dairy spreads,,40.00,40.00,1,,,,"Korea, Republic of"
040590 - Other,,33.33,33.33,3,,,,"Korea, Republic of"
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,30.00,30.00,1,,,,"Korea, Republic of"
"040620 - Grated or powdered cheese, of all kinds",,30.00,30.00,1,,,,"Korea, Republic of"
"040630 - Processed cheese, not grated or powdered",,30.00,30.00,1,,,,"Korea, Republic of"
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,30.00,30.00,1,,,,"Korea, Republic of"
040690 - Other cheese,28,30.00,30.00,1,,,,"Korea, Republic of"
040711 -- Of fowls of the species Gallus domesticus,,30.00,30.00,1,,,,"Korea, Republic of"
040719 -- Other,,30.00,30.00,2,,,,"Korea, Republic of"
040721 -- Of fowls of the species Gallus domesticus,,30.00,30.00,1,,,,"Korea, Republic of"
040729 -- Other,,30.00,30.00,1,,,,"Korea, Republic of"
040790 - Others,,30.00,30.00,1,,,,"Korea, Republic of"
040811 -- Dried,,30.00,30.00,1,,,,"Korea, Republic of"
040819 -- Other,,30.00,30.00,1,,,,"Korea, Republic of"
040891 -- Dried,,30.00,30.00,1,,,,"Korea, Republic of"
040899 -- Other,,30.00,30.00,1,,,,"Korea, Republic of"
040900 Natural honey.,,60.00,60.00,1,,,,"Korea, Republic of"
"041000 Edible products of animal origin, not elsewhere specified or included.",,30.00,30.00,3,,,,"Korea, Republic of"
,2012,"5,001",33.62,33.62,47,,,,"Korea, Republic of"
"040110 - Of a fat content, by weight, not exceeding 1 %",,30.00,30.00,1,,,,"Korea, Republic of"
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,30.00,30.00,1,,,,"Korea, Republic of"
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,30.00,30.00,1,,,,"Korea, Republic of"
"040150 - Of a fat content, by weight, exceeding 10 %",,30.00,30.00,1,,,,"Korea, Republic of"
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,60.00,60.00,3,,,,"Korea, Republic of"
040221 -- Not containing added sugar or other sweetening matter,,60.00,60.00,1,,,,"Korea, Republic of"
040229 -- Other,,30.00,30.00,3,,,,"Korea, Republic of"
040291 -- Not containing added sugar or other sweetening matter,,30.00,30.00,2,,,,"Korea, Republic of"
040299 -- Other,"5,001",30.00,30.00,3,,,,"Korea, Republic of"
040310 - Yogurt,,30.00,30.00,1,,,,"Korea, Republic of"
040390 - Other,,30.00,30.00,2,,,,"Korea, Republic of"
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,30.00,30.00,3,,,,"Korea, Republic of"
040490 - Other,,30.00,30.00,1,,,,"Korea, Republic of"
040510 - Butter,,30.00,30.00,1,,,,"Korea, Republic of"
040520 - Dairy spreads,,40.00,40.00,1,,,,"Korea, Republic of"
040590 - Other,,33.33,33.33,3,,,,"Korea, Republic of"
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,30.00,30.00,1,,,,"Korea, Republic of"
"040620 - Grated or powdered cheese, of all kinds",,30.00,30.00,1,,,,"Korea, Republic of"
"040630 - Processed cheese, not grated or powdered",,30.00,30.00,1,,,,"Korea, Republic of"
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,30.00,30.00,1,,,,"Korea, Republic of"
040690 - Other cheese,,30.00,30.00,1,,,,"Korea, Republic of"
040711 -- Of fowls of the species Gallus domesticus,,30.00,30.00,1,,,,"Korea, Republic of"
040719 -- Other,,30.00,30.00,2,,,,"Korea, Republic of"
040721 -- Of fowls of the species Gallus domesticus,,30.00,30.00,1,,,,"Korea, Republic of"
040729 -- Other,,30.00,30.00,1,,,,"Korea, Republic of"
040790 - Others,,30.00,30.00,1,,,,"Korea, Republic of"
040811 -- Dried,,30.00,30.00,1,,,,"Korea, Republic of"
040819 -- Other,,30.00,30.00,1,,,,"Korea, Republic of"
040891 -- Dried,,30.00,30.00,1,,,,"Korea, Republic of"
040899 -- Other,,30.00,30.00,1,,,,"Korea, Republic of"
040900 Natural honey.,,60.00,60.00,1,,,,"Korea, Republic of"
"041000 Edible products of animal origin, not elsewhere specified or included.",,30.00,30.00,3,,,,"Korea, Republic of"
,2011,"687,097",34.35,34.35,47,1,,,"Korea, Republic of"
"040110 - Of a fat content, by weight, not exceeding 1 %",,30.00,30.00,1,,,,"Korea, Republic of"
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,30.00,30.00,1,,,,"Korea, Republic of"
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,1,1,,,"Korea, Republic of"
"040150 - Of a fat content, by weight, exceeding 10 %",,30.00,30.00,1,,,,"Korea, Republic of"
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %","588,184",60.00,60.00,3,,,,"Korea, Republic of"
040221 -- Not containing added sugar or other sweetening matter,,60.00,60.00,1,,,,"Korea, Republic of"
040229 -- Other,,30.00,30.00,3,,,,"Korea, Republic of"
040291 -- Not containing added sugar or other sweetening matter,,30.00,30.00,2,,,,"Korea, Republic of"
040299 -- Other,"1,775",30.00,30.00,3,,,,"Korea, Republic of"
040310 - Yogurt,"13,282",30.00,30.00,1,,,,"Korea, Republic of"
040390 - Other,,30.00,30.00,2,,,,"Korea, Republic of"
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,30.00,30.00,3,,,,"Korea, Republic of"
040490 - Other,,30.00,30.00,1,,,,"Korea, Republic of"
040510 - Butter,,40.00,40.00,1,,,,"Korea, Republic of"
040520 - Dairy spreads,,40.00,40.00,1,,,,"Korea, Republic of"
040590 - Other,,40.00,40.00,3,,,,"Korea, Republic of"
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,30.00,30.00,1,,,,"Korea, Republic of"
"040620 - Grated or powdered cheese, of all kinds",,30.00,30.00,1,,,,"Korea, Republic of"
"040630 - Processed cheese, not grated or powdered","83,856",30.00,30.00,1,,,,"Korea, Republic of"
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,30.00,30.00,1,,,,"Korea, Republic of"
040690 - Other cheese,,30.00,30.00,1,,,,"Korea, Republic of"
040711 -- Of fowls of the species Gallus domesticus,,30.00,30.00,1,,,,"Korea, Republic of"
040719 -- Other,,30.00,30.00,2,,,,"Korea, Republic of"
040721 -- Of fowls of the species Gallus domesticus,,30.00,30.00,1,,,,"Korea, Republic of"
040729 -- Other,,30.00,30.00,1,,,,"Korea, Republic of"
040790 - Others,,30.00,30.00,1,,,,"Korea, Republic of"
040811 -- Dried,,30.00,30.00,1,,,,"Korea, Republic of"
040819 -- Other,,30.00,30.00,1,,,,"Korea, Republic of"
040891 -- Dried,,30.00,30.00,1,,,,"Korea, Republic of"
040899 -- Other,,30.00,30.00,1,,,,"Korea, Republic of"
040900 Natural honey.,,60.00,60.00,1,,,,"Korea, Republic of"
"041000 Edible products of animal origin, not elsewhere specified or included.",,30.00,30.00,3,,,,"Korea, Republic of"
,2010,"201,069",33.95,31.77,43,,15,,"Korea, Republic of"
"040110 - Of a fat content, by weight, not exceeding 1%",,30.00,30.00,1,,,,"Korea, Republic of"
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6 %",,30.00,30.00,1,,,,"Korea, Republic of"
"040130 - Of a fat content, by weight, exceeding 6%",,30.00,30.00,1,,,,"Korea, Republic of"
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",,60.00,60.00,3,,,,"Korea, Republic of"
040221 -- Not containing added sugar or other sweetening matter,,60.00,60.00,1,,,,"Korea, Republic of"
040229 -- Other,,30.00,30.00,3,,,,"Korea, Republic of"
040291 -- Not containing added sugar or other sweetening matter,,30.00,30.00,2,,,,"Korea, Republic of"
040299 -- Other,"85,135",30.00,30.00,3,,,,"Korea, Republic of"
040310 - Yogurt,,30.00,23.75,1,,1,,"Korea, Republic of"
040390 - Other,,30.00,23.75,2,,2,,"Korea, Republic of"
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,30.00,30.00,3,,,,"Korea, Republic of"
040490 - Other,,30.00,23.75,1,,1,,"Korea, Republic of"
040510 - Butter,,30.00,30.00,1,,,,"Korea, Republic of"
040520 - Dairy spreads,,40.00,40.00,1,,,,"Korea, Republic of"
040590 - Other,,33.33,33.33,3,,,,"Korea, Republic of"
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,30.00,23.75,1,,1,,"Korea, Republic of"
"040620 - Grated or powdered cheese, of all kinds",,30.00,23.75,1,,1,,"Korea, Republic of"
"040630 - Processed cheese, not grated or powdered",,30.00,23.75,1,,1,,"Korea, Republic of"
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,30.00,23.75,1,,1,,"Korea, Republic of"
040690 - Other cheese,,30.00,30.00,1,,,,"Korea, Republic of"
"040700 Birds' eggs, in shell, fresh, preserved or cooked.",,30.00,30.00,3,,,,"Korea, Republic of"
040811 -- Dried,,30.00,23.75,1,,1,,"Korea, Republic of"
040819 -- Other,"115,935",30.00,23.75,1,,1,,"Korea, Republic of"
040891 -- Dried,,30.00,23.75,1,,1,,"Korea, Republic of"
040899 -- Other,,30.00,23.75,1,,1,,"Korea, Republic of"
040900 Natural honey.,,60.00,60.00,1,,,,"Korea, Republic of"
"041000 Edible products of animal origin, not elsewhere specified or included.",,30.00,23.75,3,,3,,"Korea, Republic of"
,2009,,34.88,34.88,43,,,,"Korea, Republic of"
"040110 - Of a fat content, by weight, not exceeding 1%",,30.00,30.00,1,,,,"Korea, Republic of"
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6 %",,30.00,30.00,1,,,,"Korea, Republic of"
"040130 - Of a fat content, by weight, exceeding 6%",,30.00,30.00,1,,,,"Korea, Republic of"
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",,60.00,60.00,3,,,,"Korea, Republic of"
040221 -- Not containing added sugar or other sweetening matter,,60.00,60.00,1,,,,"Korea, Republic of"
040229 -- Other,,30.00,30.00,3,,,,"Korea, Republic of"
040291 -- Not containing added sugar or other sweetening matter,,30.00,30.00,2,,,,"Korea, Republic of"
040299 -- Other,,30.00,30.00,3,,,,"Korea, Republic of"
040310 - Yogurt,,30.00,30.00,1,,,,"Korea, Republic of"
040390 - Other,,30.00,30.00,2,,,,"Korea, Republic of"
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,30.00,30.00,3,,,,"Korea, Republic of"
040490 - Other,,30.00,30.00,1,,,,"Korea, Republic of"
040510 - Butter,,40.00,40.00,1,,,,"Korea, Republic of"
040520 - Dairy spreads,,40.00,40.00,1,,,,"Korea, Republic of"
040590 - Other,,40.00,40.00,3,,,,"Korea, Republic of"
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,30.00,30.00,1,,,,"Korea, Republic of"
"040620 - Grated or powdered cheese, of all kinds",,30.00,30.00,1,,,,"Korea, Republic of"
"040630 - Processed cheese, not grated or powdered",,30.00,30.00,1,,,,"Korea, Republic of"
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,30.00,30.00,1,,,,"Korea, Republic of"
040690 - Other cheese,,40.00,40.00,1,,,,"Korea, Republic of"
"040700 Birds' eggs, in shell, fresh, preserved or cooked.",,30.00,30.00,3,,,,"Korea, Republic of"
040811 -- Dried,,30.00,30.00,1,,,,"Korea, Republic of"
040819 -- Other,,30.00,30.00,1,,,,"Korea, Republic of"
040891 -- Dried,,30.00,30.00,1,,,,"Korea, Republic of"
040899 -- Other,,30.00,30.00,1,,,,"Korea, Republic of"
040900 Natural honey.,,60.00,60.00,1,,,,"Korea, Republic of"
"041000 Edible products of animal origin, not elsewhere specified or included.",,30.00,30.00,3,,,,"Korea, Republic of"
,2008,"4,044",34.19,34.19,43,,,,"Korea, Republic of"
"040110 - Of a fat content, by weight, not exceeding 1%",,30.00,30.00,1,,,,"Korea, Republic of"
