Importer,Year,Value,Ad val. duties,Number of lines,Japan
,(US$),Simple average,MFN duties,Pref. duties,Japan
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Japan
Yemen,0,,,,,,,Japan
,2016,,5.07,5.07,286,,,,Japan
850110 -Motors of an output not exceeding 37.5 W,,5.00,5.00,1,,,,Japan
850120 - Universal AC/DC motors of an output exceeding 37.5 W,,5.00,5.00,1,,,,Japan
850131 -- Of an output not exceeding 750 W,,5.00,5.00,1,,,,Japan
850132 -- Of an output exceeding 750 W but not exceeding 75 kW,,5.00,5.00,1,,,,Japan
850133 -- Of an output exceeding 75 kW but not exceeding 375 kW,,5.00,5.00,1,,,,Japan
850134 -- Of an output exceeding 375 kW,,5.00,5.00,2,,,,Japan
"850140 - Other AC motors, single-phase",,5.00,5.00,1,,,,Japan
850151 -- Of an output not exceeding 750 W,,5.00,5.00,1,,,,Japan
850152 -- Of an output exceeding 750 W but not exceeding 75 kW,,5.00,5.00,1,,,,Japan
850153 -- Of an output exceeding 75 kW,,5.00,5.00,2,,,,Japan
850161 -- Of an output not exceeding 75 kVA,,5.00,5.00,1,,,,Japan
850162 -- Of an output exceeding 75 kVA but not exceeding 375 kVA,,5.00,5.00,1,,,,Japan
850163 -- Of an output exceeding 375 kVA but not exceeding 750 kVA,,5.00,5.00,1,,,,Japan
850164 -- Of an output exceeding 750 kVA,,5.00,5.00,1,,,,Japan
850211 -- Of an output not exceeding 75 kVA,,5.00,5.00,1,,,,Japan
850212 -- Of an output exceeding 75 kVA but not exceeding 375 kVA,,5.00,5.00,1,,,,Japan
850213 -- Of an output exceeding 375 kVA,,5.00,5.00,2,,,,Japan
850220 - Generating sets with spark-ignition internal combustion piston engines,,5.00,5.00,2,,,,Japan
850231 -- Wind-powered,,5.00,5.00,2,,,,Japan
850239 -- Other,,5.00,5.00,2,,,,Japan
850240 - Electric rotary converters,,5.00,5.00,1,,,,Japan
850300 Parts suitable for use solely or principally with the machines of heading 85.01 or 85.02.,,5.00,5.00,2,,,,Japan
850410 - Ballasts for discharge lamps or tubes,,5.00,5.00,1,,,,Japan
850421 -- Having a power handling capacity not exceeding 650 kVA,,5.00,5.00,1,,,,Japan
"850422 -- Having a power handling capacity exceeding 650 kVA but not exceeding 10,000 kVA",,5.00,5.00,2,,,,Japan
"850423 -- Having a power handling capacity exceeding 10,000 kVA",,5.00,5.00,1,,,,Japan
850431 -- Having a power handling capacity not exceeding 1 kVA,,5.00,5.00,1,,,,Japan
850432 -- Having a power handling capacity exceeding 1 kVA but not exceeding 16 kVA,,5.00,5.00,1,,,,Japan
