Importer,Year,Value,Ad val. duties,Number of lines,Brazil
,(US$),Simple average,MFN duties,Pref. duties,Brazil
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Brazil
European Union,"535,199,711",,,,,,,Brazil
,2018,,11.60,11.60,147,,,,Brazil
610120 - Of cotton,,12.00,12.00,2,,,,Brazil
610130 - Of man-made fibres,,12.00,12.00,2,,,,Brazil
610190 - Of other textile materials,,12.00,12.00,2,,,,Brazil
610210 - Of wool or fine animal hair,,12.00,12.00,2,,,,Brazil
610220 - Of cotton,,12.00,12.00,2,,,,Brazil
610230 - Of man-made fibres,,12.00,12.00,2,,,,Brazil
610290 - Of other textile materials,,12.00,12.00,2,,,,Brazil
610310 - Suits,,12.00,12.00,2,,,,Brazil
610322 - - Of cotton,,12.00,12.00,1,,,,Brazil
610323 - - Of synthetic fibres,,12.00,12.00,1,,,,Brazil
610329 - - Of other textile materials,,12.00,12.00,1,,,,Brazil
610331 - - Of wool or fine animal hair,,12.00,12.00,1,,,,Brazil
610332 - - Of cotton,,12.00,12.00,1,,,,Brazil
610333 - - Of synthetic fibres,,12.00,12.00,1,,,,Brazil
610339 - - Of other textile materials,,12.00,12.00,1,,,,Brazil
610341 - - Of wool or fine animal hair,,12.00,12.00,1,,,,Brazil
610342 - - Of cotton,,12.00,12.00,1,,,,Brazil
610343 - - Of synthetic fibres,,12.00,12.00,1,,,,Brazil
610349 - - Of other textile materials,,12.00,12.00,1,,,,Brazil
610413 - - Of synthetic fibres,,12.00,12.00,1,,,,Brazil
610419 - - Of other textile materials,,12.00,12.00,2,,,,Brazil
610422 - - Of cotton,,12.00,12.00,1,,,,Brazil
610423 - - Of synthetic fibres,,12.00,12.00,1,,,,Brazil
610429 - - Of other textile materials,,12.00,12.00,2,,,,Brazil
610431 - - Of wool or fine animal hair,,12.00,12.00,1,,,,Brazil
610432 - - Of cotton,,12.00,12.00,1,,,,Brazil
610433 - - Of synthetic fibres,,12.00,12.00,1,,,,Brazil
610439 - - Of other textile materials,,12.00,12.00,1,,,,Brazil
610441 - - Of wool or fine animal hair,,12.00,12.00,1,,,,Brazil
610442 - - Of cotton,,12.00,12.00,1,,,,Brazil
610443 - - Of synthetic fibres,,12.00,12.00,1,,,,Brazil
610444 - - Of artificial fibres,,12.00,12.00,1,,,,Brazil
610449 - - Of other textile materials,,12.00,12.00,1,,,,Brazil
610451 - - Of wool or fine animal hair,,12.00,12.00,1,,,,Brazil
610452 - - Of cotton,,12.00,12.00,1,,,,Brazil
610453 - - Of synthetic fibres,,12.00,12.00,1,,,,Brazil
610459 - - Of other textile materials,,12.00,12.00,1,,,,Brazil
610461 - - Of wool or fine animal hair,,12.00,12.00,1,,,,Brazil
610462 - - Of cotton,,12.00,12.00,1,,,,Brazil
610463 - - Of synthetic fibres,,12.00,12.00,1,,,,Brazil
610469 - - Of other textile materials,,12.00,12.00,1,,,,Brazil
610510 - Of cotton,,12.00,12.00,1,,,,Brazil
610520 - Of man-made fibres,,12.00,12.00,2,,,,Brazil
610590 - Of other textile materials,,12.00,12.00,2,,,,Brazil
610610 - Of cotton,,12.00,12.00,1,,,,Brazil
610620 - Of man-made fibres,,12.00,12.00,1,,,,Brazil
610690 - Of other textile materials,,12.00,12.00,4,,,,Brazil
610711 - - Of cotton,,12.00,12.00,1,,,,Brazil
610712 - - Of man-made fibres,,12.00,12.00,1,,,,Brazil
610719 - - Of other textile materials,,12.00,12.00,1,,,,Brazil
610721 - - Of cotton,,12.00,12.00,1,,,,Brazil
610722 - - Of man-made fibres,,12.00,12.00,1,,,,Brazil
610729 - - Of other textile materials,,12.00,12.00,1,,,,Brazil
610791 - - Of cotton,,12.00,12.00,1,,,,Brazil
610799 - - Of other textile materials,,12.00,12.00,1,,,,Brazil
610811 - - Of man-made fibres,,12.00,12.00,1,,,,Brazil
610819 - - Of other textile materials,,12.00,12.00,1,,,,Brazil
610821 - - Of cotton,,12.00,12.00,1,,,,Brazil
610822 - - Of man-made fibres,,12.00,12.00,1,,,,Brazil
610829 - - Of other textile materials,,12.00,12.00,1,,,,Brazil
610831 - - Of cotton,,12.00,12.00,1,,,,Brazil
610832 - - Of man-made fibres,,12.00,12.00,1,,,,Brazil
610839 - - Of other textile materials,,12.00,12.00,1,,,,Brazil
610891 - - Of cotton,,12.00,12.00,1,,,,Brazil
610892 - - Of man-made fibres,,12.00,12.00,1,,,,Brazil
610899 - - Of other textile materials,,12.00,12.00,1,,,,Brazil
610910 - Of cotton,,12.00,12.00,1,,,,Brazil
610990 - Of other textile materials,,12.00,12.00,2,,,,Brazil
611011 - - Of wool,,11.50,11.50,3,,,,Brazil
611012 - - Of Kashmir (cashmere) goats,,12.00,12.00,2,,,,Brazil
611019 - - Other,,12.00,12.00,2,,,,Brazil
611020 - Of cotton,,12.00,12.00,3,,,,Brazil
611030 - Of man-made fibres,,12.00,12.00,3,,,,Brazil
611090 - Of other textile materials,,12.00,12.00,2,,,,Brazil
611120 - Of cotton,,10.45,10.45,2,,,,Brazil
611130 - Of synthetic fibres,,10.45,10.45,2,,,,Brazil
611190 - Of other textile materials,,10.97,10.97,3,,,,Brazil
611211 - - Of cotton,,12.00,12.00,1,,,,Brazil
611212 - - Of synthetic fibres,,12.00,12.00,1,,,,Brazil
611219 - - Of other textile materials,,12.00,12.00,1,,,,Brazil
611220 - Ski suits,,12.00,12.00,1,,,,Brazil
611231 - - Of synthetic fibres,,10.00,10.00,2,,,,Brazil
611239 - - Of other textile materials,,10.00,10.00,2,,,,Brazil
611241 - - Of synthetic fibres,,10.00,10.00,2,,,,Brazil
611249 - - Of other textile materials,,10.00,10.00,2,,,,Brazil
"611300 Garments, made up of knitted or crocheted fabrics of heading 59.03, 59.06 or 59.07.",,10.00,10.00,2,,,,Brazil
611420 - Of cotton,,12.00,12.00,1,,,,Brazil
611430 - Of man-made fibres,,12.00,12.00,1,,,,Brazil
611490 - Of other textile materials,,12.00,12.00,1,,,,Brazil
"611510 - Graduated compression hosiery (for example, stockings for varicose veins)",,10.00,10.00,2,,,,Brazil
"611521 - - Of synthetic fibres, measuring per single yarn less than 67 decitex",,12.00,12.00,1,,,,Brazil
"611522 - - Of synthetic fibres, measuring per single yarn 67 decitex or more",,12.00,12.00,1,,,,Brazil
611529 - - Of other textile materials,,12.00,12.00,1,,,,Brazil
"611530 - Other women's full-length or knee-length hosiery, measuring per single yarn less than 67 decitex",,12.00,12.00,3,,,,Brazil
611594 - - Of wool or fine animal hair,,12.00,12.00,1,,,,Brazil
611595 - - Of cotton,,12.00,12.00,1,,,,Brazil
611596 - - Of synthetic fibres,,12.00,12.00,3,,,,Brazil
611599 - - Of other textile materials,,12.00,12.00,1,,,,Brazil
"611610 - Impregnated, coated or covered with plastics or rubber",,8.45,8.45,2,,,,Brazil
611691 - - Of wool or fine animal hair,,8.90,8.90,1,,,,Brazil
611692 - - Of cotton,,8.90,8.90,1,,,,Brazil
611693 - - Of synthetic fibres,,8.90,8.90,1,,,,Brazil
611699 - - Of other textile materials,,8.90,8.90,1,,,,Brazil
"611710 - Shawls, scarves, mufflers, mantillas, veils and the like",,12.00,12.00,1,,,,Brazil
611780 - Other accessories,,10.00,10.00,2,,,,Brazil
611790 - Parts,,12.00,12.00,1,,,,Brazil
,2017,"8,201,021",11.60,11.60,147,,,,Brazil
610120 - Of cotton,"14,675",12.00,12.00,2,,,,Brazil
610130 - Of man-made fibres,"2,910",12.00,12.00,2,,,,Brazil
610190 - Of other textile materials,482,12.00,12.00,2,,,,Brazil
610210 - Of wool or fine animal hair,544,12.00,12.00,2,,,,Brazil
610220 - Of cotton,"5,497",12.00,12.00,2,,,,Brazil
610230 - Of man-made fibres,"39,766",12.00,12.00,2,,,,Brazil
610290 - Of other textile materials,"5,968",12.00,12.00,2,,,,Brazil
610310 - Suits,1,12.00,12.00,2,,,,Brazil
610322 - - Of cotton,"1,791",12.00,12.00,1,,,,Brazil
610323 - - Of synthetic fibres,163,12.00,12.00,1,,,,Brazil
610329 - - Of other textile materials,"17,799",12.00,12.00,1,,,,Brazil
610331 - - Of wool or fine animal hair,"2,857",12.00,12.00,1,,,,Brazil
610332 - - Of cotton,"2,239",12.00,12.00,1,,,,Brazil
610333 - - Of synthetic fibres,"2,291",12.00,12.00,1,,,,Brazil
610339 - - Of other textile materials,"2,182",12.00,12.00,1,,,,Brazil
610341 - - Of wool or fine animal hair,103,12.00,12.00,1,,,,Brazil
610342 - - Of cotton,"20,364",12.00,12.00,1,,,,Brazil
610343 - - Of synthetic fibres,"26,557",12.00,12.00,1,,,,Brazil
610349 - - Of other textile materials,"20,353",12.00,12.00,1,,,,Brazil
610413 - - Of synthetic fibres,778,12.00,12.00,1,,,,Brazil
610419 - - Of other textile materials,"11,881",12.00,12.00,2,,,,Brazil
610422 - - Of cotton,"18,367",12.00,12.00,1,,,,Brazil
610423 - - Of synthetic fibres,"13,647",12.00,12.00,1,,,,Brazil
610429 - - Of other textile materials,"10,647",12.00,12.00,2,,,,Brazil
610431 - - Of wool or fine animal hair,2,12.00,12.00,1,,,,Brazil
610432 - - Of cotton,"3,053",12.00,12.00,1,,,,Brazil
610433 - - Of synthetic fibres,"10,192",12.00,12.00,1,,,,Brazil
610439 - - Of other textile materials,380,12.00,12.00,1,,,,Brazil
610441 - - Of wool or fine animal hair,"13,005",12.00,12.00,1,,,,Brazil
610442 - - Of cotton,"157,687",12.00,12.00,1,,,,Brazil
610443 - - Of synthetic fibres,"204,256",12.00,12.00,1,,,,Brazil
610444 - - Of artificial fibres,"73,730",12.00,12.00,1,,,,Brazil
610449 - - Of other textile materials,"28,960",12.00,12.00,1,,,,Brazil
610451 - - Of wool or fine animal hair,"4,167",12.00,12.00,1,,,,Brazil
610452 - - Of cotton,"4,824",12.00,12.00,1,,,,Brazil
610453 - - Of synthetic fibres,"59,459",12.00,12.00,1,,,,Brazil
610459 - - Of other textile materials,"15,116",12.00,12.00,1,,,,Brazil
