Importer,Year,Value,Ad val. duties,Number of lines,European Union
,(US$),Simple average,MFN duties,Pref. duties,European Union
,MFN,Best,All items,Non ad val.,All items,Non ad val.,European Union
950349 -- Other,,5.00,5.00,1,,,,European Union
950350 - Toy musical instruments and apparatus,,5.00,5.00,1,,,,European Union
950360 - Puzzles,,5.00,5.00,1,,,,European Union
"950370 - Other toys, put up in sets or outfits",,5.00,5.00,1,,,,European Union
"950380 - Other toys and models, incorporating a motor",,5.00,5.00,1,,,,European Union
950390 - Other,,5.00,5.00,1,,,,European Union
950410 - Video games of a kind used with a television receiver,,5.00,5.00,1,,,,European Union
950420 - Articles and accessories for billiards,,0.00,0.00,1,,,,European Union
"950430 - Other games, operated by coins, banknotes (paper currency), discs or other similar articles, other than bowling alley equipment",,5.00,5.00,1,,,,European Union
950440 - Playing cards,,5.00,5.00,1,,,,European Union
950490 - Other,,2.50,2.50,3,1,,,European Union
950510 - Articles for Christmas festivities,,5.00,5.00,1,,,,European Union
950590 - Other,,5.00,5.00,1,,,,European Union
950611 -- Skis,,0.00,0.00,1,,,,European Union
950612 -- Ski-fastenings (ski-bindings),,0.00,0.00,1,,,,European Union
950619 -- Other,,0.00,0.00,1,,,,European Union
950621 -- Sailboards,,0.00,0.00,1,,,,European Union
950629 -- Other,,0.00,0.00,1,,,,European Union
"950631 -- Clubs, complete",,0.00,0.00,1,,,,European Union
950632 -- Balls,,0.00,0.00,1,,,,European Union
950639 -- Other,,0.00,0.00,1,,,,European Union
950640 - Articles and equipment for table-tennis,,0.00,0.00,1,,,,European Union
"950651 -- Lawn-tennis rackets, whether or not strung",,0.00,0.00,1,,,,European Union
950659 -- Other,,0.00,0.00,1,,,,European Union
950661 -- Lawn-tennis balls,,0.00,0.00,1,,,,European Union
950662 -- Inflatable,,0.00,0.00,1,,,,European Union
950669 -- Other,,0.00,0.00,1,,,,European Union
"950670 - Ice skates and roller skates, including skating boots with skates attached",,0.00,0.00,1,,,,European Union
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",,0.00,0.00,1,,,,European Union
950699 -- Other,,0.00,0.00,2,,,,European Union
950710 - Fishing rods,,5.00,5.00,1,,,,European Union
"950720 - Fish-hooks, whether or not snelled",,5.00,5.00,1,,,,European Union
950730 - Fishing reels,,5.00,5.00,1,,,,European Union
950790 - Other,,5.00,5.00,1,,,,European Union
950810 - Travelling circuses and travelling menageries,,5.00,5.00,1,,,,European Union
950890 - Other,,5.00,5.00,1,,,,European Union
