Importer,Year,Value,Ad val. duties,Number of lines,China
,(US$),Simple average,MFN duties,Pref. duties,China
,MFN,Best,All items,Non ad val.,All items,Non ad val.,China
Brazil,"4,271,579,992",,,,,,,China
,2018,,35.00,35.00,132,,,,China
610120 - Of cotton,,35.00,35.00,1,,,,China
610130 - Of man-made fibres,,35.00,35.00,1,,,,China
610190 - Of other textile materials,,35.00,35.00,2,,,,China
610210 - Of wool or fine animal hair,,35.00,35.00,1,,,,China
610220 - Of cotton,,35.00,35.00,1,,,,China
610230 - Of man-made fibres,,35.00,35.00,1,,,,China
610290 - Of other textile materials,,35.00,35.00,1,,,,China
610310 - Suits,,35.00,35.00,3,,,,China
610322 - - Of cotton,,35.00,35.00,1,,,,China
610323 - - Of synthetic fibres,,35.00,35.00,1,,,,China
610329 - - Of other textile materials,,35.00,35.00,2,,,,China
610331 - - Of wool or fine animal hair,,35.00,35.00,1,,,,China
610332 - - Of cotton,,35.00,35.00,1,,,,China
610333 - - Of synthetic fibres,,35.00,35.00,1,,,,China
610339 - - Of other textile materials,,35.00,35.00,1,,,,China
610341 - - Of wool or fine animal hair,,35.00,35.00,1,,,,China
610342 - - Of cotton,,35.00,35.00,1,,,,China
610343 - - Of synthetic fibres,,35.00,35.00,1,,,,China
610349 - - Of other textile materials,,35.00,35.00,1,,,,China
610413 - - Of synthetic fibres,,35.00,35.00,1,,,,China
610419 - - Of other textile materials,,35.00,35.00,3,,,,China
610422 - - Of cotton,,35.00,35.00,1,,,,China
610423 - - Of synthetic fibres,,35.00,35.00,1,,,,China
610429 - - Of other textile materials,,35.00,35.00,2,,,,China
610431 - - Of wool or fine animal hair,,35.00,35.00,1,,,,China
610432 - - Of cotton,,35.00,35.00,1,,,,China
610433 - - Of synthetic fibres,,35.00,35.00,1,,,,China
610439 - - Of other textile materials,,35.00,35.00,1,,,,China
610441 - - Of wool or fine animal hair,,35.00,35.00,1,,,,China
610442 - - Of cotton,,35.00,35.00,1,,,,China
610443 - - Of synthetic fibres,,35.00,35.00,1,,,,China
610444 - - Of artificial fibres,,35.00,35.00,1,,,,China
610449 - - Of other textile materials,,35.00,35.00,1,,,,China
610451 - - Of wool or fine animal hair,,35.00,35.00,1,,,,China
610452 - - Of cotton,,35.00,35.00,1,,,,China
610453 - - Of synthetic fibres,,35.00,35.00,1,,,,China
610459 - - Of other textile materials,,35.00,35.00,1,,,,China
610461 - - Of wool or fine animal hair,,35.00,35.00,1,,,,China
610462 - - Of cotton,,35.00,35.00,1,,,,China
610463 - - Of synthetic fibres,,35.00,35.00,1,,,,China
610469 - - Of other textile materials,,35.00,35.00,1,,,,China
610510 - Of cotton,,35.00,35.00,1,,,,China
610520 - Of man-made fibres,,35.00,35.00,1,,,,China
610590 - Of other textile materials,,35.00,35.00,1,,,,China
610610 - Of cotton,,35.00,35.00,1,,,,China
610620 - Of man-made fibres,,35.00,35.00,1,,,,China
610690 - Of other textile materials,,35.00,35.00,1,,,,China
610711 - - Of cotton,,35.00,35.00,1,,,,China
610712 - - Of man-made fibres,,35.00,35.00,1,,,,China
610719 - - Of other textile materials,,35.00,35.00,1,,,,China
610721 - - Of cotton,,35.00,35.00,1,,,,China
610722 - - Of man-made fibres,,35.00,35.00,1,,,,China
610729 - - Of other textile materials,,35.00,35.00,1,,,,China
610791 - - Of cotton,,35.00,35.00,1,,,,China
610799 - - Of other textile materials,,35.00,35.00,2,,,,China
610811 - - Of man-made fibres,,35.00,35.00,1,,,,China
610819 - - Of other textile materials,,35.00,35.00,1,,,,China
610821 - - Of cotton,,35.00,35.00,1,,,,China
610822 - - Of man-made fibres,,35.00,35.00,1,,,,China
610829 - - Of other textile materials,,35.00,35.00,1,,,,China
610831 - - Of cotton,,35.00,35.00,1,,,,China
610832 - - Of man-made fibres,,35.00,35.00,1,,,,China
610839 - - Of other textile materials,,35.00,35.00,1,,,,China
610891 - - Of cotton,,35.00,35.00,1,,,,China
610892 - - Of man-made fibres,,35.00,35.00,1,,,,China
610899 - - Of other textile materials,,35.00,35.00,1,,,,China
610910 - Of cotton,,35.00,35.00,1,,,,China
610990 - Of other textile materials,,35.00,35.00,1,,,,China
