Importer,Year,Value,Ad val. duties,Number of lines,Armenia
,(US$),Simple average,MFN duties,Pref. duties,Armenia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Armenia
"950651 -- Lawn-tennis rackets, whether or not strung",,4.70,0.00,1,,1,,Armenia
950659 -- Other,,2.70,0.00,1,,1,,Armenia
950661 -- Lawn-tennis balls,,2.70,0.00,1,,1,,Armenia
950662 -- Inflatable,,2.70,0.00,1,,1,,Armenia
950669 -- Other,,1.35,0.00,2,,1,,Armenia
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,0.00,3,,2,,Armenia
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",,2.70,0.00,2,,2,,Armenia
950699 -- Other,,1.35,0.00,2,,1,,Armenia
950710 - Fishing rods,,3.70,0.00,1,,1,,Armenia
"950720 - Fish-hooks, whether or not snelled",,2.70,0.00,2,,2,,Armenia
950730 - Fishing reels,,3.70,0.00,1,,1,,Armenia
950790 - Other,,3.70,0.00,1,,1,,Armenia
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,Armenia
950890 - Other,,1.70,0.00,1,,1,,Armenia
,2015,"8,369",2.17,0.00,62,,41,,Armenia
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","1,365",2.09,0.00,18,,8,,Armenia
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,Armenia
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","6,144",0.00,0.00,3,,,,Armenia
950440 - Playing cards,,2.70,0.00,1,,1,,Armenia
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,0.00,0.00,1,,,,Armenia
950490 - Other,,0.00,0.00,2,,,,Armenia
950510 - Articles for Christmas festivities,266,1.35,0.00,2,,1,,Armenia
950590 - Other,593,2.70,0.00,1,,1,,Armenia
950611 -- Skis,,3.70,0.00,4,,4,,Armenia
950612 -- Ski-fastenings (ski-bindings),,3.70,0.00,1,,1,,Armenia
950619 -- Other,,2.70,0.00,1,,1,,Armenia
950621 -- Sailboards,,2.70,0.00,1,,1,,Armenia
950629 -- Other,,2.70,0.00,1,,1,,Armenia
"950631 -- Clubs, complete",,2.70,0.00,1,,1,,Armenia
950632 -- Balls,,2.70,0.00,1,,1,,Armenia
950639 -- Other,,2.70,0.00,2,,2,,Armenia
950640 - Articles and equipment for table-tennis,,2.70,0.00,1,,1,,Armenia
"950651 -- Lawn-tennis rackets, whether or not strung",,4.70,0.00,1,,1,,Armenia
950659 -- Other,,2.70,0.00,1,,1,,Armenia
950661 -- Lawn-tennis balls,,2.70,0.00,1,,1,,Armenia
950662 -- Inflatable,,2.70,0.00,1,,1,,Armenia
950669 -- Other,,1.35,0.00,2,,1,,Armenia
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,0.00,3,,2,,Armenia
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",,2.70,0.00,2,,2,,Armenia
950699 -- Other,,1.35,0.00,2,,1,,Armenia
950710 - Fishing rods,,3.70,0.00,1,,1,,Armenia
"950720 - Fish-hooks, whether or not snelled",,2.70,0.00,2,,2,,Armenia
950730 - Fishing reels,,3.70,0.00,1,,1,,Armenia
950790 - Other,,3.70,0.00,1,,1,,Armenia
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,Armenia
950890 - Other,,1.70,0.00,1,,1,,Armenia
,2014,"62,104",2.17,0.00,62,,41,,Armenia
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",220,2.09,0.00,18,,8,,Armenia
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,Armenia
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","35,128",0.00,0.00,3,,,,Armenia
950440 - Playing cards,,2.70,0.00,1,,1,,Armenia
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,0.00,0.00,1,,,,Armenia
950490 - Other,"25,384",0.00,0.00,2,,,,Armenia
950510 - Articles for Christmas festivities,69,1.35,0.00,2,,1,,Armenia
950590 - Other,,2.70,0.00,1,,1,,Armenia
950611 -- Skis,,3.70,0.00,4,,4,,Armenia
950612 -- Ski-fastenings (ski-bindings),293,3.70,0.00,1,,1,,Armenia
950619 -- Other,,2.70,0.00,1,,1,,Armenia
950621 -- Sailboards,,2.70,0.00,1,,1,,Armenia
950629 -- Other,,2.70,0.00,1,,1,,Armenia
"950631 -- Clubs, complete",,2.70,0.00,1,,1,,Armenia
950632 -- Balls,,2.70,0.00,1,,1,,Armenia
950639 -- Other,,2.70,0.00,2,,2,,Armenia
950640 - Articles and equipment for table-tennis,,2.70,0.00,1,,1,,Armenia
"950651 -- Lawn-tennis rackets, whether or not strung",,4.70,0.00,1,,1,,Armenia
950659 -- Other,,2.70,0.00,1,,1,,Armenia
950661 -- Lawn-tennis balls,,2.70,0.00,1,,1,,Armenia
950662 -- Inflatable,,2.70,0.00,1,,1,,Armenia
950669 -- Other,,1.35,0.00,2,,1,,Armenia
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,0.00,3,,2,,Armenia
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",846,2.70,0.00,2,,2,,Armenia
950699 -- Other,,1.35,0.00,2,,1,,Armenia
950710 - Fishing rods,88,3.70,0.00,1,,1,,Armenia
"950720 - Fish-hooks, whether or not snelled",,2.70,0.00,2,,2,,Armenia
950730 - Fishing reels,76,3.70,0.00,1,,1,,Armenia
950790 - Other,,3.70,0.00,1,,1,,Armenia
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,Armenia
950890 - Other,,1.70,0.00,1,,1,,Armenia
,2013,"28,752",2.17,0.00,62,,41,,Armenia
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,2.09,0.00,18,,8,,Armenia
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,Armenia
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","24,210",0.00,0.00,3,,,,Armenia
950440 - Playing cards,,2.70,0.00,1,,1,,Armenia
"950450 -Video game consoles and machines, other than those of subheading 9504.30",27,0.00,0.00,1,,,,Armenia
950490 - Other,"1,142",0.00,0.00,2,,,,Armenia
950510 - Articles for Christmas festivities,,1.35,0.00,2,,1,,Armenia
950590 - Other,,2.70,0.00,1,,1,,Armenia
950611 -- Skis,,3.70,0.00,4,,4,,Armenia
950612 -- Ski-fastenings (ski-bindings),,3.70,0.00,1,,1,,Armenia
950619 -- Other,,2.70,0.00,1,,1,,Armenia
950621 -- Sailboards,,2.70,0.00,1,,1,,Armenia
950629 -- Other,,2.70,0.00,1,,1,,Armenia
"950631 -- Clubs, complete",,2.70,0.00,1,,1,,Armenia
950632 -- Balls,,2.70,0.00,1,,1,,Armenia
950639 -- Other,,2.70,0.00,2,,2,,Armenia
950640 - Articles and equipment for table-tennis,,2.70,0.00,1,,1,,Armenia
"950651 -- Lawn-tennis rackets, whether or not strung",,4.70,0.00,1,,1,,Armenia
950659 -- Other,,2.70,0.00,1,,1,,Armenia
950661 -- Lawn-tennis balls,,2.70,0.00,1,,1,,Armenia
950662 -- Inflatable,,2.70,0.00,1,,1,,Armenia
950669 -- Other,,1.35,0.00,2,,1,,Armenia
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,0.00,3,,2,,Armenia
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",,2.70,0.00,2,,2,,Armenia
950699 -- Other,13,1.35,0.00,2,,1,,Armenia
950710 - Fishing rods,,3.70,0.00,1,,1,,Armenia
"950720 - Fish-hooks, whether or not snelled",,2.70,0.00,2,,2,,Armenia
950730 - Fishing reels,,3.70,0.00,1,,1,,Armenia
950790 - Other,,3.70,0.00,1,,1,,Armenia
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,Armenia
950890 - Other,"3,360",1.70,0.00,1,,1,,Armenia
,2012,"34,254",2.17,0.00,62,,41,,Armenia
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,2.09,0.00,18,,8,,Armenia
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,Armenia
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","34,254",0.00,0.00,3,,,,Armenia
950440 - Playing cards,,2.70,0.00,1,,1,,Armenia
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,0.00,0.00,1,,,,Armenia
950490 - Other,,0.00,0.00,2,,,,Armenia
950510 - Articles for Christmas festivities,,1.35,0.00,2,,1,,Armenia
950590 - Other,,2.70,0.00,1,,1,,Armenia
950611 -- Skis,,3.70,0.00,4,,4,,Armenia
950612 -- Ski-fastenings (ski-bindings),,3.70,0.00,1,,1,,Armenia
950619 -- Other,,2.70,0.00,1,,1,,Armenia
950621 -- Sailboards,,2.70,0.00,1,,1,,Armenia
950629 -- Other,,2.70,0.00,1,,1,,Armenia
"950631 -- Clubs, complete",,2.70,0.00,1,,1,,Armenia
950632 -- Balls,,2.70,0.00,1,,1,,Armenia
950639 -- Other,,2.70,0.00,2,,2,,Armenia
950640 - Articles and equipment for table-tennis,,2.70,0.00,1,,1,,Armenia
"950651 -- Lawn-tennis rackets, whether or not strung",,4.70,0.00,1,,1,,Armenia
950659 -- Other,,2.70,0.00,1,,1,,Armenia
950661 -- Lawn-tennis balls,,2.70,0.00,1,,1,,Armenia
950662 -- Inflatable,,2.70,0.00,1,,1,,Armenia
950669 -- Other,,1.35,0.00,2,,1,,Armenia
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,0.00,3,,2,,Armenia
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",,2.70,0.00,2,,2,,Armenia
950699 -- Other,,1.35,0.00,2,,1,,Armenia
950710 - Fishing rods,,3.70,0.00,1,,1,,Armenia
"950720 - Fish-hooks, whether or not snelled",,2.70,0.00,2,,2,,Armenia
950730 - Fishing reels,,3.70,0.00,1,,1,,Armenia
950790 - Other,,3.70,0.00,1,,1,,Armenia
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,Armenia
950890 - Other,,1.70,0.00,1,,1,,Armenia
,2011,"38,976",2.17,0.00,62,,41,,Armenia
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",153,2.09,0.00,18,,8,,Armenia
950410 - Video games of a kind used with a television receiver,,0.00,0.00,1,,,,Armenia
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,Armenia
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by other means of payment, other than bowling alley equipment","38,531",0.00,0.00,3,,,,Armenia
950440 - Playing cards,,2.70,0.00,1,,1,,Armenia
950490 - Other,292,0.00,0.00,2,,,,Armenia
950510 - Articles for Christmas festivities,,1.35,0.00,2,,1,,Armenia
950590 - Other,,2.70,0.00,1,,1,,Armenia
950611 -- Skis,,3.70,0.00,4,,4,,Armenia
950612 -- Ski-fastenings (ski-bindings),,3.70,0.00,1,,1,,Armenia
950619 -- Other,,2.70,0.00,1,,1,,Armenia
950621 -- Sailboards,,2.70,0.00,1,,1,,Armenia
950629 -- Other,,2.70,0.00,1,,1,,Armenia
"950631 -- Clubs, complete",,2.70,0.00,1,,1,,Armenia
950632 -- Balls,,2.70,0.00,1,,1,,Armenia
950639 -- Other,,2.70,0.00,2,,2,,Armenia
950640 - Articles and equipment for table-tennis,,2.70,0.00,1,,1,,Armenia
"950651 -- Lawn-tennis rackets, whether or not strung",,4.70,0.00,1,,1,,Armenia
950659 -- Other,,2.70,0.00,1,,1,,Armenia
950661 -- Lawn-tennis balls,,2.70,0.00,1,,1,,Armenia
950662 -- Inflatable,,2.70,0.00,1,,1,,Armenia
950669 -- Other,,1.35,0.00,2,,1,,Armenia
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,0.00,3,,2,,Armenia
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",,2.70,0.00,2,,2,,Armenia
950699 -- Other,,1.35,0.00,2,,1,,Armenia
950710 - Fishing rods,,3.70,0.00,1,,1,,Armenia
"950720 - Fish-hooks, whether or not snelled",,2.70,0.00,2,,2,,Armenia
950730 - Fishing reels,,3.70,0.00,1,,1,,Armenia
950790 - Other,,3.70,0.00,1,,1,,Armenia
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,Armenia
950890 - Other,,1.70,0.00,1,,1,,Armenia
,2010,"55,812",2.12,2.12,66,,,,Armenia
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,2.09,2.09,18,,,,Armenia
950410 - Video games of a kind used with a television receiver,"40,832",0.00,0.00,1,,,,Armenia
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,2,,,,Armenia
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by other means of payment, other than bowling alley equipment","10,500",0.00,0.00,4,,,,Armenia
950440 - Playing cards,,2.70,2.70,1,,,,Armenia
950490 - Other,,0.00,0.00,2,,,,Armenia
950510 - Articles for Christmas festivities,,1.35,1.35,2,,,,Armenia
950590 - Other,,2.70,2.70,1,,,,Armenia
950611 -- Skis,,3.70,3.70,4,,,,Armenia
950612 -- Ski-fastenings (ski-bindings),,3.70,3.70,1,,,,Armenia
950619 -- Other,,2.70,2.70,1,,,,Armenia
950621 -- Sailboards,,2.70,2.70,1,,,,Armenia
950629 -- Other,,2.70,2.70,1,,,,Armenia
"950631 -- Clubs, complete",,2.70,2.70,1,,,,Armenia
950632 -- Balls,,2.70,2.70,1,,,,Armenia
950639 -- Other,,2.70,2.70,2,,,,Armenia
950640 - Articles and equipment for table-tennis,,2.70,2.70,2,,,,Armenia
"950651 -- Lawn-tennis rackets, whether or not strung",,4.70,4.70,1,,,,Armenia
950659 -- Other,,2.70,2.70,1,,,,Armenia
950661 -- Lawn-tennis balls,,2.70,2.70,1,,,,Armenia
950662 -- Inflatable,,2.70,2.70,2,,,,Armenia
950669 -- Other,,1.35,1.35,2,,,,Armenia
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,1.80,3,,,,Armenia
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",,2.70,2.70,2,,,,Armenia
950699 -- Other,"3,460",1.35,1.35,2,,,,Armenia
950710 - Fishing rods,,3.70,3.70,1,,,,Armenia
"950720 - Fish-hooks, whether or not snelled",,2.70,2.70,2,,,,Armenia
950730 - Fishing reels,,3.70,3.70,1,,,,Armenia
950790 - Other,,3.70,3.70,1,,,,Armenia
950810 - Travelling circuses and travelling menageries,,1.70,1.70,1,,,,Armenia
950890 - Other,"1,021",1.70,1.70,1,,,,Armenia
,2009,"1,744",2.12,2.12,66,,,,Armenia
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","1,744",2.09,2.09,18,,,,Armenia
950410 - Video games of a kind used with a television receiver,,0.00,0.00,1,,,,Armenia
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,2,,,,Armenia
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by other means of payment, other than bowling alley equipment",,0.00,0.00,4,,,,Armenia
950440 - Playing cards,,2.70,2.70,1,,,,Armenia
950490 - Other,,0.00,0.00,2,,,,Armenia
950510 - Articles for Christmas festivities,,1.35,1.35,2,,,,Armenia
950590 - Other,,2.70,2.70,1,,,,Armenia
950611 -- Skis,,3.70,3.70,4,,,,Armenia
950612 -- Ski-fastenings (ski-bindings),,3.70,3.70,1,,,,Armenia
950619 -- Other,,2.70,2.70,1,,,,Armenia
950621 -- Sailboards,,2.70,2.70,1,,,,Armenia
950629 -- Other,,2.70,2.70,1,,,,Armenia
"950631 -- Clubs, complete",,2.70,2.70,1,,,,Armenia
950632 -- Balls,,2.70,2.70,1,,,,Armenia
950639 -- Other,,2.70,2.70,2,,,,Armenia
950640 - Articles and equipment for table-tennis,,2.70,2.70,2,,,,Armenia
"950651 -- Lawn-tennis rackets, whether or not strung",,4.70,4.70,1,,,,Armenia
950659 -- Other,,2.70,2.70,1,,,,Armenia
950661 -- Lawn-tennis balls,,2.70,2.70,1,,,,Armenia
950662 -- Inflatable,,2.70,2.70,2,,,,Armenia
950669 -- Other,,1.35,1.35,2,,,,Armenia
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,1.80,3,,,,Armenia
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",,2.70,2.70,2,,,,Armenia
950699 -- Other,,1.35,1.35,2,,,,Armenia
950710 - Fishing rods,,3.70,3.70,1,,,,Armenia
"950720 - Fish-hooks, whether or not snelled",,2.70,2.70,2,,,,Armenia
950730 - Fishing reels,,3.70,3.70,1,,,,Armenia
950790 - Other,,3.70,3.70,1,,,,Armenia
950810 - Travelling circuses and travelling menageries,,1.70,1.70,1,,,,Armenia
950890 - Other,,1.70,1.70,1,,,,Armenia
,2008,"2,578",2.12,2.12,66,,,,Armenia
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","1,904",2.09,2.09,18,,,,Armenia
950410 - Video games of a kind used with a television receiver,,0.00,0.00,1,,,,Armenia
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,2,,,,Armenia
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by other means of payment, other than bowling alley equipment",,0.00,0.00,4,,,,Armenia
950440 - Playing cards,,2.70,2.70,1,,,,Armenia
950490 - Other,,0.00,0.00,2,,,,Armenia
950510 - Articles for Christmas festivities,,1.35,1.35,2,,,,Armenia
950590 - Other,,2.70,2.70,1,,,,Armenia
950611 -- Skis,,3.70,3.70,4,,,,Armenia
950612 -- Ski-fastenings (ski-bindings),,3.70,3.70,1,,,,Armenia
950619 -- Other,,2.70,2.70,1,,,,Armenia
950621 -- Sailboards,,2.70,2.70,1,,,,Armenia
950629 -- Other,,2.70,2.70,1,,,,Armenia
"950631 -- Clubs, complete",,2.70,2.70,1,,,,Armenia
950632 -- Balls,,2.70,2.70,1,,,,Armenia
950639 -- Other,,2.70,2.70,2,,,,Armenia
950640 - Articles and equipment for table-tennis,,2.70,2.70,2,,,,Armenia
"950651 -- Lawn-tennis rackets, whether or not strung",,4.70,4.70,1,,,,Armenia
950659 -- Other,,2.70,2.70,1,,,,Armenia
950661 -- Lawn-tennis balls,,2.70,2.70,1,,,,Armenia
950662 -- Inflatable,,2.70,2.70,2,,,,Armenia
950669 -- Other,,1.35,1.35,2,,,,Armenia
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,1.80,3,,,,Armenia
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",,2.70,2.70,2,,,,Armenia
950699 -- Other,674,1.35,1.35,2,,,,Armenia
950710 - Fishing rods,,3.70,3.70,1,,,,Armenia
"950720 - Fish-hooks, whether or not snelled",,2.70,2.70,2,,,,Armenia
950730 - Fishing reels,,3.70,3.70,1,,,,Armenia
950790 - Other,,3.70,3.70,1,,,,Armenia
950810 - Travelling circuses and travelling menageries,,1.70,1.70,1,,,,Armenia
950890 - Other,,1.70,1.70,1,,,,Armenia
,2007,795,2.12,2.12,66,,,,Armenia
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",795,2.09,2.09,18,,,,Armenia
950410 - Video games of a kind used with a television receiver,,0.00,0.00,1,,,,Armenia
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,2,,,,Armenia
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by other means of payment, other than bowling alley equipment",,0.00,0.00,4,,,,Armenia
950440 - Playing cards,,2.70,2.70,1,,,,Armenia
950490 - Other,,0.00,0.00,2,,,,Armenia
950510 - Articles for Christmas festivities,,1.35,1.35,2,,,,Armenia
950590 - Other,,2.70,2.70,1,,,,Armenia
950611 -- Skis,,3.70,3.70,4,,,,Armenia
950612 -- Ski-fastenings (ski-bindings),,3.70,3.70,1,,,,Armenia
950619 -- Other,,2.70,2.70,1,,,,Armenia
950621 -- Sailboards,,2.70,2.70,1,,,,Armenia
950629 -- Other,,2.70,2.70,1,,,,Armenia
"950631 -- Clubs, complete",,2.70,2.70,1,,,,Armenia
950632 -- Balls,,2.70,2.70,1,,,,Armenia
950639 -- Other,,2.70,2.70,2,,,,Armenia
950640 - Articles and equipment for table-tennis,,2.70,2.70,2,,,,Armenia
"950651 -- Lawn-tennis rackets, whether or not strung",,4.70,4.70,1,,,,Armenia
950659 -- Other,,2.70,2.70,1,,,,Armenia
950661 -- Lawn-tennis balls,,2.70,2.70,1,,,,Armenia
950662 -- Inflatable,,2.70,2.70,2,,,,Armenia
950669 -- Other,,1.35,1.35,2,,,,Armenia
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,1.80,3,,,,Armenia
