Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
India,"5,008,806,481",,,,,,,United States of America
,2018,,38.17,38.17,103,2,,,United States of America
080111 - - Desiccated,,70.00,70.00,1,,,,United States of America
080112 - - In the inner shell (endocarp),,70.00,70.00,3,,,,United States of America
080119 - - Other,,70.00,70.00,3,,,,United States of America
080121 - - In shell,,30.00,30.00,1,,,,United States of America
080122 - - Shelled,,30.00,30.00,1,,,,United States of America
080131 - - In shell,,30.00,30.00,1,,,,United States of America
080132 - - Shelled,,30.00,30.00,3,,,,United States of America
080211 - - In shell,,,,1,1,,,United States of America
080212 - - Shelled,,,,1,1,,,United States of America
080221 - - In shell,,30.00,30.00,1,,,,United States of America
080222 - - Shelled,,30.00,30.00,1,,,,United States of America
080231 - - In shell,,30.00,30.00,1,,,,United States of America
080232 - - Shelled,,30.00,30.00,1,,,,United States of America
080241 - - In shell,,30.00,30.00,1,,,,United States of America
080242 - - Shelled,,30.00,30.00,1,,,,United States of America
080251 - - In shell,,30.00,30.00,1,,,,United States of America
080252 - - Shelled,,30.00,30.00,1,,,,United States of America
080261 - - In shell,,30.00,30.00,1,,,,United States of America
080262 - - Shelled,,30.00,30.00,1,,,,United States of America
080270 - Kola nuts (Cola spp.),,30.00,30.00,1,,,,United States of America
080280 - Areca nuts,,100.00,100.00,4,,,,United States of America
080290 - Other,,100.00,100.00,1,,,,United States of America
080310 - Plantains,,30.00,30.00,2,,,,United States of America
080390 - Other,,30.00,30.00,2,,,,United States of America
080410 - Dates,,30.00,30.00,4,,,,United States of America
080420 - Figs,,30.00,30.00,2,,,,United States of America
080430 - Pineapples,,30.00,30.00,1,,,,United States of America
080440 - Avocados,,30.00,30.00,1,,,,United States of America
"080450 - Guavas, mangoes and mangosteens",,30.00,30.00,5,,,,United States of America
080510 - Oranges,,40.00,40.00,1,,,,United States of America
080521 - - Mandarins (including tangerines and satsumas),,30.00,30.00,1,,,,United States of America
080522 - - Clementines,,30.00,30.00,1,,,,United States of America
080529 - - Other,,30.00,30.00,1,,,,United States of America
"080540 - Grapefruit, including pomelos",,25.00,25.00,1,,,,United States of America
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,40.00,40.00,1,,,,United States of America
080590 - Other,,30.00,30.00,1,,,,United States of America
080610 - Fresh,,40.00,40.00,1,,,,United States of America
080620 - Dried,,105.00,105.00,2,,,,United States of America
080711 - - Watermelons,,30.00,30.00,1,,,,United States of America
080719 - - Other,,30.00,30.00,1,,,,United States of America
080720 - Papaws (papayas),,30.00,30.00,1,,,,United States of America
080810 - Apples,,50.00,50.00,1,,,,United States of America
080830 - Pears,,35.00,35.00,1,,,,United States of America
080840 - Quinces,,35.00,35.00,1,,,,United States of America
080910 - Apricots,,30.00,30.00,1,,,,United States of America
080921 - - Sour cherries (Prunus cerasus),,30.00,30.00,1,,,,United States of America
080929 - - Other,,30.00,30.00,1,,,,United States of America
"080930 - Peaches, including nectarines",,30.00,30.00,1,,,,United States of America
080940 - Plums and sloes,,25.00,25.00,1,,,,United States of America
081010 - Strawberries,,30.00,30.00,1,,,,United States of America
"081020 - Raspberries, blackberries, mulberries and loganberries",,30.00,30.00,1,,,,United States of America
"081030 - Black, white or red currants and gooseberries",,30.00,30.00,1,,,,United States of America
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,30.00,30.00,1,,,,United States of America
081050 - Kiwifruit,,30.00,30.00,1,,,,United States of America
081060 - Durians,,30.00,30.00,1,,,,United States of America
081070 - Persimmons,,30.00,30.00,1,,,,United States of America
081090 - Other,,30.00,30.00,7,,,,United States of America
081110 - Strawberries,,30.00,30.00,3,,,,United States of America
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,30.00,30.00,3,,,,United States of America
081190 - Other,,30.00,30.00,2,,,,United States of America
081210 - Cherries,,30.00,30.00,1,,,,United States of America
081290 - Other,,30.00,30.00,2,,,,United States of America
081310 - Apricots,,30.00,30.00,1,,,,United States of America
081320 - Prunes,,25.00,25.00,1,,,,United States of America
081330 - Apples,,30.00,30.00,1,,,,United States of America
081340 - Other fruit,,30.00,30.00,3,,,,United States of America
081350 - Mixtures of nuts or dried fruits of this Chapter,,30.00,30.00,2,,,,United States of America
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,30.00,30.00,1,,,,United States of America
,2017,,35.00,35.00,103,2,,,United States of America
080111 - - Desiccated,,70.00,70.00,1,,,,United States of America
080112 - - In the inner shell (endocarp),,70.00,70.00,3,,,,United States of America
080119 - - Other,,70.00,70.00,3,,,,United States of America
080121 - - In shell,,30.00,30.00,1,,,,United States of America
080122 - - Shelled,,30.00,30.00,1,,,,United States of America
080131 - - In shell,,5.00,5.00,1,,,,United States of America
080132 - - Shelled,,45.00,45.00,3,,,,United States of America
080211 - - In shell,,,,1,1,,,United States of America
080212 - - Shelled,,,,1,1,,,United States of America
080221 - - In shell,,10.00,10.00,1,,,,United States of America
080222 - - Shelled,,10.00,10.00,1,,,,United States of America
080231 - - In shell,,30.00,30.00,1,,,,United States of America
080232 - - Shelled,,30.00,30.00,1,,,,United States of America
080241 - - In shell,,30.00,30.00,1,,,,United States of America
080242 - - Shelled,,30.00,30.00,1,,,,United States of America
080251 - - In shell,,10.00,10.00,1,,,,United States of America
080252 - - Shelled,,10.00,10.00,1,,,,United States of America
080261 - - In shell,,30.00,30.00,1,,,,United States of America
080262 - - Shelled,,30.00,30.00,1,,,,United States of America
080270 - Kola nuts (Cola spp.),,30.00,30.00,1,,,,United States of America
080280 - Areca nuts,,100.00,100.00,4,,,,United States of America
080290 - Other,,30.00,30.00,1,,,,United States of America
080310 - Plantains,,30.00,30.00,2,,,,United States of America
080390 - Other,,30.00,30.00,2,,,,United States of America
080410 - Dates,,25.00,25.00,4,,,,United States of America
080420 - Figs,,30.00,30.00,2,,,,United States of America
080430 - Pineapples,,30.00,30.00,1,,,,United States of America
080440 - Avocados,,30.00,30.00,1,,,,United States of America
"080450 - Guavas, mangoes and mangosteens",,30.00,30.00,5,,,,United States of America
080510 - Oranges,,30.00,30.00,1,,,,United States of America
080521 - - Mandarins (including tangerines and satsumas),,30.00,30.00,1,,,,United States of America
080522 - - Clementines,,30.00,30.00,1,,,,United States of America
080529 - - Other,,30.00,30.00,1,,,,United States of America
"080540 - Grapefruit, including pomelos",,25.00,25.00,1,,,,United States of America
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,30.00,30.00,1,,,,United States of America
080590 - Other,,30.00,30.00,1,,,,United States of America
080610 - Fresh,,30.00,30.00,1,,,,United States of America
080620 - Dried,,100.00,100.00,2,,,,United States of America
080711 - - Watermelons,,30.00,30.00,1,,,,United States of America
080719 - - Other,,30.00,30.00,1,,,,United States of America
080720 - Papaws (papayas),,30.00,30.00,1,,,,United States of America
080810 - Apples,,50.00,50.00,1,,,,United States of America
080830 - Pears,,30.00,30.00,1,,,,United States of America
080840 - Quinces,,30.00,30.00,1,,,,United States of America
080910 - Apricots,,30.00,30.00,1,,,,United States of America
080921 - - Sour cherries (Prunus cerasus),,30.00,30.00,1,,,,United States of America
080929 - - Other,,30.00,30.00,1,,,,United States of America
"080930 - Peaches, including nectarines",,30.00,30.00,1,,,,United States of America
080940 - Plums and sloes,,25.00,25.00,1,,,,United States of America
081010 - Strawberries,,30.00,30.00,1,,,,United States of America
