Importer,Year,Value,Ad val. duties,Number of lines,Armenia
,(US$),Simple average,MFN duties,Pref. duties,Armenia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Armenia
080221 - - In shell,,3.20,0.00,1,,1,,Armenia
080222 - - Shelled,,3.20,0.00,1,,1,,Armenia
080231 - - In shell,,4.00,0.00,1,,1,,Armenia
080232 - - Shelled,,5.10,0.00,1,,1,,Armenia
080241 - - In shell,,5.60,0.00,1,,1,,Armenia
080242 - - Shelled,,5.60,0.00,1,,1,,Armenia
080251 - - In shell,,1.60,0.00,1,,1,,Armenia
080252 - - Shelled,,1.60,0.00,1,,1,,Armenia
080261 - - In shell,,2.00,0.00,1,,1,,Armenia
080262 - - Shelled,,2.00,0.00,1,,1,,Armenia
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,Armenia
080280 - Areca nuts,,0.00,0.00,1,,,,Armenia
080290 - Other,,1.33,0.00,3,,2,,Armenia
080310 - Plantains,,16.00,0.00,2,,2,,Armenia
080390 - Other,3,16.00,0.00,2,1,1,,Armenia
080410 - Dates,,7.70,0.00,1,,1,,Armenia
080420 - Figs,"1,858",6.80,0.00,2,,2,,Armenia
080430 - Pineapples,2,5.80,0.00,1,,1,,Armenia
080440 - Avocados,6,4.00,0.00,1,,1,,Armenia
"080450 - Guavas, mangoes and mangosteens",1,0.00,0.00,1,,,,Armenia
080510 - Oranges,12,16.00,16.00,4,3,,,Armenia
080521 - - Mandarins (including tangerines and satsumas),,,,2,2,,,Armenia
080522 - - Clementines,,,,1,1,,,Armenia
080529 - - Other,1,,,1,1,,,Armenia
"080540 - Grapefruit, including pomelos",6,1.50,0.00,1,,1,,Armenia
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",2,12.80,0.00,2,1,1,,Armenia
080590 - Other,,12.80,0.00,1,,1,,Armenia
080610 - Fresh,15,14.40,0.00,2,1,2,,Armenia
080620 - Dried,,2.40,0.00,3,,3,,Armenia
080711 - - Watermelons,3,8.80,0.00,1,,1,,Armenia
080719 - - Other,10,8.80,0.00,1,,1,,Armenia
080720 - Papaws (papayas),,0.00,0.00,1,,,,Armenia
080810 - Apples,,,,2,2,,,Armenia
080830 - Pears,,,,2,2,,,Armenia
080840 - Quinces,,7.20,0.00,1,,1,,Armenia
080910 - Apricots,,,0.00,1,1,1,,Armenia
080921 - - Sour cherries (Prunus cerasus),,,0.00,1,1,1,,Armenia
080929 - - Other,,,0.00,1,1,1,,Armenia
"080930 - Peaches, including nectarines",1,,0.00,2,2,2,,Armenia
080940 - Plums and sloes,5,12.00,0.00,2,1,2,,Armenia
081010 - Strawberries,,11.20,0.00,1,,1,,Armenia
"081020 - Raspberries, blackberries, mulberries and loganberries",,9.20,0.00,2,,2,,Armenia
"081030 - Black, white or red currants and gooseberries",,9.07,0.00,3,,3,,Armenia
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",3,4.00,0.00,4,,3,,Armenia
081050 - Kiwifruit,,8.80,0.00,1,,1,,Armenia
081060 - Durians,,8.80,0.00,1,,1,,Armenia
081070 - Persimmons,,8.80,0.00,1,,1,,Armenia
081090 - Other,1,4.40,0.00,2,,1,,Armenia
081110 - Strawberries,,17.60,0.00,3,1,3,1,Armenia
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,14.67,0.00,7,1,7,1,Armenia
081190 - Other,1,10.75,0.00,10,2,8,2,Armenia
081210 - Cherries,,8.80,0.00,1,,1,,Armenia
081290 - Other,9,7.16,0.00,5,,5,,Armenia
081310 - Apricots,"22,258",5.60,0.00,1,,1,,Armenia
081320 - Prunes,"22,495",9.60,0.00,1,,1,,Armenia
081330 - Apples,"1,252",3.20,0.00,1,,1,,Armenia
081340 - Other fruit,"29,179",3.28,0.00,5,,4,,Armenia
081350 - Mixtures of nuts or dried fruits of this Chapter,"6,831",6.86,0.00,7,,7,,Armenia
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,1.60,0.00,1,,1,,Armenia
,2016,"11,823",6.67,0.15,124,23,92,4,Armenia
080111 -- Desiccated,,0.00,0.00,1,,,,Armenia
080112 -- In the inner shell (endocarp),,0.00,0.00,1,,,,Armenia
080119 -- Other,,0.00,0.00,1,,,,Armenia
080121 -- In shell,,0.00,0.00,1,,,,Armenia
080122 -- Shelled,,0.00,0.00,1,,,,Armenia
080131 -- In shell,,0.00,0.00,1,,,,Armenia
080132 -- Shelled,,0.00,0.00,1,,,,Armenia
080211 -- In shell,,2.80,0.00,2,,1,,Armenia
080212 -- Shelled,,1.75,0.00,2,,1,,Armenia
080221 -- In shell,,3.20,0.00,1,,1,,Armenia
080222 -- Shelled,,3.20,0.00,1,,1,,Armenia
080231 -- In shell,,4.00,0.00,1,,1,,Armenia
080232 -- Shelled,,5.10,0.00,1,,1,,Armenia
080241 -- In shell,,5.60,0.00,1,,1,,Armenia
080242 -- Shelled,,5.60,0.00,1,,1,,Armenia
080251 -- In shell,,1.60,0.00,1,,1,,Armenia
080252 -- Shelled,,1.60,0.00,1,,1,,Armenia
080261 -- In shell,,2.00,0.00,1,,1,,Armenia
080262 -- Shelled,,2.00,0.00,1,,1,,Armenia
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,Armenia
080280 - Areca nuts,,0.00,0.00,1,,,,Armenia
080290 - Other,,1.33,0.00,3,,2,,Armenia
080310 - Plantains,,16.00,0.00,2,,2,,Armenia
080390 - Other,,16.00,0.00,2,1,1,,Armenia
080410 - Dates,,7.70,0.00,1,,1,,Armenia
080420 - Figs,,6.80,0.00,2,,2,,Armenia
080430 - Pineapples,,5.80,0.00,1,,1,,Armenia
080440 - Avocados,,4.00,0.00,1,,1,,Armenia
"080450 - Guavas, mangoes and mangosteens",,0.00,0.00,1,,,,Armenia
080510 - Oranges,,16.00,16.00,2,1,,,Armenia
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids",,,,5,5,,,Armenia
"080540 - Grapefruit, including pomelos",,1.50,0.00,1,,1,,Armenia
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,12.80,0.00,2,1,1,,Armenia
080590 - Other,,12.80,0.00,1,,1,,Armenia
080610 - Fresh,,14.40,0.00,2,1,2,,Armenia
080620 - Dried,,2.40,0.00,3,,3,,Armenia
080711 -- Watermelons,,8.80,0.00,1,,1,,Armenia
080719 -- Other,,8.80,0.00,1,,1,,Armenia
080720 - Papaws (papayas),,0.00,0.00,1,,,,Armenia
080810 - Apples,,,,2,2,,,Armenia
080830 - Pears,,,,2,2,,,Armenia
080840 - Quinces,,7.20,0.00,1,,1,,Armenia
080910 - Apricots,,,0.00,1,1,1,,Armenia
080921 -- Sour cherries (Prunus cerasus),,,0.00,1,1,1,,Armenia
080929 -- Other,,,0.00,1,1,1,,Armenia
"080930 - Peaches, including nectarines",,,0.00,2,2,2,,Armenia
080940 - Plums and sloes,,12.00,0.00,2,1,2,,Armenia
081010 - Strawberries,,11.20,0.00,1,,1,,Armenia
"081020 - Raspberries, blackberries, mulberries and loganberries",,9.20,0.00,2,,2,,Armenia
"081030 - Black, white or red currants and gooseberries",,9.07,0.00,3,,3,,Armenia
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,4.00,0.00,4,,3,,Armenia
081050 - Kiwifruit,,8.80,0.00,1,,1,,Armenia
081060 - Durians,,8.80,0.00,1,,1,,Armenia
081070 - Persimmons,,8.80,0.00,1,,1,,Armenia
081090 - Other,,4.40,0.00,2,,1,,Armenia
081110 - Strawberries,,17.60,0.00,3,1,3,1,Armenia
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,14.67,0.00,7,1,7,1,Armenia
081190 - Other,,10.75,0.00,10,2,8,2,Armenia
081210 - Cherries,,8.80,0.00,1,,1,,Armenia
081290 - Other,,7.16,0.00,5,,5,,Armenia
081310 - Apricots,"2,017",5.60,0.00,1,,1,,Armenia
081320 - Prunes,"1,658",9.60,0.00,1,,1,,Armenia
081330 - Apples,,3.20,0.00,1,,1,,Armenia
081340 - Other fruit,"2,624",3.28,0.00,5,,4,,Armenia
081350 - Mixtures of nuts or dried fruits of this Chapter,"5,524",6.86,0.00,7,,7,,Armenia
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,1.60,0.00,1,,1,,Armenia
,2015,"79,146",6.67,0.15,124,23,92,4,Armenia
080111 -- Desiccated,,0.00,0.00,1,,,,Armenia
080112 -- In the inner shell (endocarp),,0.00,0.00,1,,,,Armenia
080119 -- Other,,0.00,0.00,1,,,,Armenia
080121 -- In shell,,0.00,0.00,1,,,,Armenia
080122 -- Shelled,,0.00,0.00,1,,,,Armenia
080131 -- In shell,,0.00,0.00,1,,,,Armenia
080132 -- Shelled,,0.00,0.00,1,,,,Armenia
080211 -- In shell,,2.80,0.00,2,,1,,Armenia
080212 -- Shelled,,1.75,0.00,2,,1,,Armenia
080221 -- In shell,,3.20,0.00,1,,1,,Armenia
080222 -- Shelled,,3.20,0.00,1,,1,,Armenia
080231 -- In shell,,4.00,0.00,1,,1,,Armenia
080232 -- Shelled,,5.10,0.00,1,,1,,Armenia
080241 -- In shell,,5.60,0.00,1,,1,,Armenia
080242 -- Shelled,,5.60,0.00,1,,1,,Armenia
080251 -- In shell,,1.60,0.00,1,,1,,Armenia
080252 -- Shelled,,1.60,0.00,1,,1,,Armenia
080261 -- In shell,,2.00,0.00,1,,1,,Armenia
080262 -- Shelled,,2.00,0.00,1,,1,,Armenia
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,Armenia
080280 - Areca nuts,,0.00,0.00,1,,,,Armenia
080290 - Other,,1.33,0.00,3,,2,,Armenia
080310 - Plantains,,16.00,0.00,2,,2,,Armenia
080390 - Other,,16.00,0.00,2,1,1,,Armenia
080410 - Dates,,7.70,0.00,1,,1,,Armenia
080420 - Figs,,6.80,0.00,2,,2,,Armenia
080430 - Pineapples,,5.80,0.00,1,,1,,Armenia
080440 - Avocados,,4.00,0.00,1,,1,,Armenia
"080450 - Guavas, mangoes and mangosteens",,0.00,0.00,1,,,,Armenia
080510 - Oranges,,16.00,16.00,2,1,,,Armenia
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids",,,,5,5,,,Armenia
"080540 - Grapefruit, including pomelos",,1.50,0.00,1,,1,,Armenia
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,12.80,0.00,2,1,1,,Armenia
080590 - Other,,12.80,0.00,1,,1,,Armenia
080610 - Fresh,,14.40,0.00,2,1,2,,Armenia
080620 - Dried,,2.40,0.00,3,,3,,Armenia
080711 -- Watermelons,,8.80,0.00,1,,1,,Armenia
080719 -- Other,,8.80,0.00,1,,1,,Armenia
080720 - Papaws (papayas),,0.00,0.00,1,,,,Armenia
080810 - Apples,,,,2,2,,,Armenia
080830 - Pears,,,,2,2,,,Armenia
080840 - Quinces,,7.20,0.00,1,,1,,Armenia
080910 - Apricots,,,0.00,1,1,1,,Armenia
080921 -- Sour cherries (Prunus cerasus),,,0.00,1,1,1,,Armenia
080929 -- Other,,,0.00,1,1,1,,Armenia
"080930 - Peaches, including nectarines",,,0.00,2,2,2,,Armenia
080940 - Plums and sloes,,12.00,0.00,2,1,2,,Armenia
081010 - Strawberries,,11.20,0.00,1,,1,,Armenia
"081020 - Raspberries, blackberries, mulberries and loganberries",,9.20,0.00,2,,2,,Armenia
"081030 - Black, white or red currants and gooseberries",,9.07,0.00,3,,3,,Armenia
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,4.00,0.00,4,,3,,Armenia
081050 - Kiwifruit,,8.80,0.00,1,,1,,Armenia
081060 - Durians,,8.80,0.00,1,,1,,Armenia
081070 - Persimmons,,8.80,0.00,1,,1,,Armenia
081090 - Other,,4.40,0.00,2,,1,,Armenia
081110 - Strawberries,,17.60,0.00,3,1,3,1,Armenia
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries","3,539",14.67,0.00,7,1,7,1,Armenia
081190 - Other,"33,331",10.75,0.00,10,2,8,2,Armenia
081210 - Cherries,,8.80,0.00,1,,1,,Armenia
081290 - Other,,7.16,0.00,5,,5,,Armenia
081310 - Apricots,"2,294",5.60,0.00,1,,1,,Armenia
081320 - Prunes,"1,066",9.60,0.00,1,,1,,Armenia
081330 - Apples,,3.20,0.00,1,,1,,Armenia
081340 - Other fruit,"36,814",3.28,0.00,5,,4,,Armenia
081350 - Mixtures of nuts or dried fruits of this Chapter,"2,103",6.86,0.00,7,,7,,Armenia
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,1.60,0.00,1,,1,,Armenia
,2014,"49,362",6.67,0.15,124,23,92,4,Armenia
080111 -- Desiccated,,0.00,0.00,1,,,,Armenia
080112 -- In the inner shell (endocarp),,0.00,0.00,1,,,,Armenia
080119 -- Other,,0.00,0.00,1,,,,Armenia
080121 -- In shell,,0.00,0.00,1,,,,Armenia
080122 -- Shelled,,0.00,0.00,1,,,,Armenia
080131 -- In shell,,0.00,0.00,1,,,,Armenia
080132 -- Shelled,,0.00,0.00,1,,,,Armenia
080211 -- In shell,,2.80,0.00,2,,1,,Armenia
080212 -- Shelled,,1.75,0.00,2,,1,,Armenia
080221 -- In shell,,3.20,0.00,1,,1,,Armenia
080222 -- Shelled,159,3.20,0.00,1,,1,,Armenia
080231 -- In shell,97,4.00,0.00,1,,1,,Armenia
080232 -- Shelled,,5.10,0.00,1,,1,,Armenia
080241 -- In shell,,5.60,0.00,1,,1,,Armenia
080242 -- Shelled,,5.60,0.00,1,,1,,Armenia
080251 -- In shell,,1.60,0.00,1,,1,,Armenia
080252 -- Shelled,,1.60,0.00,1,,1,,Armenia
080261 -- In shell,,2.00,0.00,1,,1,,Armenia
080262 -- Shelled,,2.00,0.00,1,,1,,Armenia
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,Armenia
080280 - Areca nuts,,0.00,0.00,1,,,,Armenia
080290 - Other,,1.33,0.00,3,,2,,Armenia
080310 - Plantains,,16.00,0.00,2,,2,,Armenia
080390 - Other,,16.00,0.00,2,1,1,,Armenia
080410 - Dates,,7.70,0.00,1,,1,,Armenia
080420 - Figs,,6.80,0.00,2,,2,,Armenia
080430 - Pineapples,,5.80,0.00,1,,1,,Armenia
080440 - Avocados,,4.00,0.00,1,,1,,Armenia
"080450 - Guavas, mangoes and mangosteens",,0.00,0.00,1,,,,Armenia
080510 - Oranges,,16.00,16.00,2,1,,,Armenia
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids",,,,5,5,,,Armenia
"080540 - Grapefruit, including pomelos",,1.50,0.00,1,,1,,Armenia
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,12.80,0.00,2,1,1,,Armenia
080590 - Other,,12.80,0.00,1,,1,,Armenia
080610 - Fresh,,14.40,0.00,2,1,2,,Armenia
080620 - Dried,86,2.40,0.00,3,,3,,Armenia
080711 -- Watermelons,,8.80,0.00,1,,1,,Armenia
080719 -- Other,,8.80,0.00,1,,1,,Armenia
080720 - Papaws (papayas),,0.00,0.00,1,,,,Armenia
080810 - Apples,,,,2,2,,,Armenia
080830 - Pears,,,,2,2,,,Armenia
080840 - Quinces,,7.20,0.00,1,,1,,Armenia
080910 - Apricots,,,0.00,1,1,1,,Armenia
080921 -- Sour cherries (Prunus cerasus),,,0.00,1,1,1,,Armenia
080929 -- Other,,,0.00,1,1,1,,Armenia
"080930 - Peaches, including nectarines","10,268",,0.00,2,2,2,,Armenia
080940 - Plums and sloes,,12.00,0.00,2,1,2,,Armenia
081010 - Strawberries,,11.20,0.00,1,,1,,Armenia
"081020 - Raspberries, blackberries, mulberries and loganberries",,9.20,0.00,2,,2,,Armenia
"081030 - Black, white or red currants and gooseberries",,9.07,0.00,3,,3,,Armenia
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,4.00,0.00,4,,3,,Armenia
081050 - Kiwifruit,,8.80,0.00,1,,1,,Armenia
081060 - Durians,,8.80,0.00,1,,1,,Armenia
081070 - Persimmons,,8.80,0.00,1,,1,,Armenia
081090 - Other,,4.40,0.00,2,,1,,Armenia
081110 - Strawberries,,17.60,0.00,3,1,3,1,Armenia
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,14.67,0.00,7,1,7,1,Armenia
081190 - Other,,10.75,0.00,10,2,8,2,Armenia
081210 - Cherries,,8.80,0.00,1,,1,,Armenia
081290 - Other,,7.16,0.00,5,,5,,Armenia
081310 - Apricots,"2,200",5.60,0.00,1,,1,,Armenia
081320 - Prunes,"1,347",9.60,0.00,1,,1,,Armenia
081330 - Apples,,3.20,0.00,1,,1,,Armenia
081340 - Other fruit,"30,978",3.28,0.00,5,,4,,Armenia
081350 - Mixtures of nuts or dried fruits of this Chapter,,6.86,0.00,7,,7,,Armenia
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.","4,228",1.60,0.00,1,,1,,Armenia
,2013,"89,788",6.67,0.15,124,23,92,4,Armenia
080111 -- Desiccated,,0.00,0.00,1,,,,Armenia
080112 -- In the inner shell (endocarp),,0.00,0.00,1,,,,Armenia
080119 -- Other,,0.00,0.00,1,,,,Armenia
080121 -- In shell,,0.00,0.00,1,,,,Armenia
080122 -- Shelled,,0.00,0.00,1,,,,Armenia
080131 -- In shell,,0.00,0.00,1,,,,Armenia
080132 -- Shelled,,0.00,0.00,1,,,,Armenia
080211 -- In shell,,2.80,0.00,2,,1,,Armenia
080212 -- Shelled,,1.75,0.00,2,,1,,Armenia
080221 -- In shell,,3.20,0.00,1,,1,,Armenia
080222 -- Shelled,744,3.20,0.00,1,,1,,Armenia
080231 -- In shell,,4.00,0.00,1,,1,,Armenia
080232 -- Shelled,,5.10,0.00,1,,1,,Armenia
080241 -- In shell,,5.60,0.00,1,,1,,Armenia
080242 -- Shelled,,5.60,0.00,1,,1,,Armenia
080251 -- In shell,,1.60,0.00,1,,1,,Armenia
080252 -- Shelled,,1.60,0.00,1,,1,,Armenia
080261 -- In shell,,2.00,0.00,1,,1,,Armenia
080262 -- Shelled,,2.00,0.00,1,,1,,Armenia
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,Armenia
080280 - Areca nuts,,0.00,0.00,1,,,,Armenia
080290 - Other,,1.33,0.00,3,,2,,Armenia
080310 - Plantains,,16.00,0.00,2,,2,,Armenia
080390 - Other,,16.00,0.00,2,1,1,,Armenia
080410 - Dates,,7.70,0.00,1,,1,,Armenia
080420 - Figs,,6.80,0.00,2,,2,,Armenia
080430 - Pineapples,,5.80,0.00,1,,1,,Armenia
080440 - Avocados,,4.00,0.00,1,,1,,Armenia
"080450 - Guavas, mangoes and mangosteens",,0.00,0.00,1,,,,Armenia
080510 - Oranges,,16.00,16.00,2,1,,,Armenia
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids",,,,5,5,,,Armenia
"080540 - Grapefruit, including pomelos",,1.50,0.00,1,,1,,Armenia
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,12.80,0.00,2,1,1,,Armenia
080590 - Other,,12.80,0.00,1,,1,,Armenia
080610 - Fresh,,14.40,0.00,2,1,2,,Armenia
080620 - Dried,,2.40,0.00,3,,3,,Armenia
080711 -- Watermelons,,8.80,0.00,1,,1,,Armenia
080719 -- Other,,8.80,0.00,1,,1,,Armenia
080720 - Papaws (papayas),,0.00,0.00,1,,,,Armenia
080810 - Apples,,,,2,2,,,Armenia
080830 - Pears,,,,2,2,,,Armenia
080840 - Quinces,,7.20,0.00,1,,1,,Armenia
080910 - Apricots,,,0.00,1,1,1,,Armenia
080921 -- Sour cherries (Prunus cerasus),,,0.00,1,1,1,,Armenia
080929 -- Other,,,0.00,1,1,1,,Armenia
"080930 - Peaches, including nectarines",,,0.00,2,2,2,,Armenia
080940 - Plums and sloes,,12.00,0.00,2,1,2,,Armenia
081010 - Strawberries,,11.20,0.00,1,,1,,Armenia
"081020 - Raspberries, blackberries, mulberries and loganberries",,9.20,0.00,2,,2,,Armenia
"081030 - Black, white or red currants and gooseberries",,9.07,0.00,3,,3,,Armenia
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,4.00,0.00,4,,3,,Armenia
081050 - Kiwifruit,,8.80,0.00,1,,1,,Armenia
081060 - Durians,,8.80,0.00,1,,1,,Armenia
081070 - Persimmons,,8.80,0.00,1,,1,,Armenia
081090 - Other,,4.40,0.00,2,,1,,Armenia
081110 - Strawberries,,17.60,0.00,3,1,3,1,Armenia
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,14.67,0.00,7,1,7,1,Armenia
081190 - Other,"53,307",10.75,0.00,10,2,8,2,Armenia
081210 - Cherries,,8.80,0.00,1,,1,,Armenia
081290 - Other,,7.16,0.00,5,,5,,Armenia
081310 - Apricots,,5.60,0.00,1,,1,,Armenia
081320 - Prunes,544,9.60,0.00,1,,1,,Armenia
081330 - Apples,,3.20,0.00,1,,1,,Armenia
081340 - Other fruit,"34,449",3.28,0.00,5,,4,,Armenia
081350 - Mixtures of nuts or dried fruits of this Chapter,,6.86,0.00,7,,7,,Armenia
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",744,1.60,0.00,1,,1,,Armenia
,2012,"65,925",7.14,0.15,124,16,92,4,Armenia
080111 -- Desiccated,,0.00,0.00,1,,,,Armenia
080112 -- In the inner shell (endocarp),,0.00,0.00,1,,,,Armenia
080119 -- Other,,0.00,0.00,1,,,,Armenia
080121 -- In shell,,0.00,0.00,1,,,,Armenia
080122 -- Shelled,,0.00,0.00,1,,,,Armenia
080131 -- In shell,,0.00,0.00,1,,,,Armenia
080132 -- Shelled,,0.00,0.00,1,,,,Armenia
080211 -- In shell,,2.80,0.00,2,,1,,Armenia
080212 -- Shelled,,1.75,0.00,2,,1,,Armenia
080221 -- In shell,,3.20,0.00,1,,1,,Armenia
080222 -- Shelled,,3.20,0.00,1,,1,,Armenia
080231 -- In shell,,4.00,0.00,1,,1,,Armenia
